"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Panelprogram","Parkolóhely ára"
"1","XIV. kerület, Kiszugló","54,5 millió Ft","64 m²","2","Eladásra kínálok XIV. ker Kiszugló, A N G O L UTCÁBAN egy 64 nm-es 2 szobás, összkomfortos, egybe wc - fürdos, cirkó futéses, udvarra nézo, déli tájolású lakást, 2 emeletes tégla építésu ház földszintjén.A futés rendszer teljes köru felújításon esett át, új kazán kerül beépítésre, ez biztosítja a meleg vizet is. A belmagasság 3,4 m, így igény esetén galéria kialakítására van lehetoség. Tároló tartozik a lakáshoz. Parkolás az épület udvarán megoldott. Szép karbantartott házban található a lakás, a teto nem rég került felújításra.Elhelyezkedése elonyös, a Bosnyák tér pár perc alatt megközelítheto, innek rengeteg féle busz indul a belváros felé, illetve a piacon, boltokban adott bevásárlási lehetoség.Eladási ára54,5M FtBármilyen kérdés esetén keressen bizalommal.Hétvégén is hívhat!","nincs megadva","nincs megadva","összkomfortos","nincs megadva","földszint","2","nincs","3 m-nél magasabb","gáz (cirko)","nincs","nincs megadva","nincs megadva","egy helyiségben","dél","udvari","nincs megadva","nem","nem tetotéri","nincs megadva",NA,NA
"2","VIII. kerület, Bródy Sándor utca","85 millió Ft","124 m²","3 + 1 fél","Eladásra kínálok VIII. ker Palotanegyed  B R Ó D Y  S Á N D O R  UTCÁBAN egy 124 nm-es 3+1 szobás, északnyugati tájolású, összkomfortos, egybe wc - fürdos, utcára nézo, konvektor futéses lakást, téglaépítésu 3 emeletes lift nélküli ház 2. emeletén.Az ablakok cseréje megtörtént, a fürdoszoba felújított, zuhanykabin került beszerelésre. Igény esetln lehetoség van több szobát is kialakítani, ezen felül a lakás 2 bejárattal rendelkezik, így 2 külön lakássá is alakítható. Belmagassága 380 cm, így akár galériázható is. Lokácója elonyös, könnyen elérheto az M4-es metró, 4-6-os villamos. A környéken található számos üzlet, iskola, óvoda.Eladási ára 85M FtBármilyen kérdés esetén keressen bizalommal.Hétvégén is hívhat!","nincs megadva","nincs megadva","összkomfortos","nincs megadva","2","3","nincs","3 m-nél magasabb","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","egy helyiségben","északnyugat","utcai","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"3","XIV. kerület, Alsórákos - Kacsóh Pongrác úti lakótelep","41,9 millió Ft","55 m²","2","Eladásra kínálok XIV. ker Kacsóh Pongrác úti lakótelep, R ÁKOSSZEGPARKBAN egy 55 nm-es 2 szobás, északkeleti tájolású, udvarra nézo, összkomfortos, külön wc - fürdos, távfutéses, klimatizált lakást, tégla építésu 3 emeletes lift nélküli lakás 2. emeletén.A lakás felújított, jó állapotú, légkondival és redonnyel felszerelt, muanyag nyílászárókkal. A futés méroórával ellátott. Udvarban parkolás lehetséges, közös tulajdonú pincében tárolási lehetoség, igény szerint a társasháztól kedvezményes garázsbérlésre is van mód.  A környék rendkívül jó, közelben boltok, patika, zöldséges, több féle busz megállója, troli is megtalálható.Eladási ára 41,9M FtBármilyen kérdés esetén keressen bizalommal.Hétvégén is hívhat!","nincs megadva","nincs megadva","összkomfortos","nincs megadva","2","3","nincs","3 m-nél alacsonyabb","távfutés","van","nincs megadva","nincs megadva","külön helyiségben","északkelet","udvari","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"4","Kecskemét, Belváros","45 millió Ft","100 m²","2","Kecskemét, Belváros eladó 100 m2-es lakáson belül kétszintes egyedi kialakítású lakás.","újszeru","2001 és 2010 között","duplakomfortos","nincs megadva","2","2","nincs","3 m-nél alacsonyabb","gáz (cirko)","van","30 E Ft/hó","nincs megadva","külön és egyben is","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","udvari beálló",NA,NA
"5","XII. kerület, Tállya utca","70,9 millió Ft","61 m²","2","A XII. kerületben, Mártonhegyen, eladó egy 3 szintes 10 lakásos társasházban, egy 1. emeleti, 61 m2-es, 2 szobás, felújítandó, délkeleti tájolású, étkezos, erkélyes, világos lakás.Az ablakok dupla fanyílászárókkal és redonnyel felszereltek. A szobák egybe nyílóak és parkettával burkoltak.Az ingatlanhoz tartozik egy saját 8 m2 tároló is. Az udvarban 1 autó számára beállási lehetoség biztosított.Az 1970-es években épült társasház, jó állapotú, folyamatosan karban tartott, egy csodaszép közös kerttel rendelkezik, amit bátran használhatnak a házban lakók.A lakás megállapodás szerint gyorsan birtokba veheto.A ház rendezett a lakók csendesek.A zöld övezetben elhelyezkedo házból könnyen megközelíthetoek tömegközlekedéssel és gépjármuvel egyaránt az élelmiszer boltok, iskolák, óvodák. A 17-es és a 61-es villamos, a 105-ös, 139-es, 140-es 102-es, 110-es, 112-es, busz megállója, a közelben. A Déli Pályaudvar, a Széll Kálmán tér is könnyen elérheto vagy akár a M2-es metró biztosítja a gyors közlekedést.A lakás megtekintésével kapcsolatban, várom megtisztelo hívását, akár hétvégén is!","felújítandó","1950 és 1980 között","összkomfortos","nincs megadva","1","3","nincs megadva","3 m-nél magasabb","gáz (konvektor)","nincs megadva","30 E Ft/hó","nem","külön helyiségben","délkelet","kertre néz","8 m²","nincs megadva","nem tetotéri","udvari beálló - benne van az árban",NA,NA
"6","IX. kerület, Vámház körút","37,9 millió Ft","40 m²","1 + 1 fél","Eladásra kínálok IX. ker Belso - Ferencváros V Á M H Á Z  KÖRÚTON  egy 40 nm-es 1+1 szobás, keleti tájolású, udvarra nézo, összkomfortos, külön wc - fürdos, konvektoros futésu lakást, tégla építésu 3 emeletes liftes ház földszintjén.A lakás teljesköruen fel lett újítva az utóbbi pár évben, ekkor kicserélték a villanyvezetékeket, szanitereket, hideg és meleg burkolatokat, ezen felül a konyha és a fürdo is teljesen fel lett újítva. A ház homlokzatának felújítását nem rég fejezték be.Közös költség 10 000 Ft/hóGyalogtávolságon belül villamos, az M3 és M4 metró, valamint több trolijárat is elérheto.Eladási ára 37,9M FtBármilyen kérdés esetén keressen bizalommal.Hétvégén is hívhat!","nincs megadva","nincs megadva","összkomfortos","nincs megadva","földszint","3","van","3 m-nél magasabb","gáz (konvektor)","nincs","nincs megadva","nincs megadva","külön helyiségben","kelet","udvari","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"7","VIII. kerület, József körút 63.","59 millió Ft","129 m²","4","Kis befektetéssel ideális munkásszálló!Nagyobb befektetéssel diákhotel!Közös elotérbol nyíló 3 lakás is kialakítható(de itt mélyen zsebbe nyúlós).Palotanegyedben eladó egy költözheto állapotú nagy lakás használati megosztással.A ház szép állapotú!","közepes állapotú","nincs megadva","összkomfortos","nincs megadva","3","4","van","nincs megadva","gáz (konvektor)","nincs megadva","50 E Ft/hó","nem","külön helyiségben","északnyugat","udvari","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"8","VI. kerület, Belso-Terézváros","86 millió Ft","108 m²","3","Eladásra kínálok VI ker. Belso - Terézváros K I R Á L Y  UTCÁBAN egy 108 nm-es 3 szobás, déli tájolású, utcára nézo, összkomfortos, egybe wc - fürdos, cirkó futéses, klimatizált, erkélyes lakást, tégla építésu 3 emeletes lift nélküli ház 3. emeletén.Hihehetlenül világos, hatalmas terekkel! Teljes mértékben felújítva, elektromos vezetékek, vízvezetékek, nyalászárók cseréje megtörtént, 2 db klíma került beépítésre. Vadi új óriási amerikai konyha, gépesítve a  vételár része. Befektetok figyelmébe is ajánlom, a lakás Airbnb engedéllyel rendelkezik.Közös költség 19 000 Ft/hóKözlekedés a környéken kiváló, 4-6-os villamos pár lépésre található, busz, metró is sétatávolságon belül. A környéken rengeteg bár, étterem helyezkedik el.Eladási ára 86M FtBármilyen kérdés esetén keressen bizalommal.Hétvégén is hívhat!","nincs megadva","nincs megadva","összkomfortos","nincs megadva","3","3","nincs","3 m-nél magasabb","gáz (cirko)","van","nincs megadva","nincs megadva","egy helyiségben","dél","utcai","2 m²","nincs megadva","nincs megadva","nincs megadva",NA,NA
"9","Dombóvár, Belváros","18,9 millió Ft","54 m²","2","Kizárólag irodánkat bízták meg.  A LIDO HOME ingatlan dombóvári irodája kínálja eladásra ezt a kituno adottságokkal rendelkezo DOMBÓVÁRI TÁRSASHÁZI LAKÁSÁT! - az idei évben történt a lakás felújítása,  - 2. emeleti 54 m2-es erkélyes lakás a belvárosban,  - 2 szoba, konyha+étkezo, közlekedo, fürdo, wc, kamra, erkély,  - új muanyag nyílászárók,  - új fürdoszoba, új burkolat minden helyiségben,  - új konyhabútor került beépítésre,  - új radiátorok, melyek egyedi homennyiség órával vannak felszerelve,  - távfutéses lakás: 7300 Ft/hó  - közös költség: 900 Ft/hó  - a nyári melegben klíma biztosítja a kellemes homérsékletet a lakásban,  - üzletek, orvosi rendelo, patika, óvoda, iskola, buszmegálló stb. a közelben,  - igazi kincs, mely elosztásának köszönhetoen minden korosztály számára, és minden célra egyaránt alkalmas, - akár befektetés, vagy egy igazi kulcsra kész otthont szeretne ne hagyja ki a lehetoséget!  Amennyiben a LIDO HOME által kínált DOMBÓVÁRI TÁRSASHÁZI LAKÁS, vagy bármely a kínálatunkban található TÁRSASHÁZI LAKÁS felkeltette az Ön érdeklodését, hívjon a megadott telefonszámon.  LIDO HOME-Ingatlanok egy életen át!","felújított","1950 és 1980 között","összkomfortos","nincs megadva","2","nincs megadva","nincs megadva","nincs megadva","távfutés egyedi méréssel","van","nincs megadva","nincs megadva","nincs megadva","kelet","utcai","nincs megadva","nincs megadva","nincs megadva","utca, közterület","nincs megadva",NA
"10","X. kerület, Ülloi út","45,9 millió Ft","73 m²","3 + 1 fél","Eladásra kínálok X. ker Gyárduloi lakótelep Ü L L O I  ÚTON egy 73 nm-es 3+1 szobás, délnyugati tájolású, utcára nézo, duplakomfortos, cirkó futéso lakást, tégla építésu, 4 emeletes liftes ház földszintjén.Teljesköruen felújított, új, szúnyoghálós nyílászárók, új burkolatok, új villamoshálózat, vízvezetékhálózat, új beltéri ajtók.  A magasminoségu konyhabútor a vételár részét képezi. Gyönyöru, világos lakás, azonnal költözheto! A környék kiemelkedoen jó, tömegközlekedési eszközökbol, illetve bevásárlási lehetoségbol is számos lehetoség adott.Eladási ára 45,9M FtBármilyen kérdés esetén keressen bizalommal.Hétvégén is hívhat!","közepes állapotú","nincs megadva","duplakomfortos","nincs megadva","félemelet","4","van","3 m-nél alacsonyabb","gáz (cirko)","nincs","nincs megadva","nincs megadva","külön és egyben is","délnyugat","utcai","nincs megadva","nem","nem tetotéri","nincs megadva",NA,NA
