"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Parkolóhely ára","Panelprogram"
"1","VI. kerület, Révay utca","58 millió Ft","36 m²","1","VI. kerületben a Bazilika és az Opera között a Révay utcában eladó egy exkluzívan felújított, 36 m2-es, 1 szoba-hallos, utcai nézetu, tehermentes lakás. Kituno választás bérbeadás, irodai használat vagy lakóingatlan céljára. Irányár: 60.000.000 Ft.Referencia szám: 434574","felújított","1950 elott","nincs megadva","nincs megadva","1","nincs megadva","nincs","3 m-nél magasabb","elektromos","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","utcai","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"2","X. kerület, Kolozsvári utca","21,5 millió Ft","34 m²","1","***X. kerület Ligettelken 34 m2-es, jó állapotú lakás eladó*** Csak az OTP Ingatlanpont kínálatában! Kobánya-Ligettelken, az Éles-Sarokhoz és a Kobánya felso vasútállomáshoz közel, a Kolozsvári utcában eladóvá vált egy egyszobás, világos, második emeleti, téglaépítésu lakás. A lakás felújított, új burkolatokat és festést kapott. A beépített konyhabútor gáztuzhellyel a vételár részét képezi. A futés konvektorral történik, a meleg-vizet villanybojler adja. Saját víz, gáz és elektromos méroórával rendelkezik. A WC és a zuhanyzós fürdoszoba külön került kialakításra. Alacsony rezsivel fenntartható. Az épület tetoszerkezete és a lépcsoház is felújított. A környék kifejezetten jó közlekedéssel és ellátottsággal bír. Pár perc sétával több lehetoség nyílik bevásárlásra. Közelben patika, orvosi rendelo, dohánybolt, élelmiszer üzletek, posta. Irodánk kedvezo hitellehetoségeket is biztosít vásárlóink részére! Keressen bizalommal, akár hétvégén is!","jó állapotú","1950 és 1980 között","komfortos","nincs megadva","2","3","nincs","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"3","Vác, Derecske","70,5 millió Ft","113 m²","5","CSOK, Zöld hitel igényelheto!Eladásra kínálom Vác-Déli részén, 113 nm alapterületu, SAJÁT 350nm-es KERTTEL, AUTÓBEÁLLÓVAL és terasszal rendelkezo új építésu sorház A/2 lakását.Kituno tervezésnek köszönhetoen mediterrán hangulat jellemzi, a lakás minden napszakban napos. Az utca kellemes hangulatú, a szomszédok is új építésu házakban élnek.A BERUHÁZÁSRÓL:1900 nm-es telekre épül 5 db sorházi ingatlan. Most még ki tudja választani családjának a legmegfelelobbet, ugyanis a házak nem egyformák. Van köztük 4 és 5 szobás, van amelyiknek garázsa és nagyobb kertje is van illetve 2 ingatlanhoz 13 nm-es tetoterasz is tartozik. A házak 93 nm-tol 113 nm-ig, az árak: 68,8Milliótól- 70,5 Millióig.Most az A/2-es ingatlan hirdetését látja. Itt a lakás hasznos területe 93 nm, tartozik hozzá egy 16 nm-es terasz, 4 nm-es erkély, egy autóbeálló és egy 350 nm-es saját kert. Az ingatlanban 4 hálószoba és egy amerikai konyha nappalival található. ( alaprajz a képek között megtalálható)Muszaki paraméterek: a futés Fan-Coll légbefúvásos hoszivattyúval történik. A nyílászárók 5 légkamrásak, 3 rétegu üvegezésuek. A falak téglából épülnek 2021-es szabványnak megfelelo szigeteléssel. Az ingatlan hideg és meleg burkolatai, belso ajtók, szaniterek egyedileg választhatóak értékhatáron belül. Komoly érdeklodés esetén részletes muszaki dokumentációt küldök.Az építkezés 2021 februárjában kezdodik és a beruházás 7 hónapot vesz igénybe. Ezért érdemes még idoben foglalni!Az ár kulcsrakész állapotra vonatkozik. A kivitelezo évek óta épít a környéken, kiváló referenciákkal rendelkezik, megbízható. Kedvezményes, támogatott hitelek, áfa visszaigénylés, illetékmentesség, CSOK, igénybe vehetoek.A környék folyamatosan fejlodik, már alig van a környéken üres telek. Közel a Duna part, autóval 5-10 percre minden elérheto ami a mindennapi élethez szükséges.Jöjjön, nézze meg az épülo házat, érezze a helyszínen is, hogy ez lehet az otthona! Hétvégén is várom hívását.","nincs megadva","2021","duplakomfortos","nincs megadva","földszint","2","nincs","nincs megadva","fan-coil","nincs megadva","nincs megadva","nem","egy helyiségben","nincs megadva","nincs megadva","20 m²","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"4","VIII. kerület, Rökk Szilárd utca","39,9 millió Ft","47 m²","2","Rökk Szilárd utcában 2 szobás második emeleti világos lakás eladó a Palotanegyedben!A Gutemberg térhez közel elhelyezkedo 47 m2-es, II. emeleti tégla lakás mind két szobája galériázott. Az össz alapterület így galériákkal együtt 57 m2.Fiatal pároknak és egyedülállóknak is ideális lehet, akiknek fontos az, hogy hamar a Belvárosba jussanak, a munka, a tanulás, vagy akár kikapcsolódás szempontjából. Rövid és hosszútávú kiadásra egyaránt tökéletes választás, hiszen kiváló tömegközlekedési lehetoségei (Rákóczi tér: M4-es metro és 4-es 6-os villamosok - 3 perc, Blaha Lujza tér: M2-es metro - 10 perc, Kálvin tér: M3-as metro - 15 perc), és az egyetemek közelsége (SOTE, BME, ELTE stb.) miatt könnyebben kiadható, mint a külso kerületekben.A lakás jelenlegi állapota 2019-ben lett kialakítva.A nagyobb méretu szoba ablakai dél-keletre néznek, a kisebbik szoba dél-nyugati tájolású. A nappali egy csendes belso udvarra néz, így nem kell aggódni a zaj miatt.","jó állapotú","1950 elott","nincs megadva","nincs megadva","2","nincs megadva","nincs megadva","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délkelet","udvari","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"5","Gyor, Belváros","38,5 millió Ft","80 m²","3","Gyorben, központi helyen eladó 2. emeleti, 80 nm-es, felújítandó állapotú tégla építésu lakás a Vasgereben utcában.Helyiségek: egy tágas közlekedo, három szoba, konyha kamrával, fürdoszoba és mosdó. A szobákban jó állapotú parketta, a többi helyiségben kerámia és linóleum burkolat került elhelyezésre. A nyílászárók muanyagok, reluxával felszereltek.A fürdoszobában gázkonvektor, a nagyszobák egyikében héraégos, a másikban fa tüzelésu cserépkályha biztosítja a meleget.A hozzá tartozó parkolási jog elkülönítve elérheto az Árkáddal szemben lévo parkolóban.Elhelyezkedésébol és méretébol adódóan lakhatás, illetve befektetés szempontjából is jó választás.Ha megtekintené az ingatlant, kérem, keressen bizalommal elérhetoségeim valamelyikén!","közepes állapotú","1950 elott","nincs megadva","nincs megadva","2","nincs megadva","nincs megadva","nincs megadva","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","északkelet","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"6","Veszprém, Orház utca 38.","66,8 millió Ft","79 m²","1 + 2 fél","Extra burkoló anyagok lettek beépítve!Az ingatlanhoz tároló és gépkocsibeálló vagy teremgarázs megvásárlása kötelezo, melyek árai a következok:-kültéri parkoló 2.54 M Ft-teremgarázs 6 M FtTop Residence Lakópark bemutatása: Kényelem, zöldövezet, nyugalomVeszprémben, az Orház utca-Munkácsy út – Pipacs utca közötti közel fél hektáros területen egy 32 lakásból álló, különösen magas minoségu és egyedi muszaki megoldásokkal bíró társasház kerül átadásra 2021. elso felében, mely tökéltes átmenetet képez a lakótelepi és családi házas övezet között.A Top Residence Lakópark megközelíthetosége kiváló, a veszprémi belvárostól gyalogosan és tömegközlekedéssel is gyorsan elérheto. A közelben iskola, óvoda, gyógyszertár és üzletek is találhatók. Az elkészült lakóépület lakásai önálló albetéten lesznek nyilvántartva. A lakók jogait és kötelezettségeit az alapító okirat, a kulturált együttélés szabályait a házirend fogja rögzíteni.A  liftes társasház épület technikai paramétereiAz ingatlan az Orház utca felol közelítheto meg személygépkocsival, gyalogos járda a Pipacs és Orház utcában található az ingatlan mellett.Az ingatlan 15 cm vastag hoszigeteléssel készült, energia besorolás napelemnek és a hoszivattyúkkal együtt A++. Az  ingatlanban :•Az akadálymentesített ingatlanban 32 lakás és 1 iroda/üzlet található•A lakások zárt, futött folyosóról közelíthetok meg.•Az épületbe 6 személyes Schindler típusú lift található, mely a teremgarázsból a penthause szintig közlekedik•24 teremgarázs hely (igény esetén bovítheto)•9 felszíni parkoló van jelenleg •23 db. tároló lett kialakítva különbözo méretekben  (igény esetén bovítheto)•A tárolók tuzgátló ajtóval elválasztottak a teremgarázstól• Az ingatlanhoz fedett kukatároló és kerti szerszámraktár tartozik.Futésellátás: •Házközponti gázmérés, lakásonkénti homennyiség mérovel•2 db 70 kW HOVAL típusú Cascade-ba kötött kondenzációs gázkazán szolgáltatja a meleget •Lakásonként radiátoros futés, illetve a 3 db.  penthause lakásban  padlófutésMelegvíz ellátás: •2 db 3,83 Kw hoszivattyú 1000 l puffer tartállyal állítja elo az ingatlanhoz szükséges melegvízet. •A melegvízellátás lakásonkénti melegvízméréssel van megoldva.Hidegvízellátás: •házközponti fomérorol, lekötött lakásonkénti hidegvízmérovel van ellátva.Mérohelyek:•Valamennyi méroegység a folyosókon van elhelyezve az adott lakás melletti méroszekrényben.Vízlágyító:•A vízellátásra egy központi gondozásmentes vízlágyító, vízkomentesíto készülék van telepítve.Internet, kábeltévé:•Tv, internethálózat központilag le van kábelezve minden lakásba (Digi, UPC Szolgáltató)Gépészet: •minden lakásban  alapcsövezése a klímának és a riasztónak is, Schneider Asfora fehér konnektorok és villanykapcsolók megfelelo számban felszerelve, 3 fázis minden lakásban.Biztonsági rendszer:•Garázsba CO füstgáz érzékelok vannak bekötve. •Az ingatlan biztonságát 11 db kamera segíti, melyek a bejáratokat, lépcsoházat, liftet, teremgarázst figyelik. (24 órás rögzítés)•Biztonsági rendszer elhelyezése teremgarázsban a gyengeáramú helyiségben van.•Mobiltelefonról vezérelheto, távirányítós kapunyitás ,kaputelefon van kiépítve a külso kerítéskapunál és az épület fobejáratánál is.Energia hatékonyság:•Tetore 8 kw napelem rendszer van telepítve, mely a ház közösségi villanymérojére termel rá. Lépcsoház világítás, garázs, liftüzemeltetés díja jelentosen kisebb költséggel jelentkezik.•3,83 kW hoszivattyús rendszer a melegvíz eloállításáhozH°Tarifás közösségi villamos fogyasztás mérés hoszivattyú és a napelem miatt, egyedi 50%-os áramdíjjaFogyasztásmérés:•A villamos fogyasztásméro szekrényeket az üzembe helyezéssel egy idoben leplombálják.•Vízóra és villanyóra lakásonként, (lakásokban nincs gáz) gázóra nem lesz, és mivel házközponti futés lesz ezért homennyiségmérok alapján fizetik a lakók az elhasznált gáz mennyiségét. Szellozés:•A vizes helyiségekben (fürdoszoba, toalett, konyha) muködo elszívó ventilátorok folyamatos és automatikusan szabályozott légforgalmat biztosítanak a lakásokban. Ezen igények kielégítésére csendes, megbízható muködésu ventilátorok kerülnek beépítésre. •A konyhákban (fürdoben is ) nyitható ablakok lesznek így itt a szellozés szintén megoldott, továbbá konyhai szagelszívó kialakítására van lehetoség. Födémek: •kéregpaneles az építész kiviteli terveknek megfelelo vastagságú elembol vagy ytong monolit vasbeton szerkezetbol épülnek, amire 5 cm vtg. lépés-hang gátló szigetelés beépítése után aljzatbeton és burkolat készül. •Ho- és hangszigetelés: •a lakáselválasztó falak hang-gátló szerkezetuek, a szintek közötti födémek 5 cm vtg. lépés-hang gátló szigeteléssel lesz ellátva. Fofalak: A lakások külso határoló 30 cm vtg. fofalaira 15 cm vastag H80 EPS hoszigetelo rendszer kerül. Teto hoszigetelés: 20 cm EPS lemezszigetelés, továbbá 5-6 cm vastagságú leterhelo kavicsréteg alatta PVC vízszint.  •Lábazati hoszigetelés: 5 cm XPS-30 zártcellás hoszigetelés kerül. Nyílászárók, ajtók:•A lakások bejárati ajtói több ponton záródó, kitekintovel is ellátott prémium minoségu biztonsági, hoszigetelt ajtók, megfelelo számú gyári kulccsal kerülnek beépítésre.•5 légkamrás, fóliázott muanyag ablakok, 3 rétegu hoszigetelo üvegezéssel, hohíd-mentes, színtartó, ütésálló profil, horganyzott acélbetét merevítéssel, megbízható vasalattal, a külso nyílászárókra eloírt Rw>32 dB és Uw<1.6 követelmény betartásával), a szükséges helyen automatikus muködésu légbevezeto elemekkel ellátottak.•Lépcsoházi bejárati ajtó: muanyag szerkezetu ajtók. •Belso ajtók: CPL felületu ajtólappal és utólag szerelheto tokkal, hagyományos zárbetétekkel. •Redony tok: a külso nyílászáró felett kerül kialakításra a tok, de redonyök nélkül. Tekintettel az egységes külso megjelenésre minden egyedi megrendelés esetén ugyanazt a típust és szint tudjuk kivitelezni. Lehetoség van elektromos redony beszerelésére (alumínium redony lesz), melyet szintén külön opcióként kínáljuk, mivel az elektromos kiállások meglesznek minden lakásban. Festés: •A lakások falai, mennyezetei fehér színre 2 rétegben festetten kerülnek átadásra. •Az épületen belüli közös helyiségek úgy mint az elotér, lépcsoház, tárolók falai diszperzit festésuek, a padlók gránitorleményes olasz lappal modern, a mai kor igényességét és igénybevételének teljes mértékben megfelelo, kellemes esztétikai élményt nyújtó csúszásmentes, jól kezelheto és magas kopásállóságú burkoltakkal lesznek befedve. A teraszokon fagyálló, csúszásmentes kerámia vagy térburkoló lap lesz. Burkolatok: •Hidegburkolatok: a lábazat a hidegpadló anyagából max. 10 cm magasságig lesz kialakítva. •A lakások hidegpadlós helyiségeinek a padozata (wc, fürdoszoba) és falburkolata is kerámia lapot kap. A toalett helyiségben 1,20 méter magaságig, a fürdoben 2,10 méter magaságig tervezzük csempézni, de igény és külön elszámolása alapján eltérhetünk. Hideg- és meleg burkolat határokon burkolatváltó profil lesz felrakva. Lehetoség van a vevok által hozott burkolatok beépítésére a lakásokon belül. •Melegburkolat: a szobákba a bemutató termékeinkbol választott laminált parketta kerül, a burkolattal azonos színu elore gyártott laminált szegoelemmel, de a mai lakástrendeknek megfeleloen a vevoinknek lehetoség van már más helyiségekbe is ezt a típusú kellemes hatású meleg burkolatot kérni, illetve egyedileg hozni.  Lakások, élettér:•A lakások alapterületei 37m2-tol 89 m2-ig (1+1 szoba, 1+2 szoba, 1+3 szoba) terjednek, elrendezését tekintve egy légtérben lévo konyha-nappali-étkezo (amerikai konyhás nappali, pár lakásban külön kamra helyiséggel), közlekedobol, elotérbol nyíló fürdoszobák és külön kézmosóval ellátott toalett (kis lakásoknál a toalett egyben van a fürdoszobával), hálószoba és szoba, szobák lettek kialakítva, terasszal vagy terasz nélkül.  •A lakások belmagasság: 256-260 cm lesz. A burkolt, fedett terasz mérete 10 m2-tol 47 m2-ig terjed, míg a földszinti lakásokhoz tartozó privát zöldfelület 16 m2-tol 35 m2-ig lesz kiépítve.  A lakópark tervezésekor figyeltünk arra, hogy a lakásaink a kedvezo tájolás felé forduljanak, és külön bejáratú szobákkal tettük lehetové a magánszférák megorzését. A lakások nem tartalmazzák a konyhabútort, egyéb beépített szekrényeket. Igény és külön megrendelés és elszámolás alapján látványtervet készítünk, legyártjuk és beépítjük. Egyedi elképzelések megvalósítását is vállaljuk, lehetoséget adunk egyedi burkolatok kiválasztására, egyedi építészeti megoldások kivitelezésére, külön elszámolás alapján. Konyha: Mosogató lefolyó, hideg-melegvíz kiállás, ha szükséges mosogatógép részére kiállások. Villanytuzhely részére, betápláló villany csatlakozó kiállás készül. Minden a lakások alap muszaki felszereltségéhez tartozó beépítendo anyagunkat megtekinthetik az építkezés területén kihelyezett bemutató helyiségben ill. az egyik minta lakásunkban.  Kiemelten fontosnak tartjuk, hogy a készülo lakások minél szélesebb igényeket ki tudjanak elégíteni. Az alábbi opciók a lakások alap muszaki felszereltségének nem részei, de külön írásos megrendelés, kapacitás és felmérést követoen tudunk rá árajánlatot küldeni, amennyiben annak kivitelezése még megoldható az építkezés megfelelo fázisában: •       áttervezés, belso falak mozgatása, ytong és gipszkarton elotétfalak építése •       szárazépítés (álmennyezet, dekorelem, gipszkartonfal készítése)•       hideg és melegburkolatok egyedi készítése •       speciális tolóajtók építése •       felületképzés (színes falak)•       konyhabútor, beépített szekrények készítése•       vizesblokkok kiegészíto berendezéseinek beszerzése, beépítése  (pl. bide)•       világítótestek felhelyezése •       klíma beszerelés •       elektromos törölközoszárító radiátor •       épített zuhany, üvegfal •       riasztó beszerelése  •       elektromos redony (alapban csak a tok van felszerelve) •       szúnyoghálókLehetoség van a személyes egyeztetésre és az építkezés, lakásaink bejárására és megismerésére, kizárólag elozetes telefonon történo egyeztetést követoen, ill. kérésre bovebb muszaki leírást adunk. Keressen minket bátran!","új építésu","2021","összkomfortos","BB","2","4","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","igen","külön helyiségben","dél","udvari","19.28 m²","nem","nem tetotéri","teremgarázs hely - kötelezo megvenni","6 000 000 Ft",NA
"7","Veszprém, Orház utca 38.","63,8 millió Ft","80 m²","1 + 3 fél","Ennek a lakásnak külön kamra helyisége van! Extra burkoló anyagok lettek beépítve!Az ingatlanhoz tároló és gépkocsibeálló vagy teremgarázs megvásárlása kötelezo, melyek árai a következok:-kültéri parkoló 2.54 M Ft-teremgarázs 6 M FtTop Residence Lakópark bemutatása: Kényelem, zöldövezet, nyugalomVeszprémben, az Orház utca-Munkácsy út – Pipacs utca közötti közel fél hektáros területen egy 32 lakásból álló, különösen magas minoségu és egyedi muszaki megoldásokkal bíró társasház kerül átadásra 2021. elso felében, mely tökéltes átmenetet képez a lakótelepi és családi házas övezet között.A Top Residence Lakópark megközelíthetosége kiváló, a veszprémi belvárostól gyalogosan és tömegközlekedéssel is gyorsan elérheto. A közelben iskola, óvoda, gyógyszertár és üzletek is találhatók. Az elkészült lakóépület lakásai önálló albetéten lesznek nyilvántartva. A lakók jogait és kötelezettségeit az alapító okirat, a kulturált együttélés szabályait a házirend fogja rögzíteni.A  liftes társasház épület technikai paramétereiAz ingatlan az Orház utca felol közelítheto meg személygépkocsival, gyalogos járda a Pipacs és Orház utcában található az ingatlan mellett.Az ingatlan 15 cm vastag hoszigeteléssel készült, energia besorolás napelemnek és a hoszivattyúkkal együtt A++. Az  ingatlanban :•Az akadálymentesített ingatlanban 32 lakás és 1 iroda/üzlet található•A lakások zárt, futött folyosóról közelíthetok meg.•Az épületbe 6 személyes Schindler típusú lift található, mely a teremgarázsból a penthause szintig közlekedik•24 teremgarázs hely (igény esetén bovítheto)•9 felszíni parkoló van jelenleg •23 db. tároló lett kialakítva különbözo méretekben  (igény esetén bovítheto)•A tárolók tuzgátló ajtóval elválasztottak a teremgarázstól• Az ingatlanhoz fedett kukatároló és kerti szerszámraktár tartozik.Futésellátás: •Házközponti gázmérés, lakásonkénti homennyiség mérovel•2 db 70 kW HOVAL típusú Cascade-ba kötött kondenzációs gázkazán szolgáltatja a meleget •Lakásonként radiátoros futés, illetve a 3 db.  penthause lakásban  padlófutésMelegvíz ellátás: •2 db 3,83 Kw hoszivattyú 1000 l puffer tartállyal állítja elo az ingatlanhoz szükséges melegvízet. •A melegvízellátás lakásonkénti melegvízméréssel van megoldva.Hidegvízellátás: •házközponti fomérorol, lekötött lakásonkénti hidegvízmérovel van ellátva.Mérohelyek:•Valamennyi méroegység a folyosókon van elhelyezve az adott lakás melletti méroszekrényben.Vízlágyító:•A vízellátásra egy központi gondozásmentes vízlágyító, vízkomentesíto készülék van telepítve.Internet, kábeltévé:•Tv, internethálózat központilag le van kábelezve minden lakásba (Digi, UPC Szolgáltató)Gépészet: •minden lakásban  alapcsövezése a klímának és a riasztónak is, Schneider Asfora fehér konnektorok és villanykapcsolók megfelelo számban felszerelve, 3 fázis minden lakásban.Biztonsági rendszer:•Garázsba CO füstgáz érzékelok vannak bekötve. •Az ingatlan biztonságát 11 db kamera segíti, melyek a bejáratokat, lépcsoházat, liftet, teremgarázst figyelik. (24 órás rögzítés)•Biztonsági rendszer elhelyezése teremgarázsban a gyengeáramú helyiségben van.•Mobiltelefonról vezérelheto, távirányítós kapunyitás ,kaputelefon van kiépítve a külso kerítéskapunál és az épület fobejáratánál is.Energia hatékonyság:•Tetore 8 kw napelem rendszer van telepítve, mely a ház közösségi villanymérojére termel rá. Lépcsoház világítás, garázs, liftüzemeltetés díja jelentosen kisebb költséggel jelentkezik.•3,83 kW hoszivattyús rendszer a melegvíz eloállításáhozH°Tarifás közösségi villamos fogyasztás mérés hoszivattyú és a napelem miatt, egyedi 50%-os áramdíjjaFogyasztásmérés:•A villamos fogyasztásméro szekrényeket az üzembe helyezéssel egy idoben leplombálják.•Vízóra és villanyóra lakásonként, (lakásokban nincs gáz) gázóra nem lesz, és mivel házközponti futés lesz ezért homennyiségmérok alapján fizetik a lakók az elhasznált gáz mennyiségét. Szellozés:•A vizes helyiségekben (fürdoszoba, toalett, konyha) muködo elszívó ventilátorok folyamatos és automatikusan szabályozott légforgalmat biztosítanak a lakásokban. Ezen igények kielégítésére csendes, megbízható muködésu ventilátorok kerülnek beépítésre. •A konyhákban (fürdoben is ) nyitható ablakok lesznek így itt a szellozés szintén megoldott, továbbá konyhai szagelszívó kialakítására van lehetoség. Födémek: •kéregpaneles az építész kiviteli terveknek megfelelo vastagságú elembol vagy ytong monolit vasbeton szerkezetbol épülnek, amire 5 cm vtg. lépés-hang gátló szigetelés beépítése után aljzatbeton és burkolat készül. •Ho- és hangszigetelés: •a lakáselválasztó falak hang-gátló szerkezetuek, a szintek közötti födémek 5 cm vtg. lépés-hang gátló szigeteléssel lesz ellátva. Fofalak: A lakások külso határoló 30 cm vtg. fofalaira 15 cm vastag H80 EPS hoszigetelo rendszer kerül. Teto hoszigetelés: 20 cm EPS lemezszigetelés, továbbá 5-6 cm vastagságú leterhelo kavicsréteg alatta PVC vízszint.  •Lábazati hoszigetelés: 5 cm XPS-30 zártcellás hoszigetelés kerül. Nyílászárók, ajtók:•A lakások bejárati ajtói több ponton záródó, kitekintovel is ellátott prémium minoségu biztonsági, hoszigetelt ajtók, megfelelo számú gyári kulccsal kerülnek beépítésre.•5 légkamrás, fóliázott muanyag ablakok, 3 rétegu hoszigetelo üvegezéssel, hohíd-mentes, színtartó, ütésálló profil, horganyzott acélbetét merevítéssel, megbízható vasalattal, a külso nyílászárókra eloírt Rw>32 dB és Uw<1.6 követelmény betartásával), a szükséges helyen automatikus muködésu légbevezeto elemekkel ellátottak.•Lépcsoházi bejárati ajtó: muanyag szerkezetu ajtók. •Belso ajtók: CPL felületu ajtólappal és utólag szerelheto tokkal, hagyományos zárbetétekkel. •Redony tok: a külso nyílászáró felett kerül kialakításra a tok, de redonyök nélkül. Tekintettel az egységes külso megjelenésre minden egyedi megrendelés esetén ugyanazt a típust és szint tudjuk kivitelezni. Lehetoség van elektromos redony beszerelésére (alumínium redony lesz), melyet szintén külön opcióként kínáljuk, mivel az elektromos kiállások meglesznek minden lakásban. Festés: •A lakások falai, mennyezetei fehér színre 2 rétegben festetten kerülnek átadásra. •Az épületen belüli közös helyiségek úgy mint az elotér, lépcsoház, tárolók falai diszperzit festésuek, a padlók gránitorleményes olasz lappal modern, a mai kor igényességét és igénybevételének teljes mértékben megfelelo, kellemes esztétikai élményt nyújtó csúszásmentes, jól kezelheto és magas kopásállóságú burkoltakkal lesznek befedve. A teraszokon fagyálló, csúszásmentes kerámia vagy térburkoló lap lesz. Burkolatok: •Hidegburkolatok: a lábazat a hidegpadló anyagából max. 10 cm magasságig lesz kialakítva. •A lakások hidegpadlós helyiségeinek a padozata (wc, fürdoszoba) és falburkolata is kerámia lapot kap. A toalett helyiségben 1,20 méter magaságig, a fürdoben 2,10 méter magaságig tervezzük csempézni, de igény és külön elszámolása alapján eltérhetünk. Hideg- és meleg burkolat határokon burkolatváltó profil lesz felrakva. Lehetoség van a vevok által hozott burkolatok beépítésére a lakásokon belül. •Melegburkolat: a szobákba a bemutató termékeinkbol választott laminált parketta kerül, a burkolattal azonos színu elore gyártott laminált szegoelemmel, de a mai lakástrendeknek megfeleloen a vevoinknek lehetoség van már más helyiségekbe is ezt a típusú kellemes hatású meleg burkolatot kérni, illetve egyedileg hozni.  Lakások, élettér:•A lakások alapterületei 37m2-tol 89 m2-ig (1+1 szoba, 1+2 szoba, 1+3 szoba) terjednek, elrendezését tekintve egy légtérben lévo konyha-nappali-étkezo (amerikai konyhás nappali, pár lakásban külön kamra helyiséggel), közlekedobol, elotérbol nyíló fürdoszobák és külön kézmosóval ellátott toalett (kis lakásoknál a toalett egyben van a fürdoszobával), hálószoba és szoba, szobák lettek kialakítva, terasszal vagy terasz nélkül.  •A lakások belmagasság: 256-260 cm lesz. A burkolt, fedett terasz mérete 10 m2-tol 47 m2-ig terjed, míg a földszinti lakásokhoz tartozó privát zöldfelület 16 m2-tol 35 m2-ig lesz kiépítve.  A lakópark tervezésekor figyeltünk arra, hogy a lakásaink a kedvezo tájolás felé forduljanak, és külön bejáratú szobákkal tettük lehetové a magánszférák megorzését. A lakások nem tartalmazzák a konyhabútort, egyéb beépített szekrényeket. Igény és külön megrendelés és elszámolás alapján látványtervet készítünk, legyártjuk és beépítjük. Egyedi elképzelések megvalósítását is vállaljuk, lehetoséget adunk egyedi burkolatok kiválasztására, egyedi építészeti megoldások kivitelezésére, külön elszámolás alapján. Konyha: Mosogató lefolyó, hideg-melegvíz kiállás, ha szükséges mosogatógép részére kiállások. Villanytuzhely részére, betápláló villany csatlakozó kiállás készül. Minden a lakások alap muszaki felszereltségéhez tartozó beépítendo anyagunkat megtekinthetik az építkezés területén kihelyezett bemutató helyiségben ill. az egyik minta lakásunkban.  Kiemelten fontosnak tartjuk, hogy a készülo lakások minél szélesebb igényeket ki tudjanak elégíteni. Az alábbi opciók a lakások alap muszaki felszereltségének nem részei, de külön írásos megrendelés, kapacitás és felmérést követoen tudunk rá árajánlatot küldeni, amennyiben annak kivitelezése még megoldható az építkezés megfelelo fázisában: •       áttervezés, belso falak mozgatása, ytong és gipszkarton elotétfalak építése •       szárazépítés (álmennyezet, dekorelem, gipszkartonfal készítése)•       hideg és melegburkolatok egyedi készítése •       speciális tolóajtók építése •       felületképzés (színes falak)•       konyhabútor, beépített szekrények készítése•       vizesblokkok kiegészíto berendezéseinek beszerzése, beépítése  (pl. bide)•       világítótestek felhelyezése •       klíma beszerelés •       elektromos törölközoszárító radiátor •       épített zuhany, üvegfal •       riasztó beszerelése  •       elektromos redony (alapban csak a tok van felszerelve) •       szúnyoghálókLehetoség van a személyes egyeztetésre és az építkezés, lakásaink bejárására és megismerésére, kizárólag elozetes telefonon történo egyeztetést követoen, ill. kérésre bovebb muszaki leírást adunk. Keressen minket bátran!","új építésu","2021","összkomfortos","BB","1","4","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","igen","külön helyiségben","délkelet","udvari","9.3 m²","nem","nem tetotéri","teremgarázs hely - kötelezo megvenni","6 000 000 Ft",NA
