"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Panelprogram","Parkolóhely ára"
"1","Sopron, II. Rákóczi Ferenc utca","36 millió Ft","76 m²","3","A lakás elso emeleti, 3 szobás, amerikai konyhás részben felújított társasházi lakás. Tehermentes, 2022. Januárban veheto birtokba. Kb 10 éve nyílászárók cseréje, udvarfeloli és kapubejáró alsó oldali részének hoszigetelése, villanyvezetékek áthúzása, falak glettelése, gipszkartonozás, megtörtént. Bebelváros egyik legfrekventáltabb helyén helyezkedik el. 2-5 perc sétával minden elérheto: iskola, óvoda, orvosi rendelo, cukrázda, nagy posta, Templom, hivatalok, étterem, cukrázda, boltok, buszmegálló.","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"2","III. kerület, Békásmegyeri lakótelep hegy felol","32,49 millió Ft","51 m²","2","Békásmegyer hegy feloli oldalán kínálunk eladásra egy 2 szobás, 51nm-es lakást.A jelenlegi tulajdonos megkezdte az ingatlan felújítását, melynek során cserére kerültek az ablakok, a belso ajtók, a konyha, az eloszoba, a fürdo és a wc burkolata, ill. a teljes villamoshálózatot is kicserélték. Az új tulajdonosra hárul a két lakószoba burkolatának a cseréje. Valamint a konyha bebútorozása.A felújítás során klíma kiállás is vezetékezésre került.A lakás rövid idon belül birtokba veheto.További információért kérem keressen!Referencia szám: LK044743","jó állapotú","1950 és 1980 között","nincs megadva","nincs megadva","3","nincs megadva","van","nincs megadva","távfutés","nincs megadva","nincs megadva","nincs megadva","nincs megadva","kelet","utcai","nincs megadva","nincs megadva","nem tetotéri","nincs megadva","nincs megadva",NA
"3","XIII. kerület, Radnóti Miklós utca","69,9 millió Ft","101 m²","2 + 1 fél","Újlipótváros szívében a Radnóti Miklós és Tátra utcák találkozásánál, magasemeleti, tulajdoni lap szeirnt 101, a valóságban 106 nm-es, napfényes, 2+1 szobás, nagy étkezo konyhás, polgári lakás. Minden szobája külön bejáratú, a két nagyobb szoba a Tátra utcára, a kis szoba és a konyha a ház belso udvarára néz. Az ingatlan felújításra szorul.Referencia szám: LK047272","jó állapotú","1950 elott","nincs megadva","nincs megadva","3","nincs megadva","nincs megadva","nincs megadva","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","északkelet","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"4","IV. kerület, Vörösmarty utca","18,5 millió Ft","27 m²","1","Újpest Központ közelében eladásra kínálok egy kedves, világos kis lakást.Kellemes otthonra találhat a nyugodt környéken, valamint tömegközlekedés szempontjából is kituno választás lehet, hiszen néhány perc alatt a belvárosban lehet.Kifejezetten ajánlom fiatal párnak, illetve akár elso lakásnak is megfelelo.","jó állapotú","nincs megadva","nincs megadva","nincs megadva","nincs megadva","földszintes","nincs megadva","nincs megadva","gáz (konvektor)","nincs megadva","12 E Ft/hó","nincs megadva","egy helyiségben","nincs megadva","udvari","25 m²","nincs megadva","nincs megadva","nincs megadva",NA,NA
"5","XXI. kerület, Színesfém utca","13 millió Ft","20 m²","1","Ingatlanközvetítok kérem NE keressenek !Eladó egy 20 négyzetméteres ingatlan Csepel központjába, amely egy fürdoszobára , egy hálószobára és egy konyhára tagolódik.A H7-es hévtol, mely a Boráros térig közlekedik pár száz méterre található az ingatlan. Továbbá a közelében fellelheto Aldi, Lidl, Tesco, posta, rendorség, piac, Csepel Plaza, bölcsodék, iskolák. Egy három szintes épület második emeletén helyezkedik el, a közlekedo folyosó mindkét végén lift található. Az ingatlan kamera és belépteto rendszerrel felszerelt, emellett teljes felújításon estek át a víz és a villany vezetékek, a csatorna rendszer, a folyosók frissen burkoltak, a nyílászárok szintén nemrég kerültek cserére.A végleges befejezése október végére várható, tehát teljesen felújításra kerül.","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"6","VII. kerület, Akácfa utca","99,99 ezer €","39 m²","1","In Akácfa Street, in the very central of Pest, with perfect traffic conditions - a bright studio apartment with large terrace, in a new-like building with underground parking is for sale.Both the living area and the kitchen area is bright.The apartment faces to the large inner park of the builing, and from the terrace it has panoramic view to Gellért Hill / Statue of Liberty, especially in the night its lights are attractive.Common charge of the building is 22.085 huf/month.Water, electricty, heating, water warm-up costs billed by usage.Offering price is 99.990 Euro.","jó állapotú","2001 és 2010 között","nincs megadva","nincs megadva","6","8","van","nincs megadva","házközponti egyedi méréssel","nincs megadva","50 M Ft/hó","nincs megadva","egy helyiségben","nincs megadva","kertre néz","10 m²","nincs megadva","nincs megadva","nincs megadva",NA,NA
"7","XIII. kerület, Madarász Viktor utca","34 millió Ft","60 m²","2","Angyalföldön  a Fiastyúk lakótelepen tulajdonosoktól eladó  egy felújítandó 60 m2-es lakás.Két szoba összkomfortos (konyha, kamra, fürdoszoba, külön WC, gardrób, eloszoba), távfutéses. A meleg vízrol bojler gondoskodik. A szobák külön bejáratúak.A nagyobb szoba (~20m2) nyugat felé az  utcára, a kisebb szoba (~14m2) és a konyha keletre, belso gondozott zöld udvarra néz. A földszinten lévo ingatlan tiszta, rendezett, 3 emeletes 1950-es években téglából épült társasházban található. A lakáshoz a pincében  saját zárható tároló tartozik.  Néhány perc sétával elérheto az M3-as metró,  15-ös, 32-es,105-ös/178-as, 120-as  busz. A közelben sportolási  lehetoség, óvoda és iskola.A lakás ára: 34 MFtKözvetítoi segítséget nem kérünk!","felújítandó","1950 és 1980 között","összkomfortos","nincs megadva","földszint","3","nincs","3 m-nél alacsonyabb","távfutés","nincs","nincs megadva","nem","külön helyiségben","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","utca, közterület - fizetos övezet",NA,NA
"8","Komló, Nagyszántó utca 8.","12,5 millió Ft","69 m²","3","Komló közkedvelt részén, Körtvélyesben szép állapotú, gyönyöru panorámával rendelkezo szép ingatlan eladó. A lépcsoház rendezett, jó lakóközösséggel, szépen karbantartott lépcsoház, felújított lifttel, jó anyagiakkal rendelkezik.  A 3 szoba, eloszoba laminált padlós, konyha kövezett,nem rég esett át felújításon. Új nyílászárók, új bejárati ajtó. Erkély, tárolóval is rendelkezik. Óvoda, rendelo, posta,patika, boltok a közelben.","jó állapotú","1981 és 2000 között","összkomfortos","nincs megadva","7","10","van","3 m-nél alacsonyabb","távfutés","nincs","10 E Ft/hó","nincs megadva","külön helyiségben","nincs megadva","panorámás","nincs megadva","nem","nem tetotéri","utca, közterület - ingyenes","nincs megadva",NA
"9","Tata, Gesztenye fasor","34,5 millió Ft","60 m²","3","Tégla építésu, elso emeleti három szobás lakás eladó. 60 nm + terasz, +alagsori tárolóval rendelkezik. Parkolási lehetoség közvetlenül a ház mellett. A konyha gépesítve, a lakás költözheto állapotban. Érdeklodni a megadott telefonszámon lehetséges.","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"10","Tatabánya, Mártírok útja 52.","17 millió Ft","53 m²","2","Eladó 53 m2-es lakás Tatabánya központjában. Iskola, óvoda közelben, a lakás teljes mértékben felújítandó.","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA
"11","Miskolc, Andrássy utca","22,5 millió Ft","55 m²","2","Eladó munkahelyváltás miatt szeretett, 1.emeleti erkélyes, 55m2-es, 2 szobás lakásom, rendezett 4 emeletes társasházban. Muanyag nyílászárók, új biztonsági bejárati ajtó és alacsony rezsi. A lomos jelenleg gardróbként funkcionál, ezért felszerelésre került pár polc, mely a vételár részét képezi. A lakóközösség jó, a szomszédok nagyon kedvesek. Ingyenes parkolás elol és hátul is, csendes környezet, de a belváros mindössze 10 percre van. Infrastruktúra szempontjából kivételes! Közelben busz-és villamosmegálló, posta, gyógyszertár, orvosi rendelo, általános -és középiskola, benzinkút, boltok (például SPAR, dohánybolt, lottózó stb.) Érdeklodni a megadott telefonszámon lehet.","nincs megadva","nincs megadva","összkomfortos","nincs megadva","1","4","nincs","3 m-nél alacsonyabb","távfutés","nincs megadva","nincs megadva","nem","külön helyiségben","nincs megadva","nincs megadva","3 m²","nincs megadva","nem tetotéri","utca, közterület - ingyenes","nincs megadva",NA
"12","Sárvár, Belváros","26,5 millió Ft","53 m²","2","Sárváron eladásra kínálok egy 53 m2 es 2 szoba ,konyha,fürdoszoba ,külön wc  3. emeleti felújított lakást., Az ingatlan központi helyen helyezkedik el a Gyógyfürdo és a város központ is pár percre található.  Felújítása során mely 2016 ban  volt parketta ,járólap , csempe és hoszigetelt nyílászárókat kapott melyek redonnyel egybe szereltek..Nagyszobában légkondicíonáló kapott helyet mely hutt és futt is.A ház földszintjén elhelyezkedo tároló kb 5-6 m2  a lakáshoz tartozik. Holeadását gázkonvektor  egyedi mérovel, meleg víz ellátását villanybojler biztosítja.Igény esetén bútorozottan is eladóBovebb információ esetén kérem hívjon bizalommal.","felújított","1950 és 1980 között","összkomfortos","nincs megadva","3","3","nincs megadva","nincs megadva","gáz (konvektor)","van","nincs megadva","nincs megadva","külön helyiségben","kelet","panorámás","3 m²","nincs megadva","nincs megadva","utca, közterület",NA,NA
"13","Martfu, Szolnoki út","15 millió Ft","49 m²","1 + 1 fél","Jó állapotban lévo 2 szobàs lakás eladó! részben felújított martfu belvárosában 2.emeleten! érdeklodni telefonon","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","25 E Ft/hó","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"14","XVII. kerület, Kaszáló utca","42,5 millió Ft","54 m²","2","Frissen felújított lakás15 ponton záró bejárati ajtóÖsszes nyílászáró cserélveÚj klímaElektromosan és gépészetileg teljesen felújítvaÚj konyhabútor, szagelszívó, mosógép, mosogatógép beüzemelveFürdoszoba bútorozva, törölközoszárítóval ellátvaÚj wcTerasz is teljesen felújítvaKözös költség 6000.-Távfutés :12.500. -Fényképeket kérésre emai-ban küldök","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","4 m²","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA
"15","Tordas, Gyúrói út","61 millió Ft","90 m²","2 + 1 fél","Tordason a Gyúrói úti Tordaskert lakóparkban tulajdonostól eladó egy soha nem lakott új, azonnal birtokba veheto, elso emeleti összkomfortos lakás. Az ingatlan rendezett, 4 lakásos társasházban található.JELLEMZOI:- A lakás 90nm (teljes mérete Bruttó 110nm), melyhez 19,23nm-es hatalmas terasz, egy 18nm-es garázs + az elotte lévo kocsibeálló, illetve 148nm kertrész tartozik.A lakás felosztása: óriási nyitott amerikai stílusú konyha + nappali + elotér, 3 hálószoba, nagy fürdoszoba walk in zuhanyzóval, illetve nagy káddal, wc-vel, + különálló mellékhelyiség.- Az ingatlant reggeltol estig körbesüti a nap (napos ido esetén)- Az ingatlan gázközponti futéssel rendelkezik, amely a melegvizet is biztosítja.- Az ingatlan légkondicionált.- A ház elott ingyenes parkolási lehetoségKÖRNYÉK:- Az ingatlan a település központjától autóval 3-5 percre, sétálva 10-15 percre található. A településen színvonalas óvoda, és iskola, posta, orvosi rendelo, élelmiszerbolt, stb található.- A településen a kulturális és sportélet igen aktív. - A település Budapesttol 30km-re, a Velencei tótól 10km-re, Székesfehérvártól 30km-re, Balatontól 60km-re van.KÉREM, INGATLANOSOK NE KERESSENEK, köszönöm!","újszeru","2011","összkomfortos","A+","1","2","nincs","3 m-nél alacsonyabb","gázkazán","van","nincs megadva","nem","külön és egyben is","nincs megadva","nincs megadva","20 m²","nem","nincs megadva","önálló garázs - benne van az árban",NA,NA
"16","Sárvár, Belváros","39,5 millió Ft","87 m²","3 + 1 fél","Sárváron kínálok eladásra egy 87 m2 es lakást mely  3 szoba ,nappali ,konyha,étkezo ,fürdo és külön wc-bol áll. Az ingatlan 2019 ben teljes felújításon esett át ahol víz -villany rendszer csere ,járólap ,parketta, ablakok cseréje történt.Új külso szigetelést is kapott az ingatlanHoleadása távho által radiátoros megoldással biztosított. Meleg víz ellátása villanybojlerrel történik.Részben bútorozottan várja új tulajdonosát.Bovebb információ esetén hívjon bizalommal.","újszeru","1981 és 2000 között","összkomfortos","nincs megadva","1","2","nincs megadva","nincs megadva","távfutés","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","kelet","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"17","Orosháza, Liget utca 4/b, 4emelet /12","11 millió Ft","60 m²","2","Orosházi lakás eladó! Jelenlegi állapota felújítandó!","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"18","Kazincbarcika, Mátyás király út","9,5 millió Ft","42 m²","1 + 1 fél","Eladó egy harmadik emeleti, 42 négyzetméteres, felújítandó lakás. Két önálló, napfényes szobával, franciaerkéllyel rendelkezik. Nappalihoz klíma kiépítve. Nappaliban új padlószonyeg, konyhában pár-éves konyhabútor van. Pincei kis alapterületu tároló is tartozik a lakáshoz.Közelben bolt, étterem, óvoda, iskola található. Kérem ingatlanközvetítok ne keressenek!","felújítandó","nincs megadva","összkomfortos","nincs megadva","nincs megadva","5","nincs","3 m-nél alacsonyabb","távfutés","van","nincs megadva","nem","egy helyiségben","nincs megadva","panorámás","nincs megadva","nem","nincs megadva","utca, közterület - ingyenes",NA,NA
"19","Szeged, Belváros","73,7 millió Ft","105 m²","5","Lépjen be új otthonának ajtaján az ingatlanról készített látványterveink segítségével.KIVÉTELES LEHETOSÉG!!!Szeged belvárosában már épülo, 11 lakásos LIFTES, társasházban ajánlom figyelmükbe ezt a két generációs nappali + 4 szobás, (104.74 nm), két erkélyes (3.19 nm +2.13 nm), dupla komfortos második emeleti lakást.Az ingatlan kialakításának köszönhetoen kiválóan alkalmas két generáció kényelmes, nyugodt, FÜGGETLEN együttélésére.Modern tervezés, élheto terek jellemzik a belso kialakítást.A feltüntetett ár emelt szerkezetkész muszaki tartalomra vonatkozik, de az ingatlan kulcsrakészen is megvásárolható.Az ingatlan 2023. II. névében veheto birtokba.Garázs illetve autóbeálló vásárlására is van lehetoség.A kivitelezést végzo vállalat több évtizedes szakmai tapasztalata a garancia a minoségi anyagfelhasználásra, valamint az ingatlan határidore történo átadására.A LAKÁS VÉTELÁRA 5% ÁFÁ-T TARTALMAZ!- ILLETÉKMENTESSÉG- CSOK TÁMOGATÁSPénzügyi szolgáltatásaink ingyenesen elérhetoek ügyfeleink számára.Amennyiben hitelfelvételre vagy csok támogatásra, lenne szüksége az ingatlan megvásárlásához szakérto kollégáink állnak rendelkezésére.Köszönjük a bizalmát!","nincs megadva","2021","duplakomfortos","nincs megadva","2","4","van","3 m-nél alacsonyabb","hoszivattyú, padlófutés","nincs megadva","nincs megadva","igen","külön helyiségben","nincs megadva","panorámás","5 m²","nincs megadva","nincs megadva","önálló garázs - megvásárolható",NA,"6 600 000 Ft"
