"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Parkolóhely ára","Panelprogram"
"1","XIII. kerület, Csata utca 3-7.","86,1 millió Ft","74 m²","3","A K C I Ó !  Minoségi lakások, megfizetheto áron.Budapest XIII. kerületében a Csata – Mohács utca keresztezodésében épülo társasházban eladásra kínálunk lakásokat.A lakás befetetésnek is kiváló. Két önálló szobához külön-külön tartozik fürdoszoba és WC is. Az érintett lakás a hamadik emeleten található. A Társasházban több, hasonló lakást is eladásra kínálunk.A kivitelezo, Fezosza Kft több mint 15 éve jelen van a piacon, és több mint 2.500 lakás kivitelezésében vett részt. Kiváló közlekedéssel, a belvárostól mindössze öt percre található.Minden lakás mennyezeti futés-hutéssel ellátott.Várható átadás: 2021. év vége, 2022. év eleje.Kérjük tekintse meg weboldalunkat (west5.hrtl) melyen további lakásokat kínálunk eladásra.(Kérjük, hogy ingatlanközvetítok ne keressenek.)","új építésu","2021","duplakomfortos","AA","nincs megadva","7","van","3 m-nél alacsonyabb","hoszivattyú, mennyezeti hutés-futés","van","25 E Ft/hó","nem","külön helyiségben","délkelet","utcai","43 m²","nem","nem tetotéri","teremgarázs hely - megvásárolható","4 000 000 Ft",NA
"2","Balatonföldvár, József Attila utca","35,54 millió Ft","32 m²","1","A ""C"" épület könnyuszerkezetes technológiával épül, az ingatlan besorolása: üdüloházas nyaraló.103+17 teljesen megújult korszeru apartman várja a pihenni vágyókat, Az ""A"" fázis átadása megkezdodött, a ""B"" fázisteljesen elkelt. A ""C"" fázis van értékesítés alatt, átadása 2022 február várható. Balatonföldvár szívében. Saját medence szolgálja az oda látogatók kényelmét. Az apartmanok légkondicionáltak, futhetoek. Egész évben van lehetoség a pihenésre. A kiváló ár-érték arányt az egy apartmanra jutó alacsony rezsi teszi teljessé. Válasszon erkélyes, vagy medence-közeli apartmanok közül! Ápolt, rendezett parkban töltheti szabadságát a napsütésben. Mindez Balatonföldvár központjában, pár perc sétára a parttól, üzletektol, éttermektol. Balatonföldvár közvetlenül megközelítheto az M7-esrol. Nyugodt városka, mégis közel a fesztiválokhoz, programokhoz. Ingyenes, árnyékos-fás strandjaival családoknak is ideális. A projekt 600m-re van a parttól, és a közelben minden megtalálható, amire a nyaraláshoz szükség van, pl. Tesco Express, patika, piac, vasútállomás, stb.Apartmanok már 26,3 M Ft-tól, medence, légkondícionálás, központi elhelyezkedés, autópálya, szabad strandok.","új építésu","2022","összkomfortos","nincs megadva","földszint","5","van","3 m-nél alacsonyabb","elektromos","van","nincs megadva","nincs megadva","nincs megadva","kelet","nincs megadva","15 m²","nem","nincs megadva","udvari beálló - megvásárolható","2 000 000 Ft",NA
"3","Balatonföldvár, Gárdonyi Géza utca 3.","30,1 millió Ft","22 m²","1","39 teljesen megújult, korszeru, egész éves használatú, hutött-futött apartman várja a pihenni vágyókat, tervezett átadás 2022. december 30.A projekt Balatonföldvár Keleti strandjától 300m-re található, csendes, fás, kellemesen árnyas mellékutcában. A tulajdonosok kényelmét a Balaton közelségén túl saját medence is szolgálja. Az apartmanok légkondicionáltak, futhetoek, teljes köruen hoszigeteltek, így egész évben lehetoség nyílik a kikapcsolódásra, pihenésre. A beruházó nagy hangsúlyt helyez arra, hogy energiatakarékos épület készüljön, így a kiváló ár-értékarányt a várható alacsony rezsi is alátámasztja. Minden apartman terasszal vagy erkéllyel rendelkezik, mely az ápolt, üde zöld, több mint 3000 m2-es kertre nyílik. Balatonföldvár közvetlenül megközelítheto az M7-esrol, Budapestról alig egy óra alatt. Nyugodt, kellemes kisváros, minden szolgáltatással, közel a fesztiválokhoz, programokhoz. Árnyékos-fás strandjaival, sétányaival, vendégloivel családoknak is ideális. Az épület 300m-re van a Keleti strandtól. 15 perces sétára minden megtalálható, amire a nyaraláshoz szükség lehet.Apartmanok már 25,5 M Ft-tól elérhetoek.Projekt elonyei:- gyönyöru, osfás, 3000 m2-es kert- minden apartmanhoz tartozik terasz vagy erkély- Balaton part (Keleti strand) 300m-re van- saját medence a apartmanokhoz tartozó kertben- megvásárolható, bekerített, telken belüli parkolóhelyek- 1 km-en belül Spar, Tesco, Gyógyszertár, Aldi, DM, éttermek, strandok, büfék és szórakozóhelyek.- autóval alig egy órára Budapesttol","új építésu","2022","összkomfortos","nincs megadva","1","3","nincs","nincs megadva","elektromos","van","nincs megadva","nem","nincs megadva","kelet","nincs megadva","18 m²","nincs megadva","nincs megadva","udvari beálló - megvásárolható","2 000 000 Ft",NA
"4","Siófok, Amancsics kapitány utca 1.","51,02 millió Ft","73 m²","3","Siófok kertvárosi részén a szabadstrandtól mindössze 10 perces sétára, igényesen felújított légkondicionált, nappali + 2 szobás lakás eladó.A társasház kínálta extra szolgáltatások garantálják, hogy nem csak jó befektetésre, de akár kényelmes otthonra találhat a Fresh Gardenben, ahol az élet örök nyaralás.- Wellness részleg- Geotermikus energia felhasználás- Parkosított kert (napozóval, játszótérrel)- Teremgarázs (megvásárolható)- Lift- Terasz vagy erkély minden lakáshoz.Az eladásra kínált lakások teljes felújítást követoen már idén költözhetok.A Fresh Garden Siófok dinamikusan fejlodo városrészében Sóstón található. A társasházban 29 különbözo méretu ( 37-74 nm), 1 vagy 2 hálószobás változatos elosztású lakás elérheto! Az apartmanok és a közösségi terek teljes felújítás után idén átvehetok.* A képek a felújítás elotti állapotot tükrözik. A fotókon látható bútorok nem képezik a vételár részét.","felújított","nincs megadva","összkomfortos","nincs megadva","3","3","van","3 m-nél alacsonyabb","megújuló energia, fan-coil","van","nincs megadva","igen","külön helyiségben","nincs megadva","kertre néz","11.59 m²","nincs megadva","tetotéri","teremgarázs hely - megvásárolható","2 500 000 Ft",NA
"5","Siófok, Amancsics kapitány utca 1.","47,53 millió Ft","68 m²","2","Siófok kertvárosi részén a szabadstrandtól mindössze 10 perces sétára, igényesen felújított légkondicionált, nappali + 1 szobás lakás eladó.A társasház kínálta extra szolgáltatások garantálják, hogy nem csak jó befektetésre, de akár kényelmes otthonra találhat a Fresh Gardenben, ahol az élet örök nyaralás.- Wellness részleg- Geotermikus energia felhasználás- Parkosított kert (napozóval, játszótérrel)- Teremgarázs (megvásárolható)- Lift- Terasz vagy erkély minden lakáshoz.Az eladásra kínált lakások teljes felújítást követoen már idén költözhetok.A Fresh Garden Siófok dinamikusan fejlodo városrészében Sóstón található. A társasházban 29 különbözo méretu ( 37-74 nm), 1 vagy 2 hálószobás változatos elosztású lakás elérheto! Az apartmanok és a közösségi terek teljes felújítás után idén átvehetok.* A képek a felújítás elotti állapotot tükrözik. A fotókon látható bútorok nem képezik a vételár részét.","felújított","nincs megadva","összkomfortos","nincs megadva","1","3","van","3 m-nél alacsonyabb","megújuló energia, fan-coil","van","nincs megadva","igen","külön helyiségben","nincs megadva","kertre néz","18 m²","nincs megadva","nem tetotéri","teremgarázs hely - megvásárolható","2 500 000 Ft",NA
"6","Siófok, Amancsics kapitány utca 1.","64,41 millió Ft","86 m²","2","Siófok kertvárosi részén a szabad strandtól mindössze 10 perces sétára, igényesen felújított légkondicionált, nappali + 1 szobás lakás eladó.- teljesen, minoségi anyagok felhasználásával felújított 3 szobás lakás- egyedi gyártású, modern konyhabútor- AEG beépített konyhagépek (indukciós fozolap, süto, mosogatógép, hutogép)- egyedi víz, villany és homennyiség mérok- wi-fi-s távvezérelheto szobatermosztát- termosztátos zuhanycsaptelep, épített zuhanykabin- beépített fürdoszoba és wc bútor- modern, egyedi design radiátorok- közvetlen kertkapcsolat, 36m2-es teraszA társasház kínálta extra szolgáltatások garantálják, hogy nem csak jó befektetésre, de akár kényelmes otthonra találhat a Fresh Gardenben, ahol az élet örök nyaralás.- Wellness részleg- Geotermikus energia felhasználás- Parkosított kert (napozóval, játszótérrel)- Teremgarázs (megvásárolható)- Lift- Terasz vagy erkély minden lakáshoz.Az eladásra kínált lakások teljes felújítást követoen már idén költözhetok.A Fresh Garden Siófok dinamikusan fejlodo városrészében Sóstón található. A társasházban 29 különbözo méretu ( 37-74 nm), 1 vagy 2 hálószobás változatos elosztású lakás elérheto! Az apartmanok és a közösségi terek teljes felújítás után idén átvehetok.* A képek a felújítás elotti állapotot tükrözik. A fotókon látható bútorok nem képezik a vételár részét.","felújított","nincs megadva","összkomfortos","nincs megadva","földszint","3","van","3 m-nél alacsonyabb","megújuló energia, fan-coil","van","nincs megadva","igen","külön helyiségben","nincs megadva","kertre néz","38 m²","nincs megadva","nem tetotéri","teremgarázs hely - megvásárolható","2 500 000 Ft",NA
"7","XIII. kerület, Danubius utca 14.","99,8 millió Ft","57 m²","2","Dunai panorámás kétszobás.A FÉNYKÉPEK A VALÓSÁGOT ÁBRÁZOLJÁK, NEM LÁTVÁNYTERVEK!Délnyugati tájolású, tökéletes elosztású lakás, tökéletesen felújítva, divatos bútorokkal berendezve, minden amit csak egy Marina Parti lakástól kaphatunk.Az ingatlan felújítása és berendezése frissen fejezodött be, új tulajdonosa egy vadonatúj lakást kap, elvehetetlen panorámával.A Marina Part I. üteme közvetlenül a Duna mellé épült, kimagasló kivitelezési minoségben.A társasházban 24 órás portaszolgálat és orség muködik.A lakók a társasház dunai panorámás edzotermét és szaunáját korlátlanul használhatják.A Marina Part az elso ütemének elkészülése óta a fováros prémium városrészének számít, ami rendszeresen maga mögé utasít számos pesti belvárosi és budai hegyvidéki, tradicionálisan drága területet.A Marina Part ingatlanárai évek óta stabilan emelkednek és a gazdasági válság sem tudta csökkenteni a lakások értékét.A különbözo egyéb befektetési formákkal elérheto rendkívül alacsony hozamok sokakat sarkallnak arra, hogy egy értékálló vagyontárgyba – lakásba – fektessék pénzüket.A belváros gyors és kényelmes elérhetoségének, valamint a Duna, a Margit-sziget és számtalan egyéb szabadidos lehetoség közelségének köszönhetoen a XIII. kerület évek óta a fovárosi lakáskeresok elso számú kedvence.A Marina Part különleges életérzést ad a belvároshoz közel, nyugodt, kellemes sétákat tehetünk a Duna parton, közelben a Dagály strand és Duna Pláza.Saját célra és bérbeadásra egyaránt kiváló.","újszeru","2001 és 2010 között","összkomfortos","nincs megadva","2","9","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","van","21 E Ft/hó","igen","külön helyiségben","nyugat","panorámás","12 m²","nem","nem tetotéri","teremgarázs hely",NA,NA
"8","I. kerület, Batthyány utca","39,9 millió Ft","48 m²","2","Eladásra kínálunk az I. kerületben, a Batthyány utcában egy I. emeleti, 48 nm- es, 2 szobás téglalakást.A társasház 1902- ben épült. A tetotér eladás alatt áll, így az egész házat felújítják, illetve egy lift is helyet kap, ami az ingatlan értékét is növelni fogja.Az ingatlan felújítandó, így mindenki saját igényére szabhatja. A lakásban nincsenek tartófalak, csak válaszfalak, így könnyen alakítható akár egy amerikai konyhás + 2 hálós lakássá.A futésrol gázkonvektor gondoskodik.Belmagassága 3,7 m.Lakóközössége folyamatosan cserélodik, fiatalos. A ház nem tiltja a rövidtávú kiadást.Közösköltség: 14.880 Ft.Finanszírozás:Az ingatlan per- és tehermentes. Készpénzzel és hitellel egyaránt megvásárolható.Környék:Kíváló infrastruktúra jellemzi a környéket. Pár perc sétára a Mammut Bevásárlóközpont, a Fény utcai piac, ahol minden megtalálható. A közelben orvosi rendelo, bankok, élelmiszerüzletek, egyszóval minden megtalálható ami a mindennapi életünkhöz szükséges.Közlekedés:Kituno. A közelben több busz-, villamosmegálló, illetve metró. A város bármely pontja könnyen megközelítheto.Parkolás:Fizetos parkolási lehetoség az utcában.Ajánlás:Az ingatlan kiválóan alkalmas értékmegorzo és inflációt kivédo befektetésnek, illetve fiatal pároknak.Ha kérdése van, vagy megtekintené az ingatlant hívjon bizalommal, akár hétvégén is!","felújítandó","1950 elott","összkomfortos","nincs megadva","1","4","nincs","3 m-nél magasabb","gáz (konvektor)","nincs","nincs megadva","nem","egy helyiségben","északkelet","utcai","nincs megadva","nem","nem tetotéri","utca, közterület - fizetos övezet",NA,NA
"9","XI. kerület, Kánai út","60,8 millió Ft","50 m²","2","Az Atenor által fejlesztett Lake11 Home&Park egyedi tervezésu, környezettudatos otthonai csodás panorámával, Budapest 11. kerületében Koérbereken, közvetlenül a Kánai-tóra, a környezo budai dombokra vagy a gyönyöru belso kertre tájoltak és mindössze 10 percre találhatóak a budai belvárostól. Az épületeket négy kiváló építésziroda álmodta meg. A modern és letisztult, ugyanakkor önálló építészeti stílusjegyeket hordozó épületek és a természet között egységes tájépítészeti koncepció teremti meg a harmóniát. Az egyszobás stúdiólakástól a 2-3 és 4 hálószobás 150 m2-es családi, prémium és penthouse lakásokig, minden élethelyzetnek megfelelo lakástípus elérheto a lakóparkon belül. A hatalmas üvegablakokkal rendelkezo belso kétszintes DUPLEX apartmanjai, valamint extra nagy alapterületu prémium lakásai pedig valódi alternatívát kínálnak a családi házat keresok számára is.A hatalmas, zöld parkokkal körülvett modern élettérben lehetoséged lesz sportolni, kikapcsolódni, dolgozni, gyereket nevelni, pihenni és feltöltodni. Egyszóval élni. Ezt nyújtja az új Lake11 Home & Park. A te otthonod az életstílusodra és zöldre hangolva.Szinte minden városi szolgáltatás pár perc autózással elérheto, legyen szó moziról, bevásárlásról, találkozóhelyekrol. A gyors bejutáshoz persze nem kell mindig autót használni. A 187-es busz és a 41-es villamos is a lakóparknál áll meg. De az M1, M7 és M0 autópályák is könnyen elérhetoek, így nagyon gyorsan kijutunk a városból, akár a Velencei-tóra, akár a Balatonra indulunk. A Lake11 területén zöld parkok, csökkentett forgalmú sétálóutcák, kutyafuttató, játszótér és tó körüli futópálya gondoskodik az itt élok mindennapi kényelmérol és szabadtéri kikapcsolódásáról. A közelben számos lovarda, már kiépített uszoda, strand, fitneszterem, síiskola, tenisz- és squashpálya várja a beköltözoket. A lakóparkot körülölelo dombok, az Atenor fejleszto által telepített rengeteg fa által alkotott belso pihenokertek és park office lehetoségek a tóparttal pedig megteremtik a legfontosabbat: a természet közelségét, hogy minden egyensúlyba kerüljön. A Kánai-tó körül kiépülo sétány és futópálya, piheno pontokkal megújuló óriási zöld park, család- és gyermekbarát fejlesztések várják majd az itt éloket.A LAKE11 minden otthona az átlagnál tágasabb belso terekkel, jól kihasználható teraszokkal, igényes homlokzati burkolatokkal, a legkorszerubb muszaki, valamint okosotthon-megoldásokkal várja leendo lakóit. Az alapárban gépesített konyhát és külso árnyékolót kínálunk. A fejlesztés keretén belül az ATENOR a közvetlen helyi infrastruktúrát is fejleszti többek közt orvosi rendelo létesítésével.                                                                                                                                                                                 Az elsok között regisztrációs szerzodést aláíró kedves ügyfeleink számára, jelentos elonnyel kínáljuk lakásainkat!  • Bevezeto árak• Mindössze 2 M Ft regisztrációs díjjal és kedvezo fizetési ütemezéssel lefoglalhatja leendo új otthonát• A jelenlegi lakás alaprajzok építészeti kialakítása még díjmentesen módosítható • Minden lakáshoz foglalható gépkocsibeálló• Az alapárban gépesített konyhát és külso árnyékolót kínálunk.","új építésu","2023","nincs megadva","nincs megadva","földszint","4","van","3 m-nél alacsonyabb","hoszivattyú, mennyezeti hutés-futés","van","nincs megadva","nincs megadva","nincs megadva","kelet","nincs megadva","13.48 m²","igen","nem tetotéri","teremgarázs hely",NA,NA
"10","XI. kerület, Budafoki út 215.","53,75 millió Ft","41 m²","2","A Budai Walzer egyik lakását Neked építjük.A pénzügyi teljesítés ütemezésének függvényében egyedi árért keresd kollégáinkat!Egy biztonságos, nyugodt környékrol és egy minden igényt kielégíto, minoségi kivitelezésu kis lakásról álmodsz, melynek a fenntartási költségei is rendkívül kedvezoek? Szeretnél közel lenni mindenhez, hogy az elintéznivalók, napi teendok mellett maradjon elég idod arra, ami valóban boldoggá tesz? Szeretnél egy összetartó közösség tagja lenni, esetleg új barátokra szert tenni? A Budai Walzerben mindezt megtalálod! Az élet nyugodt élvezeteVálaszd ki a számodra legideálisabb emeletet, tájolást és elrendezést, majd képzelj el egy új életet a Budai Walzerben, egy olyan életet, melyben minden az a kényelmedrol és nyugalmadról szól. •Ahol bármikor tehetsz egy hosszabb-rövidebb sétát az épületeket körülölelo, hangulatos parkban.•Ahol a szomszédaid nem mennek el köszönés nélkül melletted.•Ahol nap mint nap gyönyörködhetsz a szemed elott felcseperedo gyerekekben.•Ahol bármit beszerezhetsz a lakóparkhoz közeli üzletekben vagy bevásárlóközpontokban.•Ahol a szórakozás mindennapos. A 11. kerület és a szomszédos városrészek kulturális intézményei (Tüske Csarnok, MÜPA, Nemzeti Színház, Bálna) a kikapcsolódás fellegvárai.•Ahonnan a szélrózsa bármely irányába elindulhatsz autóval, kerékpárral vagy gyalog. Közel a busz, a villamos, a 4-es metró, a sztrádák (M0, M1, M7), a Kelenföldi vasútállomás és buszpályaudvar.Élj harmóniában önmagaddal és a természettel!A fováros legvonzóbb kerületében épülo Budai Walzer Lakóparkban a bevásárlási lehetoségek, a kulturális és sportközpontok, a szórakozási lehetoségek, valamint a közlekedési és egészségügyi infrastruktúra rohamos fejlodése következtében egy élményekkel teli, ugyanakkor nyugodt életre rendezkedhetsz be.További részletekért látogass el a honlapra vagy hívd értékesíto kollégáinkat.Budai Walzer. Mestermu, melyet a természet komponált tökéletesre.<U+25BA>Az épületA 11. kerület Duna-parthoz közeli, csaknem 9 hektáros, varázslatos része hamarosan új életre kel, de nem a megszokott módon! A Budai Walzer egy olyan koncepció jegyében épül, mely teret enged az alkotó fantáziának, sokoldalú, élheto, szeretheto, inspiratív közeget teremt az ott lakók számára. Mindezt úgy, hogy számos ponton összefonódik a természettel, és az épített környezet dominanciája helyett harmóniára törekszik. Találd meg a számodra ideális lakást az elso ütemben épülo házak, 28-91 nm közötti kínálatából, de ha adhatunk egy tippet mindjárt a legelején, nyugodtan tervezz hosszú távra! A legmagasabb minoségi elvárásoknak is megfelelo, változatos elrendezésu és tájolású, kertkapcsolatos, erkélyes vagy tetoteraszos lakásokban megleled azt a harmóniát, amelyrol a városban nem is álmodtál! Hatalmas parkok, közösségi terek, játszóterek, forgalomtól elzárt sétautak övezik az épületeket, így házon kívül is biztosított a feltöltodés és a nyugalom. Az itt lakók kényelmét tovább fokozza a terveink között szereplo, kisebb üzlethelyiségeket és boltokat felsorakoztató szolgáltató központ kialakítása.<U+25BA>A környékLégy részese egy minden eddiginél élhetobb városrész születésének! Nagy hangsúlyt fektetünk arra, hogy a lakók nyugalma és zavartalan pihenése a gépjármuforgalom kizárásával (mélygarázsok, sétautak, parkok) biztosított legyen. A környék azonban olyan nagyszabású fejlesztéseken megy keresztül, melyek lehetové teszik, hogy a lakóparkot elhagyva könnyen bekapcsolódj a város vérkeringésébe. A tömegközlekedés és az úthálózat átalakítása, valamint a tervek szerint 2033-ra felépülo, Újbudát Csepellel összeköto híd új perspektívákat nyit az itt élok számára. A kerület jó nevu oktatási intézményei, általános, közép- és szakiskolái tárt karokkal várják a fiatalokat. Az Újbuda Center és a Savoya Park közelsége a bevásárlási lehetoségek tárházát kínálja, de még ezt a pár száz métert sem kell megtennie annak, aki gyalogosan indul bevásárolni, hisz a közeli élelmiszerüzletben vagy a lakópark kis boltjaiban is beszerezhet mindent és még az ínyencségekrol sem kell lemondania.  A Duna közelsége és a környékbeli sportlétesítmények azok számára kedveznek, akik sportos életmódra rendezkednek be a Budai Walzerben. A hasonló értékeket valló, életmódot folytató lakók pedig elobb-utóbb egymásra találnak, ezért is törekszünk az elso pillanattól kezdve egy olyan élettér kialakítására, ahol az emberi kapcsolatok felértékelodnek, ahol egy összetartó közösségre, barátokra találsz.<U+25BA>ElonyökTöbb mint 20 éves ingatlanfejlesztoi tapasztalat.Átlag feletti életminoség.Megnyugtató, zöld környezet.Exkluzív lakások.A Budai Walzer Lakópark környékének tömegközlekedése, úthálózata számos fejlesztésen megy keresztül. A lakópark busszal, villamossal, gépjármuvel egyaránt könnyen megközelítheto, a munkába járást a 4-es metró is megkönnyíti. Aki hosszabb útra indul, annak a Kelenföldi pályaudvar és autóbuszállomás, az Egérút és az M0-ás egyaránt jó választás.Számos, jó nevu oktatási intézmény várja a cseperedo gyerekeket, az óvodától kezdve - az alapítványi iskolákon át - az egyetemekig. A kerületben rengeteg a sportolási, szórakozási és bevásárlási lehetoség, közel a híd, a metró, ezáltal a belváros.Cégcsoportunk a lakások igény szerinti kialakításán és határidore történo átadásán túl belsoépítészeti, lakberendezési segítséget is nyújt, ezáltal a beköltözok álmai még könnyebben megvalósulhatnak.","új építésu","2021","összkomfortos","BB","6","7","van","3 m-nél alacsonyabb","házközponti egyedi méréssel, gázkazán","van","nincs megadva","igen","egy helyiségben","nyugat","kertre néz","12.93 m²","nem","nem tetotéri","teremgarázs hely - megvásárolható","4 500 000 Ft",NA
