"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Panelprogram","Parkolóhely ára"
"1","VII. kerület, Hernád utca","30 millió Ft","55 m²","2","Magánszemélytol eladó lakás - Ingatlanközvetítok kérem ne keressenek!Az ingatlan a Városligettol és az Állatorvostudományi Egyetemtol néhány perc sétára, a Keleti pályaudvar közelében, csendes mellékutcában várja új tulajdonosát. A Budapest100 program keretében is bemutatott, lifttel rendelkezo régi belvárosi ház negyedik emeletén található, belso udvarra nézo, fényes, nagy belmagasságú lakás használható állapotú, de felújításra szorul. A szobák egymásból nyílnak, a fürdoszoba és a wc külön helyiségben található, a konyhához kamra csatlakozik. A lakás futését cirkó biztosítja. A szobákban hibátlan állapotban az eredeti tölgyfaparketta maradt meg. A lakáshoz saját, zárható pincehelyiség tartozik. Állatorvostan-hallgatóknak és ingatlanbefektetoknek egyaránt ajánljuk. Tehermentes, rövid határidovel költözheto. Keressenek bizalommal!","felújítandó","1950 elott","nincs megadva","nincs megadva","4","5","van","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nem","külön helyiségben","északkelet","udvari","nincs megadva","nem","legfelso emelet, nem tetotéri","utca, közterület - fizetos övezet",NA,NA
"2","Cegléd, Szabadság tér 9.","25 millió Ft","55 m²","2","Cegléd központjában a Szabadságtéren egy kiválo állapotu 55 m2 -es lakás  eladó. A lakás a harmadik emeleten  található   de  lift  van. A lakás szint eltolásos   igy az elöszoba  konyha  napali illeve  WC  az elso szinten van  még afürdöszoba  WC-vel illetve a háloszoba a  felso szinten van.A lakás kiváló állapotban van. Mivel frekventált helyen van igy az üzletek  posta  bank  orvosi rendelo 2-3 percre  találhatók.Befektetésnek is kiváló  mivel itt mindég ki lehet adni a  lakást. Ha  az ingatlan felkeltette  érdeklödését bátran  hivjon telefonon","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","11 E Ft/hó","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"3","Debrecen, Wesselényi utca","55 millió Ft","104 m²","3","Irodának, rendelonek is! Debrecen, belváros közelében, Wesselényi utcában felújítás alatt álló, tágas, 3 szobás,104 nm-es, földszinti, gázcirkó futésu, 3 fürdoszobás, beépített szekrényes, muanyag nyílászárós, téglaépítésu lakás eladó. Az eloszobából tágas helyiségen keresztül jutunk a három külön nyíló szobába és a konyhába. Mindhárom szoba parkettás és klímával felszerelt. Az egyikbol saját, zuhanyzós fürdoszobába lépünk, mely a wc-vel együtt van. A másik két fürdoszoba-wc (egy zuhanyzós, egy kádas) külön közelítheto meg a konyha utáni közlekedon keresztül. A szobák ÉNY-NY-i, a konyha K-i fekvésu. A gázkazán, a radiátorok és a klímák 3 évesek. A lakás belmagassága 2,95 m. Adottságából kifolyólag alkalmas 3 külön bérlonek vagy irodának, rendelonek, csendes vállalkozásnak is.Irányár: 55.000.000 FtTovábbi ingatlanok megtekinthetok: Facebook: Eladó ingatlanok Debrecen – Vernika Ingatlanok","nincs megadva","nincs megadva","duplakomfortos","nincs megadva","földszint","nincs megadva","nincs","nincs megadva","gáz (cirko)","van","nincs megadva","nincs megadva","egy helyiségben","nincs megadva","utcai","nincs megadva","nincs megadva","nincs megadva","utca, közterület - ingyenes",NA,NA
"4","VII. kerület, Bethlen Gábor utca","84,1 millió Ft","107 m²","4","Felújított, tágas lakás!LOKÁCIÓ- a VII. kerületben, a Bethlen Gábor utcában, a sétáló részen helyezkedik el;- a környéken üzletek, óvoda, iskolák, Állatorvosi Egyetem, a megújuló Városliget, orvosi rendelo, gyógyszertár, posta, szóval minden megtalálható, amire csak szükség lehet a mindennapi élethez és a kikapcsolódáshoz;- az utca csendes, gépjármu forgalomtól mentes,- a közlekedés kituno, a 74, 75, 78, 79-es trolik, a 20, 30, 5, 7, 110, 112-es buszok megállói könnyen elérhetoek, a Keleti Pályaudvar szintén közel van.A HÁZ- zárt lépcsoház;- szépen felújított bejárat.A LAKÁS- teljes köruen felújított;- harmadik emeleti, három szobás lakás;- két szoba déli tájolású, utcai;- a konyha- étkezo és a másik szoba udvarra nézo;- a konyhában a beépített bútor a vételár részét képezi;- nagy ablakainak köszönhetoen világos;- új fa thermo üveges nyílászárók;- tágas, élheto terek jellemzik;- az egyik szoba galériázott;- duplakomfortos, egy kádas fürdo, egy külön WC, illetve egy zuhanyzós fürdo WC-vel szolgálja azitt lakók kényelmét;- a szobák új laminált parkettásak, a többi helyiségben új járólap található;- futése gáz cirkó;- beépített szekrények segítik a tárolást.AJÁNLOTT HASZNOSÍTÁSI CÉLOK:- ideális egy nagyobb családnak;- hosszú távú bérbeadásra.Ha szeretne egy tökéletesen felújított, tágas lakást, jöjjön és tekintse meg!","felújított","1950 elott","duplakomfortos","nincs megadva","3","3","nincs","3 m-nél magasabb","gáz (cirko)","nincs megadva","18 E Ft/hó","nem","nincs megadva","dél","panorámás","nincs megadva","nem","nem tetotéri","utca, közterület - fizetos övezet",NA,NA
"5","Szeged, Csuka utca","32 millió Ft","72 m²","2 + 1 fél","Eladó tégla építésu lakás a belváros határánAlapterület 93m2 A magas parapetek miatt 72 nm-en jól berendezheto (az 1,9 m-es belmagasságú lakótér 53,6)Építés éve 1996Energiatanúsítvány: vanTetoteres, belso kétszintes2 + félszoba + kuckók vendégágynak, raktérnekNagy, étkezos konyhaPolcozott kamraFürdoszoba, WC külön helységbenCirkó futésuA határoló felületek 25 cm hoszigetelést kaptak, így a futés a téli hónapokban 10 e. Ft alattiNyílászárók modernek, termo üvegezéssel, redonnyel, sötétítovelLégkondicionáló a lakókonyhábanBurkolat parketta, laminált és kerámialapVillamos hálózat réz vezetékekre kicserélveZárt udvarban bicikli tároló, lépcsoházban babakocsi elhelyezhetoKözös ktg: 7900 ezer Ft/hó + szemét díj (felújítási alap biztosított)Kör panorámásParkolás az utcán ingyenes Széchenyi tér 10- perc sétával elérheto Közelben villamos, busz és trolimegálló, élelmiszerboltok A lakás felújított, frissen festett, így a kifizetést követoen azonnal berendezheto, lakhatóA lakás per és tehermentes.Irányár 32 M Ft.","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"6","Salgótarján, Nyírfácska utca 1.","11,8 millió Ft","55 m²","2 + 1 fél","Salgótarjánban a Zagyvapálfalvai lakótelepen, eladó erkélyes lakás. Külso belso nyílászárók cserélve, ablakok szúnyoghálósak és redonnyel felszereltek. A lakásban 2 szoba, 1 félszoba, konyha, fürdoszoba, és külön WC, folyosó található. A szobák laminált parkettásak, a többi helyiség járólapos. Parkolás a ház elott lehetséges. A közelben óvoda, iskola, orvosi rendelok, buszmegállók, szupermarketek találhatók. Nyugodt csendes környezet, szép kilátás, lakóközösség jó. Futés házközponti, a radiátorok költségmegosztóval szereltek. Az épület alsó részében tárolóhelyiség található, rendezett tiszta lépcsoház.","nincs megadva","nincs megadva","nincs megadva","nincs megadva","7","10","van","nincs megadva","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","nincs megadva","nincs megadva","3 m²","nincs megadva","nem tetotéri","nincs megadva","nincs megadva",NA
"7","Szigetvár, Radován tér","14,9 millió Ft","42 m²","1 + 1 fél","Eladó felújított lakás!Lakás 42 nm2 1,5 szobás, konyha, fürdoszoba, mosókonyha található illetve nagy erkélyes ami szintén felújított és teljes szúnyog hálóval védett. 2019-ben komplett felújítást végeztünk ami látszik a képeken is burkolatok, parketta, beltéri ajtók, részben víz, villany vezeték, radiátorok is. Minden helyiségben energia takarékos led lámpák találhatók. 2020 osszel teljes új fehér színu festés kapott az egész lakás. Nyílászárok ajtó ablak tökéletesek kB 6 éve lettek cserélve.Panel tégla falazatú lakás legfelso 3.emeleten található. Futést és a meleg vizet a távho szolgáltató biztosítja. Lakáshoz tartozik földszinti közös tároló helyiség. Rezsi költsége alacsony.Berendezések is eladók ha az új tulajdonost érdekli esetleg valami.Kérdésed lenne írj üzenetet bátran.Köszönöm hogy elolvastad a hirdetést.","felújított","1981 és 2000 között","komfortos","CC","3","3","nincs","3 m-nél alacsonyabb","távfutés","nincs","35 E Ft/hó","nem","egy helyiségben","dél","utcai","8 m²","nem","nem tetotéri","utca, közterület - ingyenes",NA,NA
"8","I. kerület, Krisztinaváros - Váralja","81,9 millió Ft","82 m²","2","Új lakás került a piacra  az I.kerületbol.A lakás fobb jellemzoi:-nagy terek-hajó padló -közel 28m2-es nappali-nagy hálószoba-külön helyiségben mosó konyha -közös költsége : 37000 Forint ( Víz , futés  benne a közös költségen )A ház fobb jellemzoi:-szépen karbantartott , folyamatosan tatarozzák-tárgyalások folynak a tetotér eladását illetoen aminek köszönhetoen új liftet is kap a ház-külso homlokzat néhány éve lett felújítva A közlekedés mondhatni tökéletes a Pesti belváros, a Széll Kálmán tér is 5-10 perc alatt elérheto.Kikapcsolódási lehetoségre a Tabán, Vérmezo, Gellérthegy vagy a Budai vár közelsége ad választási lehetoséget.Bármi kérdése lenne az ingatlannal kapcsolatban várom hívását!","jó állapotú","1950 elott","nincs megadva","nincs megadva","4","nincs megadva","van","3 m-nél magasabb","házközponti","nincs megadva","nincs megadva","nincs megadva","nincs megadva","északnyugat","utcai","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"9","Eger, Barkóczy utca","38,9 millió Ft","82 m²","3","Eger, Belvárosában Barkóczy utcában 8 lakásos társasház 2.em. felújított világos lakását kínálom megvételre. 2017-ben teljes köruen felújították.  Elosztása nappali, 2 külön nyíló szoba, konyha, étkezo, spajz, fürdoszoba, illemhelyiség, közlekedo, erkély. Magas fényu konyha bútor, gépekkel a vétel ár részét képezi. Közlekedoben be épített gardrób szekrény. Nyílászáróak muanyagok redonnyel, rovar hálóval  szerelve. Burkolatok szobákban laminált lap, a többi helyiség kerámia. Futésrol gáz cirkó gondoskodik. Új bejárati, beltéri ajtók. Parkolás zárt udvari részen. Igény szerint garázs bérelheto, vásárolható. Lakó közösség kiváló, lépcsoház rendezett. Több rétegu ingatlan, frekventált helyen jó szívvel ajánlom minden korosztály számára, befektetési célra is. Ha felkeltettem érdeklodését keressen bizalommal. Nézzük meg együtt tegyen ajánlatot.","felújított","1981 és 2000 között","nincs megadva","nincs megadva","2","4","nincs","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","nincs megadva","nincs megadva","4 m²","nincs megadva",NA,"udvari beálló - benne van az árban",NA,NA
"10","VII. kerület, Peterdy utca","33,9 millió Ft","44 m²","2","Belváros és mégis rengeteg zöldterület a környéken, 5 perc séta a megújuló játszóterekkel és sportpályákkal Rátok váró Városligetben.Eladó a VII. Peterdy utcában másfél szobás, 3. emeleti, jó állapotban lévo, azonnal költözheto lakás. Lift nincs a házban.A közös költség mindössze 11 400 Ft/hó, a futés télen 18-20 000 Ft.Az ingatlan elhelyezkedése kiváló, trolibusz megálló, Oktatási létesítmények, üzletek, éttermek, teraszok, Spar, minden csak 2-5 perc séta.Vevoknek szolgáltatásaink ingyenesek! Bankfüggetlen, díjmentes hiteltanácsadás, energetikai tanúsítvány készítése egy nap alatt, értékesítés gyorsan és profin, akár 3%-os sikerdíjtól. ""A Belvárosban otthon vagyunk!""","közepes állapotú","1950 elott","összkomfortos","nincs megadva","3","3","nincs","3 m-nél magasabb","gáz (konvektor)","nincs megadva","11 E Ft/hó","nincs megadva","külön helyiségben","nincs megadva","udvari","nincs megadva","nincs megadva","nincs megadva","utca, közterület",NA,NA
