"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Panelprogram","Parkolóhely ára"
"1","VI. kerület, Teréz körút","36,5 millió Ft","45 m²","2","Szép, felújított épületben lévo, tökéletes elosztású, extra csendes lakás. Jelenleg 2 külön bejáratú szobásja van, de 3 külön bejáratú szobássá alakítható. Pár perc távolságra van a Nyugati tértol, de az Oktogon is gyalog pár perc elérheto.Tökéletes hosszú távú bérbeadásra is. Tehermentes, azonnal birtokba veheto. Rugalmasan megtekintheto!","jó állapotú","1950 elott","nincs megadva","nincs megadva","3","3","van","3 m-nél magasabb","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","kelet","udvari","nincs megadva","nincs megadva","nincs megadva","utca, közterület",NA,NA
"2","Pécs, Semmelweis utca","49,9 millió Ft","80 m²","3","Pécs-Belvárosának szélén, a Semmelweis utcában eladó egy teljes köruen, frissen felújított 80 m2-es, 2 háló+nappali+étkezos elosztású, gáz-cirkó futéses, légkondicionált, erkélyes téglalakás, gépesített konyhával. Az alagsori szinten tartozik egy 4 m2-es tároló az ingatlanhoz. I.ár: 49.9 Mft.Referencia szám: LK079080","felújított","1950 és 1980 között","nincs megadva","nincs megadva","1","nincs megadva","nincs megadva","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","kelet","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"3","VIII. kerület, Baross utca","57,9 millió Ft","80 m²","2","Eladó a VIII. Kerületben egy fiatalosan felújított 80m2 lakást.A lakásba egy biztonságos dupla ajtón keresztül lehet belépni. A konyha és egyben az étkezo világos, a berendezést minoségi Whirpool gépek biztosítják. Innen nyílik a 2 szoba és a fürdoszobák. Mindkét szobában az ablakok hang- és hoszigeteltek, illetve automata redonnyel ellátottak. Az étkezo és szobák légkondicionálóval felszereltek, különnyílnak. A lakásban, a két szépen felújított fürdoszoba közül az egyik a kényelmet, luxust biztosítja, hiszen egy jakuzzi került beépítésre. Az ingatlanban padlófutés növeli a komfort érzetet. Infrastruktúra szempontjából is remek választás lehet. Számos busz és troli járat elérheto métereken belül. A harminckettesek tere, ahol a 4/6 villamosra szállhatunk fel 5 perc sétatávra megközelítheto. Ez a lakás egy igazi ritkaság. Ne hagyja ki!!Amennyiben felkeltette érdeklodését, keressen bizalommal !","felújított","nincs megadva","duplakomfortos","nincs megadva","3","nincs megadva","van","3 m-nél magasabb","nincs megadva","van","nincs megadva","nincs megadva","nincs megadva","nyugat","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"4","VII. kerület, Külso-Erzsébetváros - Ligetváros","35,8 millió Ft","30 m²","1 + 1 fél","TELJESEN FELÚJÍTOTT, BERENDEZETT, AZONNAL KÖLTÖZHETO!KIZÁRÓLAG IRODÁN KÍNÁLATÁBAN!Környék:Városliget közelében található az ingatlan a Murányi utcában.Kiváló infrastruktúra jellemzi a környéket.Bevásárlási lehetoség a Garay Centerben. Sportolási lehetoség a Városligetben.Kituno közlekedés, 2-4 -es metró, régi 7-es buszcsalád, számos troli járat van.Társasház: 1900-as évek elején épült , rendezett állapotú házról van szó, nyugodt, csendes lakóközösséggel. Lakásról:Önálló helyrajzi számmal rendelkezik. A tulajdoni lapon 29 nm-es az ingatlan, viszont lemérve egy picit több , mint 30 nm.A felújítás lakberendezo tervei által valósultak meg.A kivitelezo igyekezett a legnagyobb odafigyeléssel, maximális minoségben felújítani az ingatlant.Tökéletes helykihasználással sikerült egy gyönyöru, otthonos lakást varázsolni.A futés:  cirkó padlófutés (mika kazán) az egész lakásban.Teljesen alászigetelt a padló. A felújítás során a pinceboltozatik le lett menve, és onnan van visszaszigetelve.Az összes bejövo víz, csatorna, villany vezeték ki lett cserélve és minden a padlóban elvezetve.Hely és térkihasználás szempontjából , sok tároló, szekrény lett beépítve, ami az új lakók kényelmét szolgálják.Muszaki felszereltség szempontjából..... teljesen gépesített konyha bútor ( beépített mikró, mosogatógép, páraelszívó, süto-fozolap, beépített huto). A kis közlekedoben elrejtve, a szekrényben mosószárítógép is helyet kapott.Új nyílászárók mindenhol, redonnyel. A közös költség 6815 Ft és minden egyedileg méros, vízóra van.Az összes bútor, berendezési tárgy a vételár részét képezi! Egy év garancia van mindenre! Gyönyöru fotók készültek, de éloben még szebb.Várom megtisztelo hívását, akár a hétvégén is!A kulcs nálam!","felújított","1950 elott","komfortos","nincs megadva","földszint","3","nincs","3 m-nél magasabb","gáz (cirko), padlófutés","van","nincs megadva","nincs megadva","egy helyiségben","délkelet","udvari","nincs megadva","nincs megadva","nincs megadva","utca, közterület - fizetos övezet",NA,NA
"5","XVI. kerület, Jávorfa utca","74,9 millió Ft","105 m²","3","TULAJDONOSTÓL ELADÓ!!!!16. kerületben található ikerház eladó.TELJESEN FELÚJÍTOTT!3 hálószoba+amerikai konyhás nappali, fürdoszoba található a házban. KERTVÁROSI hangulat, SZÉP környezet, NAGYON JÓ megközelítés.Rugalmasan tudom mutatni!Bovebb információkért hívjon a hét minden napján!","felújított","1981 és 2000 között","összkomfortos","nincs megadva","1","2","nincs megadva","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"6","VI. kerület, Hegedu utca","55 millió Ft","37 m²","1","FOR ENGLISH SCROLL DOWN!!!Eladó kis lakás a belvárosban a Liszt Ferenc tér szomszédságában, Hangulatos, jól megtervezett és frissen felújított lakás, 6. kerület, Hegedu utca.- 2. emeleten található,liftes szép rendezett házban utcai, világose gy hálószoba + konyha+fürdoszoba - WC.- Klímás, közmuvek: Víz, Gáz, elmu fogyasztás alapján, Alacsony közös költség: 9400 ftEnglish:One of the best locations in the 6th district is one step from Liszt Ferenc square.• A well-designed and newly renovated apartment, 6 districts Hegedu street, 2nd floor in a very good condition building with elevator, street View.• One bedrooml+ Kitchen + Bathroom with toilet.• Air conditioning, Gas, electricity, water individual consumption.","felújított","1950 elott","összkomfortos","nincs megadva","2","4","van","3 m-nél magasabb","gáz (cirko)","van","nincs megadva","nincs megadva","egy helyiségben","nincs megadva","utcai","nincs megadva","nem","nem tetotéri","utca, közterület - fizetos övezet",NA,NA
"7","Nagyszentjános, Gyor-Moson-Sopron megye","26,25 millió Ft","31 m²","1","OKOS OTTHONOK - KULCSRAKÉSZEN leköthetok az Erdoszél Lakóparkban! Akár befektetés, akár állandó lakhatás a cél, kiváló választás. Ár: 26.250.000.- FtEnergetikailag a társasház megfelel a ZÖLD HITEL ELOÍRÁSAINAK, így az azzal járó kamattámogatásos hitel igénybe veheto a lakások megvásárlásához. A lakások (garzonlakások kivételével) megfelelnek a CSOK követelményeinek, így megvásárlás esetén, igénybe lehet venni a CSOK-ot, valamint az ezzel járó ÁFA és illetékmentességet is.Az Erdoszél Lakópark I. lakóépülete elegáns, minimalista homlokzatot kapott. A földszint + 1 emeletes társasházban 15 korszeru lakás épül, a garzontól a 3 szobás méretig. A biztonságos parkolást a 15 beálló biztosítja. 2021.dec.31.-ig minden vásárló 1 db beállót kap ajándékba . Elkészülési ideje várhatóan: 2022. év vége.Muszaki tartalom:-épület falazata 30-as tégla, 15 cm-es hoszigetelés-tetohéjazás: betoncserép-nyílászárók: muanyag szerkezetu bukó-nyíló 3 rétegu üvegezéssel - redony elokészítéssel-futés: központi hoszivattyús rendszer, ami a meleg vizet és a futést is eloállítja(lakásonként meleg víz és futés al-mérokkel, és egyedi szabályozással)-minden helyiség padlófutéssel kerül kialakításra-napelem elokészítéssel készül a társasház-klíma elokészítéssel készülnek a lakások-közös tárolóval készül a ház, mely a földszinten található-belso terek: a szobák laminált parkettásak lesznek, a többi helység kerámia burkolatot kap, ami katalógusból választható-beltéri ajtók, szaniterek szintén katalógusból választhatók-Smart Home Safari rendszer kerül beépítésreFöldszint L7 lakás nettó alapterülete:   31,05 m2 a hozzá tartozó zöldfelület:    16,07 m2 + terasz 9,27 m2Helyiségek:Elotér:    2,34 m2Nappali: 17,41 m2Konyha:    7,29 m2Fürdoszoba: 4,01 m2Terasz:    9,27 m2Érdekli a lakás? Lépjen kapcsolatba velem!","nincs megadva","2022","összkomfortos","BB","földszint","2","nincs megadva","3 m-nél alacsonyabb","hoszivattyú, padlófutés","nincs megadva","nincs megadva","nincs megadva","egy helyiségben","észak","kertre néz","9 m²","igen","nincs megadva","udvari beálló - benne van az árban",NA,NA
"8","VII. kerület, Belso-Erzsébetváros","79,9 millió Ft","72 m²","3","ELADÓ BUDAPEST VII. KERÜLETÉBEN A ERZSÉBETVÁROSBAN, KIVÁLÓ KÖZLEKEDÉS ÉS INFRASTRUKTÚRA MELLETT, EGY FOLYAMATOSAN KIADHATÓ, ÚJSZERU LAKÁS.A lakás a Király utcából nyíló Holló utcában található a Gozsdu udvar közelében. A környék nagyon könnyen megközelítheto, a Deák tér 500 méterre található, ami kb. 5-7 perc séta. Remek az infrastruktúra, a közelben megtalálható minden, ami a kényelmes élethez kell. Orvosi rendelo, gyógyszertár, Kisebb és nagyobb boltok, éttermek, kávézók, drogériák, mind rendelkezésünkre állnak.Az 5 szintes, társasház rendezett, az eladásra kínált lakás az 5. emeleten található. A házban kaputelefon és lift segíti az itt lakók életét. Az épület 2012-ben épült, a lakás újszeruállapotban van, azonnal kiadható, a házban engedélyezett az Airbnb.A 72 nm-es 3 SZOBÁS lakás, ÚJSZERU állapotban van. Eloszobából két hálóból, nappaliból, egy kádas fürdoszob+WC-bol, és egy konyha+étkezobol, áll. A szobákban parketta, a vizes helyiségekben járólap burkolat fedi a padlót. A BEÉPÍTETT KONYHÁBAN süto, fozolap, pára elszívó található, AMI A VÉTELÁR RÉSZÉT KÉPEZI, továbbá van még gardróbszekrény a nagyobb szobában, a fürdoben fürdoszoba szekrény is, megtalálható. A berendezés, ami a képeken látszik, igény szerint maradhat. A WC és a fürdo egy helyiségben található, a mosógép is itt kapott helyet.Egyedi mérésre alkalmas vízóra és homennyiségméro felszerelésre került. A futésrol házközponti kazán gondoskodik.A lakáshoz tartozik egy tároló is, mely benne van az árban. A ház alatt teremgarázs van, ahol lehetoség van parkolóhely bérlésre. Továbbá az utcán, közterületen is lehet parkolni, a környék fizetos övezet, de minimális éves díj megfizetése mellett, parkolási engedély kiváltható.KIVÁLÓ VÁLASZTÁS BEFEKTETÉSI CÉLRA, A KÖZPONTI ELHELYEZKEDÉS GARANTÁLJA, HOGY FOLYAMATOSAN KIADHATÓ LEGYEN.Irányár: 79,9 MFt","újszeru","2012","összkomfortos","nincs megadva","5","5","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","van","nincs megadva","igen","egy helyiségben","délnyugat","panorámás","nincs megadva","nem","nem tetotéri","teremgarázs hely - bérelheto",NA,NA
"9","Oroszlány, Újváros","15,3 millió Ft","49 m²","2","ELADÓ!!!!Oroszlányon, a Spar környékén 4. emeleti, 2 szobás klímás panel, társas házi lakás. Jó frekventál helyen található, iskola, buszmegálló, vasútállomás a közelben! Olyan ingatlant kínálunk mely elhelyezkedése és elrendezése miatt is kiváló befektetés, könnyen kiadható!Ablakok muanyagok, redonyökkel, szúnyog hálóval szereltek. A nagy szoba 18,46 m2-es, a kisebbik 13,2 m2. Fürdo,wc külön van, közlekedo, biztonsági ajtóval ellátott.A meleg vizet,beépített szekrénybe rejtett, villany bojler biztosítja. Az ingatlanhoz a pinceszinten, külön 7 m2-es tároló tartozik,melyben robogó tárolására is van lehetoség.Parkolás a ház körül megoldott!Jól muködo lakóközösségbe költözni, ahol a szomszédok régóta jó kapcsolatot ápolnak egymással, nagy szerencse, hiszen törodnek azzal, hogy a közös helyiségekben a kulturált, tiszta környezetet megorizzék! Ha versenyképes áron vásárolna ingatlant, ne döntsön, mielott ezt nem látta!Amennyiben felkeltettem az érdeklodését kérem hívjon bizalommal és tekintsük meg minél elobb ezt a lakást!Legjobbak - legolcsóbban - egy helyen! GDN Navida Ingatlaniroda - Velünk szerzodik - több pénz marad a zsebében - szakszeru segítséget kap! Teljes köru hitelügyintézés - elominosítéssel! Biztosításkötés - 23 biztosító ajánlataiból! Ügyvéd - közjegyzo - értékbecslés - energetikai tanúsítvány - költözteto cég - földméro - építteto - iparos szakemberek ajánlásával!","jó állapotú","1981 és 2000 között","összkomfortos","nincs megadva","4","4","nincs","3 m-nél alacsonyabb","távfutés","nincs","30 E Ft/hó","nem","külön helyiségben","nincs megadva","nincs megadva","nincs megadva","nem","legfelso emelet, nem tetotéri","utca, közterület","nincs megadva",NA
"10","I. kerület, Várfok utca","99 millió Ft","126 m²","4","I. Várfok utcában, néhány percre a Széll Kálmán tértol, sétatávolságra a Budai Várnegyedtol, egyedi adottságú, tágas terekkel rendelkezo, panorámás, 126 nm-es, 4 szobás, csendes, napfényes, erkélyes lakás eladó. Az épület szép, rendezett, kívül-belül jó állapotú. LIFT NINCS! A lakás üres, tehermentes, azonnal költözheto. A bútorozott képek látványtervek. Közös költség 23.000FtTovábbi kérdés esetén hívjon bizalommal!","jó állapotú","1981 és 2000 között","összkomfortos","nincs megadva","4","4","nincs megadva","3 m-nél alacsonyabb","gáz (cirko)","van","nincs megadva","nem","külön és egyben is","nincs megadva","panorámás","10 m²","nincs megadva","nincs megadva","utca, közterület - fizetos övezet",NA,NA
