"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Panelprogram","Parkolóhely ára"
"1","XXIII. kerület, Homokkúp utca","65 millió Ft","84 m²","4","Soroksár Apostolhegyen Duna parttól, Alditól, Lidltol 2 percre épülo 4x2 db ikerházi lakás eladó.A lakások korszeru SIP hoszigetelt panelekbol, hoszivattyús menyezet futéssel-hutéssel, intelligens gépi szelloztetéssel, 3 rétegu üvegezésu  nyílászárókkal magas színvonalú anyagokból épülnek. Energetikai besorolása BB, megfelel a ""Zöld"" hitel eloírásainak.Nap elemmel kiegészítve kb 0 Ft-ból muködtetheto. A lakásokhoz kb 400 m2 saját kert tartozik.","újszeru","2022","luxus","BB","földszint","földszintes","nincs","3 m-nél alacsonyabb","mennyezeti hutés-futés, hoszivattyú","van","nincs megadva","nincs megadva","külön és egyben is","délnyugat","kertre néz","25 m²","igen","nem tetotéri","udvari beálló - benne van az árban",NA,NA
"2","XI. kerület, Móricz Zsigmond körtér","80 millió Ft","85 m²","2 + 1 fél","Eladó lakás a Móricz zsigmond körtéren!Egyedi stílusban felujított, fényes lakás eladó, kiválló közlekedési és bevásárlási lehetoségekkel a közelben.Az ingatlan 2 szobás, a beípített bútorok a vételár részét képezik.Az alapterülete 85 nmÁra 80 millió forint.Parkolóhelyet a belso franciaudvaron lehet bérelni, kizárólag a lakók részére. Ha felkeltette az érdeklodését, keressen bizalommal akár az esti órákban, vagy hétvégén is. Cégünk ingyenes pénzügyi tanácsadást és kedvezményes ügyvédi díjat biztosít.M.A./XI","felújított","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","van","3 m-nél magasabb","nincs megadva","van","nincs megadva","nincs megadva","külön és egyben is","délnyugat","nincs megadva","nincs megadva","nem","nem tetotéri","nincs megadva",NA,NA
"3","X. kerület, Harmat utca 10.","35,9 millió Ft","52 m²","2","Eladó egy 52 nm-es teljesköruen felújított, gépesített és részben berendezett 2. emeleti (+magasföldszint) tégla lakás az Örs vezér térhez közel a Harmat utcában (X. kerület)A lakás az alábbi felújításokon esett át: - NIVO biztonsági ajtó került beépítésre- 5 légkamrás Rehau muanyag nyílászárók, alumínium redonyök és szúnyoghálók kerültek felszerelésre- Minden burkolat (laminált padló, csempe, vinyl padló) újonnan került lerakásra- Cirkó futési rendszer újonnan került kiépítésre, a kéménybélelést követoen digitálisan szabályozható BOSCH kazán és mindenhol új radiátor került felszerelésre- Teljes víz-és villamos hálózat kicserélésre került - A világítást mindenhol LED technológia biztosítja, ami távirányítóval és telefonról is vezérelheto. A hálóban és a fürdoben LED hangulatvilágítás is található. - Magas minoségu 18 mm-es vastagságú bútorlapból készült konyhabútor beépített Beko sütovel, fozolappal, pára-szagelszívóval, mosogatógéppel, hutovel és Samsung mikrohullámú sütovel.- Daikin huto-futo klíma került beszerelésre a nappaliba - Fürdoszobabútor és a Beko mosógép is a vételár részét képziA lakóközösség kulturált, a ház és az udvar rendezett. Lift nincs a házban! Közös költség 8120 Ft/hó.Pár perc sétával elérheto SPAR, Rossmann, dohánybolt, gyógyszertár, Szent László Gimnázium, X. kerületi Rendorkapitányság. Az Örs vezér tér, 2-es metró, Árkád 3 villamos megállóra, továbbá a 37-es villamos és a 3-as villamos is pár percre található.","felújított","1950 elott","nincs megadva","nincs megadva","2","nincs megadva","nincs","3 m-nél alacsonyabb","gáz (cirko)","van","nincs megadva","nem","egy helyiségben","nincs megadva","utcai","nincs megadva","nem","nem tetotéri","utca, közterület",NA,NA
"4","Szeged, Felsováros","24,49 millió Ft","62 m²","3","LeírásHome&People azonosító: 15983Szécsi Nikoletta AMENNYIBEN KOLLÉGÁNK ELFOGLALT, KÉRJEN VISSZAHÍVÁST A SMS-BEN A + TELEFONSZÁMON!Eladó 3 szobás panel lakáspanelprogramtávho egyedi mérovel4.emeletfölújított fürdoszobakamrafölújított konyhaerkélylaminált szobákfí reléteto szigetelésIrányár: 23.990.000 FtHívjon bizalommal!  Home and People akciós forint HITELEK:1Millió Forint 10 évre ˜ 10.647 Ft/hó*Magasabb hitelösszeg esetén a havi törlesztorészlet arányosan növekszikEgyedi Home and People akció:4 Millió Forint 10 évre akár 4,5 millió Forintos visszafizetéssel*Részletekért és díjmentes kalkulációkért keresse hitelspecialista kollégánkat:Szalai Gábor HitelspecialistaA megadott adatok csak tájékoztató jelleguek, ajánlattételnek nem minosülnek!Kizárólag a legismertebb bankokkal dolgozunk!","jó állapotú","1950 és 1980 között","nincs megadva","nincs megadva","4","5","nincs megadva","nincs megadva","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","kelet","nincs megadva","3 m²","nincs megadva","nincs megadva","utca, közterület - ingyenes","nincs megadva",NA
"5","Pécs, Kertváros","34,89 millió Ft","63 m²","3","Nappali+2 hálószobás+teraszos új építésu lakás eladó 2022. nyári átadással Pécsett, Régi Kertvárosban 10 lakásos társasházban!A lakás jelenleg bevezeto, kedvezményes áron és fizetési kondíciók mellett lekötheto.A lakások burkolata jelenleg egyedi igények szerint válaszható, CSOK is igénybe veheto a vásárláskor.Ezen ingatlan épület második emeletén található (a tervrajzon AL4-es számú lakásként jelölve) nettó 62,35 nm-es, ketto hálószobával, amerikai konyha-nappalival, ketto fürdoszoba-WC-vel, és egy 10 nm-es terasszal.Lakáshoz igény szerint megvásárolható felszíni beálló 750.000 Ft-ért,  önálló garázs 3.490.000 Ft-ért, tároló: 300.000 Ft-ért.","nincs megadva","2022","nincs megadva","nincs megadva","2","3","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs","nincs megadva","nem","külön és egyben is","nincs megadva","utcai","10 m²","nincs megadva","nem tetotéri","udvari beálló - megvásárolható",NA,"750 000 Ft"
"6","IX. kerület, Mester utca","47,49 millió Ft","70 m²","2","Budapesten a 9. kerület egyik patinás házában, a Mester utcában eladóvá vált, 1.emeleti, 70 nm, 2 szobás lakás.A szobák külön bejárattal is rendelkeznek, de közös ajtajuk is van így átjárhatóak is, a szobák utcai fekvésuek, világosak. A nagy étkezo- konyha kamrával a rendezett belso udvarra néz, a fürdoszoba és a wc külön helyiségben helyezkedik el. A lakásban az eredeti parketta, eredeti ajtók és kilincsek, és ablakok vannak még, szépen karbantartva. A lakás lakható állapotú, 3 éve lett kifestve, a burkolatok retró stílusúak.A  futésrendszer 2 éve lett felújítva, új Ariston kondenzációs kazán került beépítésre, a kémény bélelése is megtörtént. A kisebbik szobában még megtalálható egy cserépkályha, ami héra futéssel volt üzemeltetheto, jelenleg ez nem funkcionál.Kisebb átalakítással akár még egy szoba kialakítható igény szerint. A lakás tehermentes, rövid idon belül költözheto. A ház 1927-ben épült, rendezett, hívóliftes, igényes a lakóközösség. A pincében a  lakáshoz tartozó, kb 5 nm zárható tároló is  van. A lakás közelében több park is található, a Nemzeti színház, a Duna part, a Lurdy ház, a körút  5 perc sétára található. A környéken számos étterem és üzlet van, a közlekedés is kiváló, busz és villamos megállók pár perc sétára találhatóak.További információkkal kapcsolatban várom megkeresésüket AKÁR ESTE VAGY AKÁR HÉTVÉGÉN IS!","jó állapotú","1950 elott","nincs megadva","nincs megadva","1","nincs megadva","van","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","kelet","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"7","XIII. kerület, Tutaj utca 1/B","57,9 millió Ft","73 m²","2 + 1 fél","Nyugalom szigete a belvárosban!Kis lakásszámú társasház 4. emeletén (hivatalosan 3. emelet) eladó egy 2010-ben teljesköruen felújított, azóta folyamatosan karbantartott és fejlesztett otthon. Légkondícionáló, biztonsági ajtó, muanyag nyílászárók és cirkófutés található benne.  Ritka tulajdonsága, hogy mindkét oldalon zöld területre néz, nem a szomszéd ház homlokzatát látjuk, ezáltal természetközeli hangulata van.Dózsa György úti és a Lehel téri metrómegálló 3 percre, Lehel piac 5 percre, Westend vagy a Duna part 9 percre található, iskola, óvoda, bölcsöde, orvosi rendelo és gyógyszertár is található a közvetlen közelben. Ezen a környéken parkolóhely mindig van. A lakóközösség kiváló, a ház teljes tetoszerkezetét, a víz és a gázvezetékeket már felújították az elmúlt években. Idén osszel a lépcsoház kerül felújításra. A lakás fölött kb. 60 nm-es üres tetotér található, amire elovásárlási jogom van, így aki bovítésben gondolkozik, itt van lehetoség rá.Lift egyelore nincs, de kialakítható lenne. A lakáshoz a pincében saját (kb. 3 nm-es) tároló tartozik.A lakás 73 nm-es (+ 4 nm terasz): tágas elotér, nagy konyha, 2 külön nyíló szoba+ egy félszoba, fürdo és wc külön helyiségben (mindegyiken található ablak) illetve egy kis kamra. 3 m-es a belmagasság, befuteni könnyu, viszont tágas érzetet ad. A közös költség 18.000 Ft, ebbol megtakarítás is gyulik. Nagyon szeretheto a lakás, és kiváló az elhelyezkedése.Ingatlanosok segítségét nem kívánom igénybe venni, köszönöm.","jó állapotú","nincs megadva","nincs megadva","nincs megadva","4","4","nincs","nincs megadva","gáz (cirko)","van","nincs megadva","nincs megadva","külön helyiségben","dél","nincs megadva","4 m²","nincs megadva","nem tetotéri","utca, közterület",NA,NA
"8","VII. kerület, Klauzál utca","95,9 millió Ft","100 m²","5","TULAJDONOSTÓLKiváló beosztású, nagyon világos és hangulatos lakás eladó Budapest belvárosában, néhány percre a Zsinagógától, a folyamatosan szépülo Klauzál tér szomszédságában, mely egy nemrég felújított, századfordulón épült ház 3. emeletén található.LakásAz 5 szobás (4 külön bejáratú hálószoba+amerikai konyhás nappali) kiváló beosztású, de akár két lakássá is alakítható 100 m2 erkélyes lakás 2015-ben lett teljesköruen felújítva (víz, gáz, villany, futés, burkolatok és nyílászárók).A D-DNy-i tájolású ingatlan, mind az utcafront, mind a ház udvara felol jó fényviszonyokkal rendelkezik, nyílászárói újak és fából készültek. Az udvarra két hálószoba néz, a további hálók és a nappali a Nyár utcára nyílik.A lakás futésrendszere (gáz)cirkó, kondenzációs Vaillant kombi kazánnal üzemel.  A lakás frissen festett, felújított szalag faparkettás. A házA felújított polgári lakás a századfordulón épült, frissen felújított és szigetelt homlokzatú házban található.Az udvar belso homlokzata festett, kamerarendszerrel biztosított, a lépcsoház felújítása és a lift cseréje folyamatban van. A ház gázrendszere és a teto fel lett újítva. A lakóközösség kifejezetten jó, folyamatosan szépül a ház.ElhelyezkedéseA ház a belvárosban, a Deák tér, az Oktogon, az Astoria és a Blaha Lujza tér négyszög közepén található. Pár perc alatt elérheto a metró, a kisföldalatti, a kis és nagykörúti villamosok és a BKV buszjáratok. Az ingatlan tágabb környékén számos hangulatos kávézó, étterem és közösségi tér található. Könnyen elérhetoek a város kulturális színterei, a színházak, mozik vagy az Opera.","felújított","1950 elott","összkomfortos","nincs megadva","3","5","van","3 m-nél magasabb","gáz (cirko)","nincs megadva","22 E Ft/hó","igen","külön helyiségben","délnyugat","utcai","2 m²","nincs megadva","nem tetotéri","utca, közterület",NA,NA
"9","Eger, Maklári hóstya","46,9 millió Ft","68 m²","4","-  Maklási  Hóstyán 1. emeleti   1 LAKÁS ÁRÁÉRT  2   új építésu  lakás eladó-  8 lakásos társasházban-  egy közös  kis elotérbol nyílik,  egy  nappali-konyha-étkezo+  fürdo + nagy erkélyes hálószoba-  udvari  kocsi beálló - 17 nm-es  garázs  6,5 M Ft ért még vásárolható-  valamint  a másik oldalon egy  nagy fürdos,  nappali-konyhás +  hálós lakás-  használatbbavételi   2-3 héten belül-  költözés  szeptemberben lehetséges-  a lakás ára  a szanitereket   tartalmazzák-  a lakás  világos, sok ablakos, jó elosztású,-  fákkal körbevett terület övezi a házat-  közös  nagy  udvar, gépkocsi  beállási  lehetoséggel -  a lakás alkalmas  kiadásra,  vagy akár 2 korosztály együtt lakására-  vagy  az egyik lakásban lakhat a a tulaj a másik kiadható, teljesen  független  egymástól-  külön  futési  rendszere is van a  kkét lakrésznek","nincs megadva","2021","duplakomfortos","nincs megadva","1","3","nincs","3 m-nél alacsonyabb","gáz (cirko)","van","nincs megadva","nem","külön és egyben is","nincs megadva","kertre néz","6 m²","nincs megadva","nem tetotéri","udvari beálló",NA,NA
"10","Pécs, Belváros","17,5 millió Ft","47 m²","2","Pécs - Ispitaalja részén a Szilágyi Dezso utcában, tégla társasház földszintjén, 47 nm-es, felújított, 2 szobás lakás eladó! Szobáit minoségi laminált parketta, a többi helyiséget pedig járólap burkolja. Konyhája tágas. Új, egyedi konyhabútorral felszerelt. A lakás villamos vezetékei, víz és szennyvíz hálózata is ki lett cserélve. Nyílászárói jó állapotúak, a bejárati ajtó, és a kisebb szoba ablaka frissen cserélt. A futésrol gáz konvektorok gondoskodnak . Ezért a futés költsége igen alacsony! Fürdoszobájába új burkolatok és szaniterek lettek beépítve. Tartozik hozzá egy közös rendezett udvar, és egy saját kertrész is! Valamint saját tárolóval is rendelkezik. Az ingatlan tehermentes, a teljes vételár megfizetését követoen azonnal költözheto. Hívjon, tekintse meg az ingatlant és tegyen egy ajánlatot!","jó állapotú","1950 és 1980 között","összkomfortos","nincs megadva","földszint","2","nincs","3 m-nél alacsonyabb","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","utcai","40 m²","igen","nincs megadva","utca, közterület",NA,NA
