"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Panelprogram","Parkolóhely ára"
"1","XII. kerület, Tusnádi utca","70 millió Ft","65 m²","2","INGATLAN HELYSZÍNE: Az ingatlan Buda kiváló közlekedésu, zöldövezeti régiójában, Kissvábhegyen található csendes, zöld környezetben. Erre közlekedik a 21-es, 112-es és a 212-es busz, így akár a Széll Kálmán tér, akár a Belváros is könnyen elérheto. Éjszakai járattal közvetlenül hazatérhetünk akár a pesti Belvárosból is. A környék ugyanakkor gépkocsival is gyorsan és sokfelol megközelítheto. A közelben található a Hegyvidék Bevásárlóközpont vagy a MOM Park, de a Mammut Bevásárlóközpontot vagy a piacot is elérhetjük pár buszmegállónyira. Nem kell sokat autóznunk, ha Buda népszeru kirándulóhelyeit szeretnék elérni.TÁRSASHÁZ JELLEMZOI: A téglaépítésu, lapostetos épület 1970-ben épült földszint + kétszintes társasház, amelyben 12 lakás és 6 garázs került kialakításra. A társasházhoz három épület, összesen 34 lakás és 11 garázs tartozik. A házban lift nem üzemel. Az épület rendszeresen karbantartott, jó állapotú, körülötte szép, füvesített, gondozott kert található. LAKÁS JELLEMZOI: Az eladásra kínált lakás az épület I. emeletén található és a lépcsoházból nyílik. A lakás szép állapotú, akár a tisztasági festés után költözheto, de át is alakítható, akár három szobás lakás is kialakítható. A mostani futésrendszer ~10 éve készült, Ekkor kerültek cserére a vezetékek és az ablakok is. A lakás mostani beosztása is ekkor alakult ki a konyhát és nagyobb szobát elválasztó fal elbontásával. A bejárati ajtón belépve az elotér fogad bennünket, ahonnan jobbra nyílik a WC, majd tovább haladva a fürdo. Az elotér jelenleg egy légteret alkot a jobb oldalán elhelyezkedo konyhával és a nappalival. A kisebb szobába már a nappaliból mehetünk át. A nappali hangulatát emeli a lakás elott végighúzódó erkély, amely remek választás lehet pihenésre is, hiszen szép kilátás nyílik róla, zöldre néz és teljesen mentes a város zajától. Az ingatlan tökéletes választás lehet kisebb családnak, pároknak vagy befektetésnek egyaránt. Hangulatos, napos, világos, csendes. Igazi zöldövezeti otthon.LAKÁS MÉRETEI: A lakás majd 65nm az erkéllyel, kétszobás. A szobák 28,1nm és 10,7nm, a konyha 9,3nm nagyságú.Belmagasság: 2,6mMUSZAKI FELSZERELTSÉGE: A futést és a meleg vizet a fürdoszobában felszerelt kombi cirkókazán biztosítja. Az összes nyílászáróra redonyt szereltek, de légkondi is szolgálja a kényelmet. Vízóra beszerelésre került ugyan, de a hitelesítése nem történt meg, így a vízfogyasztás díját a közös költség tartalmazza.KÖLTSÉGEK:Közös költség 15.450,- amely tartalmazza a felújítási alapot is. A futés költsége igény szerint alakul, az eddigi, egésznapos használat mellett .10eFt körül alakult havonta. TÁROLÓ: A lakáshoz a ház alsó szintjén található saját, ~6nm nagyságú tároló tartozik.PARKOLÁS: A parkolásra a ház körüli közterületken van ingyenes és kényelmes lehetoség.Vételára: 70MFt--Amennyiben tetszett a hirdetés, és megnézne még néhány hasonló ingatlant, tekintse meg a Lotus House további kínálatát, és válogasson budai ingatlanjaink közül!","jó állapotú","1950 és 1980 között","összkomfortos","nincs megadva","1","3","nincs","3 m-nél alacsonyabb","gáz (cirko)","van","nincs megadva","nem","külön helyiségben","nincs megadva","kertre néz","8 m²","nincs megadva","nincs megadva","utca, közterület - ingyenes",NA,NA
"2","VI. kerület, Bajcsy-Zsilinszky út 55.","66,9 millió Ft","78 m²","1","VI. Bajcsy-Zsilinszky út 55-ben, szép, belso kertes klasszicista palota elso emeletén, egy szoba hallos impozáns méretu, egybenyitott teru, elegáns, luxus minoségben és ízléssel felújított, napos, világos, meglepoen csendes, noha utcai fekvésu lakás fix áron 67 millió forintért eladó. Pinceszinten 6 nm-es tároló is tartozik a lakáshoz.","felújított","1950 elott","luxus","nincs megadva","1","6","van","3 m-nél magasabb","házközponti","nincs megadva","50 E Ft/hó","nem","külön helyiségben","nyugat","utcai","nincs megadva","nem","nem tetotéri","utca, közterület - fizetos övezet",NA,NA
"3","XX. kerület, Gubacsipuszta","65,9 millió Ft","101 m²","4 + 1 fél","MÁR CSAK 1 DB  Eladó ZÖLD HITEL FELVEHETO!!!XX .kerület Gubacspuszta Kakastó és Mártírok útja közötti legújabb parcelláján,egyben az utolsó Pesterzsébet RÓZSADOBJA osfás,új aszfalt úttal ,viakolor járdával,legmodernebb közvilágítással,legjobb közlekedéssel rendelkezo M5,M0 autópálya 2 perc autóval ,Tescó bevásárló központ sétálva is 5 perc Soroksári Bevásárló központ 5 perc autóval ,közelben Sport tagozatos Iskola ,Óvoda ,és Bölcsode. Sétálva 8 perc. Gyalogos közlekedésben is kényelmes gyorsan elérheto buszmegálló 3 pec séta 123,-as 99-es elérheto Határ út 20 perc.Zöld hitel igényelheto BB minosítéssel akár hitel ügyintézéssel.Lakásaink  4 szoba PLUSZ nappali, 2 db fürdoszoba ,külön háztartási helységgel ,kamrával ellátva. parkolás telken belül ,lakásaink külön egyedi mérokkel van ellátva.Muszaki:A ház 30 cm-es Leier téglából épül, 12 cm-es Dryvit szigeteléssel, a nyílászárók, korszeru, ho és hangszigetelo muanyagból készülnek (3 rétegu üvegezéssel). A burkolatok 3,500,- ft/m2 árig választhatók, segédanyagokkal együtt. A lakások között 30 cm-es Silka hanggátló tégla lesz beépítve. erkély 5,7nm2 terasz 5nm2 TELEK 40m2Teljes muszaki tartalom, és fizetési ütemezés:Foglaló 10 %Földszinti fofalak 10%Földszinti födém 20 %Emeleti fofalak 10%Emeleti födém 10%Válaszfalazás, villany alapszerelés, vakolás 10%Külso nyílászárók 10%Külso hoszigetelés színezéssel 10%Kulcs átadáskor 10%Az épület szerkezeti kialakítása:Alapozás: beton és vasbeton síkalapozás.Födém: E gerendás födém, lakásoknál a burkolat alatt lépésálló hangszigetelés és úsztatott aljzatbeton készítésével.Emeleti födém: fafödém, 20 cm-es üveggyapot Isover tekercses szigeteléssel, tükörfóliázvaTeto: sátorteto, beton cserépfedésselVízszigetelés: Az erkélyeken és fürdoszobákban kent csapadék-, illetve használati víz elleni szigetelés.Falazat: földszinten és felette Porotherm, Leier vagy azonos minoségu 30 cm vastag nútféderes hoszigetelo égetett kerámia falazóblokk, 12 cm nikecell vagy 12 cm nikecell homlokzati hoszigetelo rendszerrel ellátva.Lépcsok: gipsz-beton szerkezetu lépcsok.Válaszfalak: 10 cm-es válaszfal lapok.Lakáselválasztó falak: mészhomok tégla hangszigetelo lakáselválasztó falazat.Homlokzat: Dryvit jellegu hoszigetelo és felületképzési rendszer, teljes felületen ho híd mentes kialakításban.Elektromos rendszer: védocsoben vezetett rézvezetékes rendszer - fogyasztásmérok a földszinten.Vízrendszer: 5 rétegu muanyag csorendszer.Szennyvíz: KG-PVC lefolyórendszer.Bejárati ajtó: üvegezett, muanyag.Padló: 30×30– 35×35 cm csúszásmentes, mázas gress padlólapok a földszinten, az emeleteken.Belso nyílászárók: MDF fóliázott ajtók.LAKÁSAINKRA CSOK IGÉNYELHETO ÉS 5°% ÁLLAMI VISSZATÉRÍTÉSSEL ,BESZÁZALÉKOLÁST NEM KEL FIZETNI AZ ÁLLAM FELÉ!!!REFERENCIÁNKAT AKÁR ÉLOBEN IS MEGTEKINTHETIK! KÖSZÖNJÜK ÉRDEKLODÉSEIKET, HÍVJANAK BIZALOMMAL.","nincs megadva","2021","duplakomfortos","BB","1","2","nincs megadva","3 m-nél alacsonyabb","gáz (cirko), megújuló energia","nincs megadva","nincs megadva","nincs megadva","egy helyiségben","dél","panorámás","6 m²","igen","nincs megadva","udvari beálló - benne van az árban",NA,NA
"4","XVIII. kerület, Újpéteritelep","29,5 millió Ft","35 m²","2","AZONNAL KÖLTÖZHETO, ELADÓ ÚJ ÉPÍTÉSU TÁRSASHÁZI LAKÁSOK A XVIII. KERÜLETBEN, PESTIMRE KÖZPONTJÁBAN, KERTVÁROSI KÖRNYEZETBEN!A társasház három szintes, földszinten csak garázsok tárolók és üzlethelyiség kerül kialakításra, a lakások 1. és 2. emeleti elhelyezkedésuek. Választhatók erkéllyel és erkély nélkül, 2 lakószobás kialakításban.Muszaki:• 30 cm-es Leier vagy porotherm fofalak• gipszkarton válaszfalak• homlokzati szigetelés 10 cm dryvit• ablakok: muanyag ablakok Fenstherm vagy Plastherm gyártmányúak• bejárati ajtó: 5 ponton záródó• Belso ajtók átlagos Classic tip. ajtók• futés: Tokyo Solar elektromos infra panel, padlóba szerelveAz alábbi lakás típusok választhatók:1. 35 nm, 1+1 fél szoba, erkély nélkül 29.900.000 Ft2. 70 nm, 2 szoba, erkéllyel és erkély nélkül is 49.900.000 FtA vételár részét képezi egy belso udvarban található gépkocsi beálló és a képeken látható konyhabútor.Elhelyezkedését tekintve kiváló, számos közlekedési és bevásárlási lehetoség az ingatlan közvetlen közelében található. Pestimre központi részén található, kiváló közlekedéssel, Kobánya-Kispest, Határ út és a Népliget metrómegálló 25 perc alatt elérheto.IRODÁNK INGYENES HITEL ÜGYINTÉZÉSSEL, TANÁCSADÁSSAL, SZÁMOS BANK AJÁNLATÁVAL ÉS AZ ÚJ CSOK FOLYÓSÍTÁSÁVAL VÁRJA ÜGYFELEIT!","nincs megadva","2020","összkomfortos","BB","1","3","nincs","3 m-nél alacsonyabb","elektromos, padlófutés","nincs","nincs megadva","nem","egy helyiségben","nyugat","utcai","nincs megadva","nem","nem tetotéri","udvari beálló - benne van az árban",NA,NA
"5","Üröm, Völgyliget lakópark","99 millió Ft","96 m²","4","ELADÓk  Üröm kedvelt lakóparkjában a Völgyliget lakóparkban  96 nm-es, nappali plusz 3 hálószobás, belso kétszintes, négylakásos társasházban lévo kertkapcsolatos lakások.ZÖLD HITEL megoldható!Az ingatlan alsó szintjén kialakításra kerül egy tágas amerikai konyhás nappali, ahonnan közvetlen kijárás a teraszra és  kertbe, illetve egy kézmosó wc-vel, háztartási helyiség.Az emeleten 3 kényelmes hálószoba, fürdoszoba wc-vel lesz található.Az árban választható konyhabutor benne van, egy millió forint erejéig!A lakások déli tájolásúak ezért egész nap naposak, világosak.A kert méretei különbözoek, némelyik lakásból csodás panoráma tárul elénk, a Budai hegyekre és Solymár felé.Az ingatlan magas muszaki tartalommal, ajánlat szerint válaszható burkolatokkal, kulcsrakész állapotban kerül átadásra 2022 nyár elején.CSOK igénybe veheto!A kivitelezo számos referencia házzal rendelkezik, megbízható leinformálható!Amennyiben felkeltette az érdeklodését, várom a hívását!További hasonló ingatlan kínálatunkért látogasson el weboldalunkra!","új építésu","2022","duplakomfortos","nincs megadva","nincs megadva","2","nincs megadva","nincs megadva","gáz (cirko)","van","nincs megadva","nincs megadva","külön és egyben is","dél","panorámás","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"6","VI. kerület, Zichy Jeno utca","59,9 millió Ft","82 m²","3","A lakás egy emelet ráépítéssel  került kialakításra , ami egy teljeskörü felújítását tette lehetové a háznak ,új lift külso belso homlokzat és teto tekintetében .A lakás 2 háló nappali konyha fürdo kialakításával rendelkezik.","újszeru","2014","összkomfortos","nincs megadva","4","5","van","3 m-nél alacsonyabb","gáz (cirko)","nincs","20 E Ft/hó","igen","egy helyiségben","délnyugat","udvari","nincs megadva","nem","nem tetotéri","utca, közterület",NA,NA
"7","VI. kerület, Zichy Jeno utca","165 ezer €","82 m²","3","A lakás egy emelet ráépítéssel  került kialakításra , ami egy teljeskörü felújítását tette lehetové a háznak ,új lift külso belso homlokzat és teto tekintetében .A lakás 2 háló nappali konyha fürdo kialakításával rendelkezik.","újszeru","2014","összkomfortos","nincs megadva","4","5","van","3 m-nél alacsonyabb","gáz (cirko)","nincs","20 E Ft/hó","igen","egy helyiségben","délnyugat","udvari","nincs megadva","nem","nem tetotéri","utca, közterület",NA,NA
"8","XIV. kerület, Kerepesi út","45 millió Ft","82 m²","2 + 1 fél","További információkért kérjük látogasson el a Fundamenta Ingatlan oldalára.Ha egy tágas, napfényes, izgalmasan tagolt terekkel bíró barátságos otthont szeretne, ahol mindennek megvan a jól kialakított tere és helye, legyen szó elvonulásról - együttlétrol, munkáról vagy pihenésrol, akkor ezt a lakást érdemes megnéznie!Zuglóban a Stadionok metró megállótól néhány percre eladó egy 2. emeleti, kiváló elrendezésu, csendes lakás. Hasznos alapterülete 82 m2, nappali–étkezo-konyha, 2 szoba, gardrób. Az ingatlan térkialakítása különleges: egy része fölött a 3. emelet van, másik része kis szinteltolással tetotéri elhelyezkedésu.A függofolyosó végén található lakásba belépve az eloszobába érünk, innen nyílik a mellékhelyiség és egy közlekedo több beépített szekrénnyel, továbbá a tágas fürdoszoba. Elfér itt minden, amire szükség van a tisztálkodáshoz: fürdokád, mosógép, tárolószekrények és a lakás futését, melegvíz ellátását biztosító Vaillant kombi gázcirkó készülék. Majd egy 19 nm-es szoba következik a többi lakótértol távol, így alkalmas akár home-office dolgozószobának vagy vállalkozásnak, irodának is. Nagyméretu ablaka redonyos, hoszigetelt muanyag nyílászáró, a kis forgalmú Utász utca felé néz, a délelotti nap süt be rajta, és egy hatalmas lombhullató fa husíti nyáron.A konyha a lakás középpontjában van, a lichthof felé két szellozo ablaka van. Innen az étkezobe 3 lépcsofokon jutunk fel: a további helyiségek a tetotérben helyezkednek el. A nappali–étkezo napfényes, déli tájolású, három tetotéri Velux ablakkal. A hangsúlyos, rusztikus fagerendák színe visszaköszön a tömörfa parketta és a méretre idekészült polcok anyagán. A teto alatt beépített tárolóhelyek segítik a helykihasználást. A nappaliból egy hálószoba nyílik, abból pedig egy ablakos gardróbszoba.A víz-, gáz-, és villanyfogyasztás egyedi mérésu. A társasház rendezett, jól karbantartott, lift nincs, a lépcsoház felújítása most zajlik. A lakás a társasház hátsó részén van, a tetotéri ablakok is a csendes belso udvarra néznek. Így annak ellenére, hogy a ház a Kerepesi úton található, a nyüzsgo nagyvárosból a kapun, majd a lakásajtón belépve egy valóban nyugodt otthonba érkezünk.A tömegközlekedés kiváló: 1-2 perc sétára van a Stadionok metrómegálló, a távolsági busz végállomás, az 1-es villamos, a 75, 77, 80-as trolik, 95, 195-ös buszok megállói.Ha felkeltette érdeklodését, a további részletekért, megtekintésért hívjon.","felújított","nincs megadva","komfortos","nincs megadva","2","3","nincs megadva","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"9","XIV. kerület, Tisza István tér","47,49 millió Ft","83 m²","3","PANORÁMÁS ~ ERKÉLYES - 3 SZOBÁS LAKÁSBudapest, XIV. kerület, Tisza István tér szomszédságában, frekventált, de mégis csendes utcában, karbantartott ház negyedik emeletén megvételre kínálok egy fényárban úszó 2 szoba + amerikai konyha nappalis lakást.  A 12 lakásos társasház, igényes lakóközöséggel rendelkezik, minden szinten két lakás található, a földszinten közös tárolólehetoség van, illetve a ház mögött egy közös kert biztosítja a lakók kikapcsolódását és nyugalmát. A lakás 2002-ben épült tetotérbeépítést követoen. LIFT NINCS.A lakás különleges tetotéri hangulatú, nagy terekkel, szuper elosztással  rendelkezik. A lakás szerves része még a tetotér feletti saját padlástér, mely tárolásra kiválóan alkalmas, vagy akár megnyitható, galériázható! A lakás egyedi futését egy rendszeresen karbantartott üzembiztos Junkers kazán biztosítja.A konyha teljesen felszerelt és bútorzott: mosogatógép, gázfozolap, elektr. süto, mikró, munkapult, szekrények. A lakás tartozékai, amelyek a képeken is megtekinthetok, a vételár részét képezi. Az ingatlan közös költsége 17 ezer forint havonta, mely tartalmazza a vízfogyasztást, ház karbantartást/takarítást és a felújítási alapra félretett összeget. A lakást 12 ponton záródó biztonsági ajtó védi.Saját célra, illetve bérbeadásra, befektetésnek is kiváló, de akár irodának is, a központi elhelyezkedésének köszönhetoen remek lehetoség!Éjjel és nappal, bárhonnan és bárhová. Infrastrukturája kiváló, rendkívül jól frekventált szempontjából tökéletes, a belváros bármelyik pontja perceken belül elérheto.Parkolni az utcán van lehetoség fizetos övezetben.ÉRDEMES MEGNÉZNI!!!Az OTP Ingatlanpont teljes köru ügyintézéssel áll az eladók és a vevok rendelkezésére! A kínálatunkból választott ingatlan finanszírozásához kedvezményes hitel és CSOK konstrukciókat, lakástakarék-pénztári megoldásokat kínálunk. Az adásvételi szerzodés megkötéséhez igény szerint megbízható ügyvédi közremuködést biztosítunk, és segítséget nyújtunk az adásvételhez kapcsolódó ügyek intézéséhez. Keressen, hogy mielobb ajánlatot tehessen! Várom megtisztelo hívását, akár hétvégén is! 47490000 FtReferencia szám: M203147","felújított","2001 és 2010 között","összkomfortos","nincs megadva","4","4","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs","nincs megadva","nincs megadva","külön helyiségben","délnyugat","panorámás","4 m²","nincs megadva","tetotéri","utca, közterület - fizetos övezet",NA,NA
"10","VII. kerület, Madách Imre út","49,9 millió Ft","50 m²","2","VII.kerületben, Madách Imre úton, 1940 körül épült bauhaus házban, (zárt lépcsoházas), IV. emeleti, (lift van), 50 m2-es, 2 szobás, világos lakás eladó. A szobák ablakai a Madách Imre útra néznek. A lakás felújítandó. A közös költség 9.000 Ft vízzel együtt. Tehermentes, rugalmasan költözheto!","közepes állapotú","nincs megadva","összkomfortos","nincs megadva","4","7","van","3 m-nél magasabb","házközponti","nincs megadva","nincs megadva","nincs megadva","egy helyiségben","nincs megadva","utcai","nincs megadva","nincs megadva","nem tetotéri","utca, közterület - fizetos övezet",NA,NA
