"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Parkolóhely ára","Panelprogram"
"1","VIII. kerület, Népszínház utca","39,9 millió Ft","67 m²","2 + 1 fél","Eladó VIII. kerület, N é p s z í n h á z  utcában 67m2, 2,5 szobás lakás 39,9 MFtKIVÁLÓ ELHELYEZKEDÉS, TÖBB LEHETOSÉG, REMEK ÁR-ÉRTÉK ARÁNY!Amennyiben Ön a Blaha Lujza tér és a Nagykörút vonzáskörzetében keres lakást, engedje meg, hogy figyelmébe ajánljam az alábbi ingatlant.A magasföldszinten elhelyezkedo (tulajdoni lapon 67m2, valóságban 73m2), csendes mellékutcára nézo, felújítandó lakás bejárata az épület udvaráról nyílik, alatta futött helyiség található.Az eloszobából balra nyílik a kamra, a mellékhelyiség, valamint a káddal ellátott fürdoszoba. A helyiségek ablakkal ellátottak, így jól szelloztethetok.A bejárati ajtóval szemben helyezkedik el a tágas, mellékutcára nézo nappali. A nappali ablakpárkánya - az utca szinthez képest - több, mint 2 méter magasan található.A közlekedobol nyíló helyiségek (konyha és a két hálószoba) ablakai az udvarra néznek.Az ingatlan futését gázkonvektorok szolgáltatják, kiegészítve a nappaliban található fa tüzelésu cserépkályhával.A meleg vizet gázkazán biztosítja, a vízfogyasztást vízóra méri.A közös költség 17 755 Ft havonta.A bekamerázott, folyamatosan karbantartott épület külso homlokzata és lépcsoháza felújított, a lépcsoházat gyönyöru ólomüveg díszíti.A környék infrastruktúrája kiváló, pár perc séta távolságra megtalálható bölcsode, óvoda, általános iskola, valamint több egyetem és foiskola is.Bevásárlásra a környéken kisboltok, piacok, valamint több nagy üzletlánc boltjai is rendelkezésre állnak.Tömegközlekedésre számos villamos (4; 6; 28; 37; 62) és buszjárat (5; 7; 8; 108E; 110; 112; 13; 931), valamint az M2 és M4 metró megállója pár perc alatt elérheto.Józsefváros lakói gépkocsijukkal a kerületben ingyen parkolhatnak.AZ INGATLAN TÖBB LEHETOSÉGET IS KÍNÁL ÍGY, KÖNNYU ÉS GYORS MEGKÖZELÍTHETOSÉGE MIATT KIVÁLÓAN ALKALMAS IRODÁNAK, RENDELONEK.AJÁNLOM TOVÁBBÁ BEFEKTETOKNEK, HISZEN A KÖRNYÉK INGATLANJAI NAGYON KERESETTEK MIND A RÖVID TÁVRA, MIND A HOSSZÚTÁVRA ALBÉRLETET KERESOK KÖRÉBEN. AZ EGYETEMI ÉS FOISKOLAI KAROK KÖZELSÉGE SZÁMOS KÜLFÖLDI ÉS HAZAI EGYETEMISTÁT VONZ.AJÁNLOM TOVÁBBÁ KISEBB CSALÁDOKNAK, ÉLETKEZDO FIATALOKNAK, VALAMINT IDOSEBB PÁROKNAK IS, HISZEN AZ INGATLAN REMEKÜL ALAKÍTHATÓ A KÜLÖNBÖZO IGÉNYEKNEK MEGFELELOEN!További információért kérem, keressen bizalommal!","nincs megadva","nincs megadva","nincs megadva","nincs megadva","félemelet","nincs megadva","van","nincs megadva","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nyugat","utcai","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"2","XII. kerület, Csillebérc","198 millió Ft","148 m²","8","XII. kerület legszebb zöldövezeti részén, háromlakásos új építésu társasházban, második emeleti, délnyugati fekvésu, nappali + három hálószobás, három teraszos luxuslakás elvehetetlen örök panorámával eladó. Az épület az Irhás árok felett, gyönyöru erdei környezetben, természetvédelmi övezet mellett, csendes utcában helyezkedik el. Délnyugati fekvésu, hatalmas, napos teraszairól csodálatos zöld panoráma tárul elénk, a környék csendes, a levego tiszta. Az 1603 nm-es telken elhelyezkedo házat tavaly teljes köruen és rendkívül magas minoségben újjáépítették. Az új falak Porotherm téglából készültek, a külso falakra 15 cm dryvit szigetelés került. Az új teto beton cserépfedéssel, kétállószékes, gerincszelemes nyeregteto szerkezettel, 10x15 cm-es szarufákkal készült. A külso nyílászárók muanyag szerkezettel, 3 rétegu, B1 betörésvédelmi üvegezéssel, bukó és bukó-nyíló kivitelben készültek. A kellemes homérsékletet hoszivattyús rendszerrel történo mennyezet hutés-futés, és padlófutés biztosítja. A lakások szerkezetileg teljesen elkészült, a burkolatok, a konyhabútor, valamint a festés a vevo igényei és kiválasztott anyagai szerint fognak bekerülni az ingatlanba, melynek kivitelezése díjmentesen elvégzésre kerül, anyagköltsége megegyezés kérdése. Az épület zárószintjét elfoglaló belso kétszintes lakás alsó szintjén étkezos-amerikai konyhás nappali, a hozzá tartozó 40 nm-es panorámaterasz, két hálószoba, két fürdoszoba, két gardrób, és egy vendégmosdó került kialakításra. A felso szinten egy 30 nm-es, saját fürdoszobás lakrész, és további két terasz található, melyekrol a már földszintjén is panorámás ingatlan leghihetetlenebb látványa tárul elénk. A család kényelmét egy zárt garázs, egy felszíni beálló, és egy nagyméretu, külön zárható tároló helyiség is biztosítja, melyek együttesen 12M Ft-ért megvásárolandóak. Igény esetén az ingatlanhoz megvásárolható egy nettó 58 nm-es, 100 nm-es terasszal és saját kizárólagos kertrésszel rendelkezo, gazdasági épületként nyilvántartott önálló kis ház, mely az új tulajdonos igényei szerint kerül befejezésre, kiválóan alkalmas irodának, nyári konyhának, vagy nappali + 1-2 hálószobás lakásnak (+105M Ft).","újszeru","2021","luxus","nincs megadva","2","3","nincs","nincs megadva","gáz (cirko)","van","nincs megadva","nincs megadva","külön és egyben is","nincs megadva","nincs megadva","53 m²","nincs megadva","nincs megadva","teremgarázs hely - kötelezo megvenni",NA,NA
"3","Balatonfüred, Felsováros","89,7 millió Ft","180 m²","6 + 1 fél","Panorámás sorházi lakás Balatonfüreden eladó!Balatonfüreden a Tamás-hegy lábánál, egy most átadott lakópark közvetlen szomszédságában található a lakóingatlan.A belterület határán fekvo sorházi lakásokat a 90-es évek elején kezdték építeni.A két bejárattal rendelkezo lakás déli oldaláról a garázsba, valamint az alagsori részen kialakított kazánházba, tárolóhelyiségekbe, illetve egy különálló kis apartmanba léphetünk be.Innen is van feljáró a további három lakószint eléréséhez.A szintenként 60 nm nagyságú lakás elso emeletén tágas nappali, konyha-étkezo, fürdoszoba, külön WC, gardróbszoba, elotér és terasz kapott helyet.A további két lakószinten összesen öt hálószoba, valamint ketto fürdoszoba került kialakításra.Az emeleti terasz két oldaláról szép kilátás nyílik a Balatonra.Az otthon melegét gázkazán, illetve egy szépen kivitelezett cserépkályha biztosítja.A beköltözheto állapotú ingatlant folyamatosan karbantartották.Összeköltözo nagyobb családok részére, illetve kiadásra is kituno választás!","jó állapotú","1981 és 2000 között","nincs megadva","nincs megadva","nincs megadva","4","nincs megadva","nincs megadva","gázkazán, cserépkályha","nincs megadva","nincs megadva","nincs megadva","külön és egyben is","dél","panorámás","20 m²","igen","nincs megadva","önálló garázs - benne van az árban",NA,NA
"4","IX. kerület, Lónyay utca","68,9 millió Ft","85 m²","3","Eladásra kínálok IX. ker. Belso-Ferencváros L Ó N Y A Y UTCÁBAN lift nélküli 3 emeletes téglaházban 3. emeleti délnyugati tájolású duplakomfortos 85 m2-es 3 szobás utcára nézo cirkó és padlófutéses külön WC – fürdoszobás felújított riasztós lakást.A felújítás muszakilag és esztétikailag is megtörtént. A nappaliból panorámás kilátás a Dunára.Gépesített, beépített modern konyhabútor. Hangszigetelt muanyag ablakok. Igényes és minoségi beltéri ajtók. Mosókonyha.A futést egy új gázcirkó biztosítja, mely padlófutéssel egészül ki a konyhában, a fürdoszobában, és az eloszobában is.85 nm alapterületen teljesen felszerelt nagy konyha, nappali, 2 külön bejáratú hálószoba, fürdoszoba WC-vel, külön WC mosdóval, kamra.Hatalmas, beépített szekrények könnyítik meg a pakolást. Riasztó rendszerrel ellátott.Teljesen bútorozott és felszerelt: étkezoasztal, kanapé, könyvespolcok, 2 franciaágy, íróasztalok, gardróbszekrények, mosógép, mosogatógép, étkezokészletek, mikrósüto, stb.Közös költség: 18 375 Ft/hó.Elhelyezkedésének köszönhetoen minden megtalálható pár perc sétára.Iskolák és óvodák, valamint üzletek, kávézók és éttermek pár percnyi sétával elérhetok. A tömegközlekedést igénybe vevoknek számos lehetoség áll a rendelkezésükre. Az M3 és M4 metró, a 4/6-os villamos, a 15-ös és a 115-ös busz, megállói mind a közelben vannak.Eladási ára:68,9 millió Ft. Tartalmazza a teljes berendezést.Bármilyen kérdés esetén keressen bizalommal.Hétvégén is hívhat!","nincs megadva","nincs megadva","duplakomfortos","nincs megadva","3","3","nincs","nincs megadva","gáz (cirko), padlófutés","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délnyugat","utcai","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"5","XIII. kerület, Jász utca","84,33 millió Ft","85 m²","2 + 2 fél","ÚJ TÁRSASHÁZ ÉRTÉKESÍTÉSE KEZDODÖTT MEG!VÁLASSZA KI MOST A LEGJOBB FEKVÉSU LAKÁST!A XIII. kerület kertvárosi részén megvalósuló alacsony lakásszámú, LIFTES társasházban kínálunk eladó ingatlanokat /1+1, 2+1, 2+2, 2+3 szoba/.Fobb jellemzok:- kiváló közlekedés és infrastruktúra- a lakások világosak, naposak (D-i, DK-i, K-i és NY-i tájolásúak)- erkélykapcsolatosak- külön WC - a hoszigetelési-, akusztikai-, ill. energetikai szempontok kiemelt kezeléssel kerülnek megvalósításra- futés: házközponti futés egyedi mérovel + napelem- egyedi méroórák- TEREMGARÁZS vásárolható (4 M Ft/db)- TÁROLÓ vásárolható (450.000 Ft/m2)A lakások a konyhabútor és a beépített szekrények kivételével, KULCSRAKÉSZ állapotban kerülnek átadásra.Tervezett átadás: 2022. II. negyedév.Közlekedés: kiváló (villamos /14/, buszok /30, 30A, 105, 230/, éjszakai járat)./A képek ILLUSZTRÁCIÓK./Az árak 5 % ÁFA-t tartalmaznak.További információért, és a szabad lakások miatt hívjon bizalommal!AZ IDO PÉNZ! SPÓROLJON VELÜNK!NÁLUNK MINDENT EGY HELYEN INTÉZHET!- ingatlanok szakszeru bemutatása- ingyenes hitelügyintézés- jogi háttér","nincs megadva","2021","duplakomfortos","AA+","4","6","van","3 m-nél alacsonyabb","házközponti egyedi méréssel, megújuló energia","nincs","nincs megadva","igen","külön és egyben is","délkelet","utcai","17 m²","nem","nem tetotéri","teremgarázs hely - megvásárolható","4 000 000 Ft",NA
"6","Nagykanizsa, Zrínyi Miklós utca 45.","33,9 millió Ft","89 m²","3","Nagykanizsa, belváros, elso emelet, 3 szobaBelvárosi legyen, de csendes?Elso emeleti, de 3 szobásIgen!!!Nagykanizsán Zrínyi utcában kínálok megvételre egy 89 m2 alapterületu, elso emeleti, 3 szobás lakást.Az otthon melegét gázkonvektorok biztosítják, melynek megorzésérol a homlokzati hoszigetelés gondoskodik.Az utcafront feloli nyílászárókat muanyagra cserélték, de az udvar feloliek még az eredeti fa ablakok.Alacsony közös költség: 9,500 Ft/hó, rendezett ház.Nézzük meg együtt!A hirdetésben szereplo információk a megbízótól kapott adatok alapján készültek, pontosságukért felelosséget nem vállalunk!Irodánkban teljes köru ügyintézéssel és bankfüggetlen hitelközvetítovel várjuk új ügyfeleinket!","jó állapotú","1981 és 2000 között","összkomfortos","nincs megadva","1","földszintes","nincs","3 m-nél alacsonyabb","gáz (konvektor)","nincs","9 E Ft/hó","nem","külön és egyben is","dél","utcai","nincs megadva","igen","nem tetotéri","utca, közterület - fizetos övezet",NA,NA
"7","IV. kerület, Petofi utca","48,9 millió Ft","68 m²","1 + 2 fél","IV. kerületben, a Petofi utcában eladó egy 68 m2-es, loggiás (4 m2), 1 + 2 félszobás, csendes, világos, újszeru, kertre nézo lakás.A 2002-ben épült társasház 3 emeletes. A lépcsoház 15 lakásos, karban- és tisztán tartott . A lakás az 1. emeleten található. Lift nincs. A társasház mögött egy közös kert biztosítja a lakók kikapcsolódását és nyugalmát.  A lakás fobb jellemzoi:- tehermentes- DNy-i fekvésu- loggia (4 m2) - újszeru, gépesített konyhabútor (benne van a vételárban)- kádas fürdo - külön WC kézmosóval- redonyös, muanyag ablakok- biztonsági bejárati ajtó- beépített szekrény- klíma- egyéb bútorok és gépek alku tárgyát képezikFutés: cirkó.Közös költség: 20.000 Ft/hó (garázzsal, tárolóval együtt).A lakáshoz tartozik egy 2 m2-es, zárt tároló, mely benne van a vételárban, továbbá egy 15,84 m2-es zárt teremgarázs, mely további 7,3 M Ft-ért opcionálisan megvásárolható. Elektromos autó töltése megoldható a garázsban.Közelben: bevásárlási lehetoségek (Újpesti Piac, Váci úti Tesco, Penny Market, Lidl), óvoda, iskola, bankok, posta, gyógyszertár, önkormányzat stb.Közlekedés: kiváló (buszok /25, 30, 30A, 104, 120, 147, 170, 196, 204, 220, 230, 270/, 12-es és 14-es villamos, 3-as metró pár percen belül elérheto, éjszakai járat).További információért kérem, hívjon bizalommal, majd nézze meg személyesen, és tegyen egy ajánlatot!","újszeru","2001 és 2010 között","összkomfortos","CC","1","4","nincs","3 m-nél alacsonyabb","gáz (cirko)","van","20 E Ft/hó","nem","külön helyiségben","délnyugat","kertre néz","4 m²","nem","nem tetotéri","nincs megadva",NA,NA
"8","XI. kerület, Rátz László utca","49,8 millió Ft","72 m²","2 + 2 fél","Eladásra kínálok XI. ker. Kelenföld Rátz László utcában liftes 10 szintes panelházban 8. emeleti keletnyugati tájolású 72 m2-es 2+2 fél szobás 5 m2 erkélyes panorámás házközponti futéses külön WC – fürdoszobás felújítandó lakást.Örökpanorámával a Budai hegyekre.A lakásba belépve egy tágas elotérbe érünk, innen szemben található a nappali egy 5 m2-es beépített erkéllyel. A nappaliból közvetlenül nyílik egy szintén panorámás hálószoba melynek két bejárata van, akár külön nyíló szoba is lehet. A lakás keleti oldalán található a tágas ablakos konyha és 2 hálószoba is. A fürdoszoba és a wc külön nyílnak.Az nyílászárók 1 évvel ezelott lettek kicserélve ( egy szoba kivételével). Közös költség: 15 000 Ft/hó.Pince és szaritó helyiség is tartozik a lakáshoz.Az ingatlan jó infrastruktúrával rendelkezik, a 47-es, 56-os, 17-es és a 41-es villamosok vonala pár percre található.Eladási ára: 49,9 millió Ft.Bármilyen kérdés esetén keressen bizalommal.Hétvégén is hívhat!","felújítandó","nincs megadva","összkomfortos","nincs megadva","8","10","van","nincs megadva","házközponti","nincs","nincs megadva","nincs megadva","külön helyiségben","nyugat","panorámás","5 m²","nem","nincs megadva","nincs megadva",NA,"nincs megadva"
"9","XIII. kerület, Angyalföld","90,68 millió Ft","66 m²","3","Angyalföldön csendes mellékutcában utolsó  ÚJ építésu KÉT SZINTES PENTHOUSE   lakása eladó!Kutyája van?     Gyermeke térre vagy játszótérre vágyik?     Szeret napozni, gillezni és élvezni a nyarat funyírás nélkül?      Menozni akar a csajok elott?Akkor ez a lakás Önnek való!    143 nm -es erkély, tetoterasz!Utolsó lakás!! Használatbavételi megvan, a házban már laknak.4. emelet 6 lakás (406)Két szintes lakásLakás: 66 nmerkély: 76 nmsaját tetoterasz: 67,19 nmErkély és tetoterasz: 143 nmBruttó összterület nm(erkély és terasz felével számolva)137,5 nmÉszaki és keleti tájolású.Elektromos redonnyel és légkondicionálóval felszerelt. Duplakomfortos, káddal és zuhanyzóval.Ezeket az ÁR TARTALMAZZA!! Konyhabútor nincs az árban.Parkoló: 3 100 000-5.100.000 FtTároló a parkolószinten 1500 000 Ft -tólÁtadás: 2021 július. Már KÖLTÖZHETO!Az ingatlan 1244 nm-es telekre épült, melyben 32 lakás alakítottak ki. A földszinten mindössze 3 lakás lesz.A tervezett épület 1 pinceszint, földszint + 4 emeleti, egy tetoszinti kialakítású. lifttel is rendelkezik.A társasház 32 db lakása a földszint - 4. emeleteken (3-8-8-7-6) került elhelyezésre.Valamennyi lakásban a konyha a nappalival egy légtérben lett kialakítva oly módon, hogy a nappali alapterülete minden esetben megközelíti, eléri vagy meghaladja a 20 m2-t.A lakóépület pinceszintjén található teremgarázsokban került elhelyezésre a 33 parkoló különbözo áron.A függoleges tartószerkezet monolit vasbeton pillérek, a falak általános helyeken POROTHERM 30cm-es téglából épülnek, melyeket monolit vasbeton födémek zárnak le.A külso vázkitölto falazat elé 10 cm, illetve 15 cm polisztirol EPS polisztirol hoszigetelést, belso tereknél pedig EPS80 hoszigetelést alkalmaznak.Az épületre laposteto kerül, PVC lemez szigeteléssel, kavicsterítés leterhelo réteggel. A teraszfödémeken és laposteton egy réteg muanyaglemez vízszigetelés készül.Az épület Angyalföldön helyezkedik el, a helyi bevásárlási lehetoségek közel vannak, mint pld. Spar, Aldi és kutyafuttató is van a közelben. A közlekedési lehetoségek is jók, az 1-es villamos, a a 30-as és 230-as buszok és a 14-es villamos megállói is hamar elérhetok. A közelben iskolák, cukrászdák, szupermarketek és bútorboltok is találhatók. Autóval az M3-as autópálya gyorsan elérheto, biciklivel közlekedoknek kerékpárút is van, ahonnan csak karnyújtásnyira van a Városliget.Teljesköru bankfüggetlen hitelügyintézésben tudunk segíteni.Hitel,   CSOK,  babaváró igénybeveheto.Várom megtisztelo hívását, egyeztessünk idopontot a megtekintésre!","nincs megadva","2020","duplakomfortos","CC","4","5","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","van","nincs megadva","igen","külön és egyben is","északkelet","panorámás","143 m²","nem","penthouse","teremgarázs hely - megvásárolható","3 000 000 Ft",NA
"10","XXIII. kerület, Soroksár","24,9 millió Ft","55 m²","1 + 1 fél","Budapest XXIII. kerületében, Soroksáron, ELADÓ egy 6 lakásos sorházban egy 55 nm-es felújítás alatt álló, befejezésre váró LAKÁS!A ház tégla falazatú, az utcafront felol ez a lakás az ötödik a sorban, így mindkét oldalról van szomszédja. Egy 50 nm-es saját kert terül el a lakás elott, melynek szélén egy keskeny járda biztosítja az utolsó lakás tulajdonosának is az átjárást. Az átalakítás során az eredetileg 46 nm-es lakás 9 nm-es tornácát felfalazták és összenyitották a belso helyiségekkel, ezáltal a nappali tágasabb és világosabb lett. Az így kapott extra lakóterület sarkában pedig a WC-t is kialakítottak. A nyílászárók cseréje már megtörtént. A felújítást az új tulajdonos saját elképzelése szerint tudja befejezni. A futést jelenleg egy konvektor biztosítja, a másik helyiségbe egy olajkályha került. A saját kertrész igény szerint elkerítheto és gépkocsival is be lehet állni.A ház központi helyen található, közel a Hosök teréhez, mégis elhelyezkedése okán CSENDES ÉS NYUGODT lakókörnyezetet biztosít tulajdonosának. A társasháznak van egy közös pincéje is.A környék közlekedése kiváló, pár perc sétára a HÉV megálló, de az közleben áll meg a 66-os, a 166-os és a 136-os buszok is.","közepes állapotú","1950 és 1980 között","összkomfortos","nincs megadva","földszint","földszintes","nincs","3 m-nél alacsonyabb","gáz (konvektor)","nincs","nincs megadva","igen","külön helyiségben","dél","kertre néz","nincs megadva","igen","nincs megadva","udvari beálló - benne van az árban",NA,NA
