"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Parkolás","Tetotér","Panelprogram","Parkolóhely ára"
"1","Hajdúszoboszló, Belváros","32 millió Ft","73 m²","3","Hajdúszoboszlón társasházi lakás eladó!Ár: 32 000 000 FtHajdú-Bihar megyében, Debrecentol 20 km-re található Hajdúszoboszlón társasházi lakás eladó. Az ingatlan a fürdotol 100 méterre, a város kiemelt övezetében található, melyet a tulajdonosok a közelmúltban igényesen felújítottak.A lakás az 1978-ban épült, földszint+ 4 emeletes társasházban a földszinten található. Hivatalosan 73 m2, de a tulajdonosok az erkélyt beépítették, ezzel megnövelték a lakás területét. A lépcsoház igényes, tiszta, frissen festett. A lakás ajtaja és az ablakok muanyagból készültek, az ablakok redonnyel felszereltek.A lakásban 3 szoba, konyha, fürdoszoba, külön wc, spájz és folyosó található. Az ingatlannal beépített, fából készült, igényes konyhabútor is jár. A futés házközponti, radiátorokkal biztosított.Az ingatlanhoz egy közös tároló tartozik, melyben kerékpár, babakocsi tárolható.A lakás alkalmas nagycsaládok részére, de a fürdo közelsége miatt vendégtartásra is.Ha felkeltette érdeklodését keressen bátran a telefonos elérhetoségemen! Kedvezményes kamatozású lakásvásárlási-és felújítási hitelek az OTP Bank hátterével irodánkban elérheto.","jó állapotú","1950 és 1980 között","összkomfortos","nincs megadva","földszint","4","nincs","3 m-nél alacsonyabb","házközponti","nincs","6 E Ft/hó","nem","külön helyiségben","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA,NA
"2","I. kerület, Gellérthegy utca","55,9 millió Ft","70 m²","3","Eladó az I.kerület csendes utcájában a Gellérthegy utcában irodának és rendelonek is kiváló 3 szobàs magas földszintes lakás.Épület:- jó állapotú homlokzat- belso folyosó szép állapotúLakás:- 70 nm- 2 és fél szoba- 2 fürdoszoba- gáz és elektromos futés- közös költség 22.000 Ft amely magában foglalja a korlátlan vízfogyasztást és a csatornadíjat is- 5nm-es tárolóKörnyék:Közlekedés kiváló 105-ös,178-as busz,56A villamosVárom hívását a hét bármely napján.","közepes állapotú","nincs megadva","nincs megadva","nincs megadva","félemelet","6","nincs megadva","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","külön és egyben is","nyugat","utcai","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"3","XIII. kerület, Danubius utca","69,9 millió Ft","49 m²","2","XIII. Marina parton, 2019 októberében átadott Duna Terasz Prémium lakóparkban, eladó egy VIII. emeleti, panorámás, K-i tájolásu, 49nm-es, 18 nm-es terasszal rendelkezo bútorozott lakás. Az ingatlant jelenleg bérlo lakja, igény szerint 30 napon belül kiköltözik, vagy tovább bérli a lakást.Futés: házközponti egyedi mérésselKözös költség: 23.000Ft/hóA Duna Terasz Premium Budapest XIII. kerületének népszeru részén, a Foka-öböl mellett épült.A közelben számos tömegközlekedési eszköz megállója megtalálható. Öt perc sétára helyezkedik el az M3-as metró Gyöngyösi utcai megállója, melynek segítségével gyorsan elérheto a belváros. Ezen felül Budapest frekventált csomópontjaira eljuthatsz a 15-ös, 115-ös, 120-as buszjáratokkal, valamint a közeli kikötobol induló, a budapesti tömegközlekedés kuriózumát jelento BKV Hajóval is.Az autóval közlekedok a Váci úton érhetik el Buda és Pest fobb csomópontjait, valamint az M0-ás és M2-es autópályákat.Kérdés esetén vagy további Marina parti ajánlatainkért keressen bizalommal.","újszeru","2020","összkomfortos","nincs megadva","nincs megadva","9","van","nincs megadva","házközponti egyedi méréssel","nincs megadva","nincs megadva","igen","nincs megadva","kelet","utcai","18 m²","nincs megadva","nincs megadva","nem tetotéri",NA,NA
"4","VI. kerület, Belso-Terézváros","61,5 millió Ft","65 m²","2","GYORSAN KÖLTÖZHETO!!6.kerületben, a Teréz körút és Andrássy út vonzáskörzetében, PRÉMIUM MINOSÉGU ERKÉLYES LAKÁS ELADÓ!!!TEHERMENTES!6. kerületben, a Teréz körút és Andrássy út vonzáskörzetében, újabb építésu, rendezett, liftes társasházban, 4. emeleti, 62nm-es+ 6 nm-es erkélyes, amerikai konyhás nappalis és 1 háló szobás, külön fürdos ( zuhanyzós) és 2 Wc-s, KLIMATIZÁLT, modern kivitelezésu lakás eladó.A nappali és a háló erkéllyel kapcsolódik.A meleg víz ellátás és futés központilag történik. Házközponti, egyedi méréssel, radiátoros holeadással.Alacsony rezsivel fenntartható, minden egyedileg mérheto.A lakóközösség barátságos.Központi elhelyezkedésének köszönhetoen a közlekedés kiváló, a villamos, Trolibusz valamint Földalatti megállója pár perc sétára található.Irányára: 61.500.000.-Ft.","újszeru","2011","összkomfortos","nincs megadva","4","6","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","van","nincs megadva","igen","külön helyiségben","nincs megadva","kertre néz","6 m²","nincs megadva","nincs megadva","nem tetotéri",NA,NA
"5","VIII. kerület, Kiss József utca","69,99 millió Ft","107 m²","3","VIII. kerületben a Kiss József utcában kínálok eladásra, liftes társasházban lévo 107 nm-es, nappali + 2 szobás, erkélyes 4.emeleti, belso kétszintes tetotéri lakást.Az alsó szinten tágas amerikai konyhás nappali, beépített eloszoba, tároló, Wc és erkély található.Az emeleten 2 hálószoba és nagy kádas fürdoszoba WC-vel került kialakításra.A lakás 2008-ban épült, a társasház ekkor teljesköru felújításon esett át. A jó állapotú, újszeru ingatlan muanyag nyílászáróval, riasztóval, és redonnyel felszerelt. Közös költség: 16.000 / hó.Az ingatlan infrastruktúrája kíváló, közelben iskola, óvoda, vásárlási és szórakozási  lehetoség, a Blaha Lujza téren számos tömegközlekedési eszköz elérheto.Ha felkeltettem érdeklodését, várom a hívását a hét bármely napján.","újszeru","2001 és 2010 között","duplakomfortos","nincs megadva","4","4","van","nincs megadva","gáz (cirko)","van","nincs megadva","nincs megadva","külön és egyben is","nincs megadva","panorámás","6 m²","nincs megadva","utca, közterület","nincs megadva",NA,NA
"6","VII. kerület, Hernád utca","26,5 millió Ft","42 m²","1","KÉNYELMESEN TÁGAS GARZON LAKÁS ELADÓ A HERNÁD UTCÁBANA VII. kerület kituno infrastruktúrával rendelkezo részén, a Hernád utcában várja új tulajdonosát ez a jó atmoszférájú, tágas terekkel rendelkezo 42 nm-es garzon lakás. A utcai nézetu ingatlan elso emeleti, csendes, világos. Állapotát tekintve egy tisztasági festés után költözheto, de igény esetén alakítható, szépítheto, a 350 cm-es belmagassága lehetové teszi galéria kialakítását is.A lakás teljes bútorzata is megvásárolható, így ha azonnal költözni szeretne vagy kiadással hasznosítaná akkor a berendezéssel sem kell foglalkoznia.A tégla építésu társasház homlokzata és belso terei átlagos állapotúak, a körfolyosói idén lettek felújítva. A lakóközösség rendezett, csendes.A környék infrastruktúrája vitathatatlanul kituno, a Damjanich ill. István utcákban, valamint a Keleti pályaudvarnál lévo tömegközlekedési eszközökkel a város bármely pontja könnyen megközelítheto, bevásárlási lehetoségek, iskola, óvoda maximum pár perc sétával elérhetoek, csakúgy mint a kikapcsolódási és sportolási lehetoségeket nyújtó Városliget.Amennyiben szeretne egy az átlagosnál tágasabb garzont, központi helyen, megfizetheto áron ezt a lakást mindenképp érdemes megnéznie. További információért és megtekintésért kérem hívjon mielobb amíg még megvan a lakás!","jó állapotú","1950 elott","nincs megadva","nincs megadva","1","nincs megadva","nincs megadva","3 m-nél magasabb","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","kelet","utcai","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"7","VI. kerület, Belso-Terézváros","106,9 millió Ft","160 m²","6","Belso terézvárosi nagypolgári lakásAmennyiben egy tágas, belvárosi, mégis csendes lakásra vágyik, ebben az ingatlanban megtalálhatja amit keres. Ha OTTHONNAK SZERETNÉ azért ajánlom, mert a lakás napos, szinte az összes fala közfal, azaz alakításának és elrendezésének számtalan lehetosége kínálkozik. Használhatja a 160 nm-t egyben, vagy meghagyva a jelenlegi elosztást, a 122 nm lehet az otthona, míg a 38 nm-es lakrész vendég lakásként vagy befektetési céllal szolgálhat. Mindkét lakrész felújítandó állapotú (a képek korábbi állapotot tükröznek)!A társasház felújított, szép homlokzatú, a kapualja impozáns, a lakóközössége rendezett, csendes. A körfolyosók még nem tündökölnek eredeti szépségükben, felújításukra valószínuleg 1-2 évet még várni kell, de tovább növeli majd az ingatlan értékét.Ha BEFEKTETÉSRE GONDOL akkor azért javaslom, mert nagyon ritka a 6 szobás ingatlan a belvárosban, ráadásul két lakrésszé bontva. Az egyik, 122 nm-es lakás a lépcsoházból nyílik, nappali-konyha + 3 külön nyíló hálószobás, dupla komfortos. A másik lakrész a körfolyosó utolsó lakása, konyha, két külön nyíló hálószoba és egy fürdoszoba alkotják.A lakások üresek, megtekintésük könnyen megoldható. További információért és megtekintésért keressen elérhetoségeim bármelyikén.","közepes állapotú","1950 elott","nincs megadva","nincs megadva","1","3","nincs megadva","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","utcai","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"8","VII. kerület, Belso-Erzsébetváros","131 millió Ft","115 m²","2 + 3 fél","Tetoteraszos belvárosi lakás.Ritkán kerül a piacra gyönyöru városi panorámát nyújtó, hatalmas tetoterasszal rendelkezo belvárosi lakás. Ennél az ingatlannál ez adott. Az 5. emeleten elhelyezkedo alsó szint nappalijából és két hálószobájából a Bazilikára és a Citadellára láthatunk, míg a többi helyiségbol a hamisítatlan bulinegyed látképe tárul elénk, de mindez felülrol, a nyüzsgo élet zajától távol.A 2020 márciusig rövid távú kiadással üzemeltetett 115 nm-es lakást két lakárész, egy 27 nm-es stúdió lakás és egy 88 nm-es 3 hálószobás lakás alkotja. A teljes lakás felett elterülo tetoteraszra (115 nm) mindkét lakásból feljuthatunk, innen 360 fokos városi panorámában gyönyörködhetünk.Az ingatlan mára már megérett a felújításra, a képek korábbi állapotot tükröznek. Kiadásra kisebb ráfordítással felújítható, amennyiben Ön új otthonát látja benne, úgy átépítheto, igény szerint alakítható.Az 1898-ban Bloch Leó és Holitscher Róbert építette, eredetileg 4 emeletes eklektikus lakóház LIFTES, homlokzata jó, belso terei átlagos állapotúak, festésre érettek.Amennyiben szeretne egy elvehetetlen panorámás, a belváros szívében lévo mégis csendes otthont, kelloen vállalkozó szellemu a felújításához akkor egy különleges lakás tulajdonosa lehet.Ha felkeltettem az érdeklodését és szeretné megnézni az ingatlant vagy kérdése lenne, kérem hívjon!","jó állapotú","1950 elott","nincs megadva","nincs megadva","5","5","van","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nyugat","panorámás","115 m²","nincs megadva","nincs megadva","nincs megadva",NA,NA
"9","VII. kerület, Középso-Erzsébetváros","89,99 millió Ft","141 m²","6","BEFEKTETOKNEK - 3 LAKÁS 1 HELYENVII. kerületben, közvetlenül a New York Palota mögött eladó ez a teljes köruen felújított és berendezett, 3 lakássá alakított ingatlan (48 nm, 45 nm, 39 nm+közös tér). Mindegyik lakás nappali-konyha, hálószoba és fürdoszoba elosztású, a három lakás egy zárt, közös folyosóról nyílik. Az ingatlanok jó minoségu alapanyagból készültek a jelen kor ízlése szerint. A teljes berendezés a vételár részét képezi, így a birtokba-adást követoen azonnal hasznosíthatóak (jelenleg is ki vannak adva, a bérlok átvehetok). A társasház rendezett. A környék infrastruktúrája kituno, a 4-es/6-os villamos, 2-es metró, számtalan troli járat pár perc séta, így a város bármely pontja könnyen elérheto. A Bulinegyed szintén egy könnyed séta, ahogy a körút üzletei, éttermei, kávézói is. Ajánlom az ingatlant elsosorban befektetési szándékkal vásárlóknak közép- vagy hosszútávú kiadásra. További információért és megtekintésért kérem hívjon bizalommal!","felújított","nincs megadva","nincs megadva","nincs megadva","földszint","3","nincs megadva","3 m-nél alacsonyabb","elektromos","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","udvari","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"10","VII. kerület, Kis Diófa utca","59,99 millió Ft","51 m²","3","+ 2 KÜLÖN APARTMAN +HUEladó a Kis Diófa utcában, egy 2019-ben teljes köruen felújított, 2 külön apartmanná alakított lakás. Rövidtávú kiadásra alkalmas ENGEDÉLLYEL rendelkezik ami következo tulajdonosára átruházható. Az ingatlan esztétikai és muszaki felújításon esett át, teljes víz, villanyvezeték csere és villanyóra bovítés is történt. A lakás alapterülete 51 m2, az 1. emeleten helyezkedik el, utcai kilátással.+ KÉT TELJES ÉRTÉKU LAKRÉSZRE OSZTVA, 2 db fürdo-WC-vel.+ energiatakarékos osztrák infrapanelek biztosítják a meleget+ spot lámpák és hangulatvilágítás található minden helyiségben+ a melegvizet egy nagy kapacitású 100 literes Ariston bojler biztosítja+ új muanyag nyílászárók kerültek beépítésre redonyökkel együtt+ biztonsági záras ajtó+ inverteres Duo klíma biztosítja a kellemes légkört mindketto lakrészben+ lakás vízórás+ minoségi burkolatok, szaniterek és egyedi építésu esoztetok, zuhanykabinok lettek beépítve+ 2 db teljesen berendezett konyhával rendelkezik+ a belsoépítészeti eszköztárnak köszönhetoen egy kifinomult, modern, egyben kényelmes enterior lett kialakítva az apartmanokban.A közös költség felújítási alappal együtt 13.821-Ft/hó. A ház két szintes, 2019-ben növényesítési pályázatot nyert el. Az épületben az elektromos felújítás elso üteme lezajlott, a második ütemre is van megnyert pályázat. 2020-ban a kapualj és a lécsoház felújítása megtörtént. A környék turisztikailag felkapott a BULINEGYEDBEN található számtalan szórakozási lehetoséget biztosító környezetben. Gyakorlatilag minden közlekedési eszköz karnyújtásra található az ingatlantól.Az ingatlan irányára (bútorozottan gépesítve) 59.99MFt.A lakás rugalmasan megtekintheto. ENApartment for sale in KIS DIÓFA Street, a 2in1 apartment, completely renovated in 2019 and converted into two apartments, is suitable for short-term renting, and has a LICENSE for that, which can be transferred at any time. The flats have been completely renovated both aesthetically and technically, with a complete replacement of water and electricity lines and an extension of the electricity meter. The total area of the property is 51 m2, it is located on the first floor with a street view.- DIVIDED INTO TWO FULL VALUES APARTMENTS WITH 2 BATHROOMS.- Energy-saving Austrian infrared panels provide warm- Spot lights and mood lighting are located in each room- Hot water is provided by a large 100 liter Ariston boiler- New plastic doors and windows have been installed together with shutters- Security locked door- Inverter Duo climate ensures a pleasant atmosphere in both parts of the apartment- The apartment has a water meter- Quality upholstery, showrooms and custom-built sprinklers with shower enclosures- 2 fully equipped kitchens- Thanks to the interior design toolbox, a sophisticated, modern and comfortable interior has been created in the apartments.The common cost together with the renovation fund is HUF 13,821 / monthThe house has two floors and in 2019 won a planting tender. The first phase of the electrical renovation has taken place in the building, and a tender has also been won for the second phase. In 2020, the doorway and the ladder house were renovated. The building is in an advanced condition and is gradually being beautified thanks to continuous renovations.The area is popular with tourists in the environment that offers numerous entertainment opportunities in the BULINEGYED. All kined of transport are within easy reach of the property.The prise for the property is (with all furnitures and equipments) 59,990,000 HUF","felújított","nincs megadva","duplakomfortos","nincs megadva","1","2","nincs","nincs megadva","elektromos","van","nincs megadva","nincs megadva","külön és egyben is","nincs megadva","utcai","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
