"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Parkolóhely ára","Panelprogram"
"1","XII. kerület, Istenhegy","134,9 millió Ft","95 m²","4","A XII. kerület Orbán-hegyen, a Bartha utcában egy szépen karbantartott kis lakó közösségu 1930 körül épült villaépület tetoterében ( klimatizált ) nettó 95 nm DE bruttó 157 nm alapterületu 1+3 félszobás hatalmas terasszal ( 15 nm ) rendelkezo tetotéri lakás eladó. Jelenlegi tulajdonosa újította fel a lakást saját igényére alakítva így Loxone okos otthon vezérli a világítást és a futést, valamint a magasan lévo Velux ablakokat egyaránt, melyek a biztosítják a lakás egész napos világosságát.Az eredetileg keckeméthi Bornemisza Géza Péter-nek ( a 30-as években több kormánynak is minisztere volt ) épült villa tetotere 1986-ban került beépítésre. Az utolsó felújítást teljesköruen a jelenlegi tulajdonos végezte 6 évvel ezelott és mindenre kiterjedt a felújítás.A tetotér ellenére a lakás nappali és konyha része egyes helyeken közel 4-6 m belmagassággal rendelkezik.A lakás berendezése és az alapanyagok mely az ajánlat részét képezik, mind kiváló minoséguek. A beépített bútorok minden helyiségben fából készültek. A padló mindenhol hajópadlóval van burkolva, kivéve a fürdoszoba, a folyosó és az egyik hálószoba. A lakáshoz tartozik egy 42 nm-es, kétállásos garázs, mely kötelezoen megvásárolandó, ára: 8 mFt. A garázsban jelenleg 2 autó, 2 motor és számos polc van.További részletekért hívjon bizalommal!Egyedi igényekre szabott lakáshitelekkel állunk rendelkezésére. Bankfüggetlen hitelcentrumunk az országban elérheto összes bank és hitelintézet ajánlatát versenyezteti az Ön számára díjmentesen. Munkatársaink nagy szakmai tapasztalattal várják Önt az elore egyeztetett idopontban akár a normál munkaido után is.","jó állapotú","1950 elott","nincs megadva","nincs megadva","2","nincs megadva","nincs megadva","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","kelet","kertre néz","13 m²","nincs megadva","tetotéri","nincs megadva",NA,NA
"2","XI. kerület, Madárhegy","121 millió Ft","112 m²","4","A 11. kerületben Madárhegyen még nem lakott , 4 szobás ingatlan121 nm. Nappali+amerikai konyha, 3 hálószoba , hatalmas  L alakú terasz jellemzi az ingatlant.Az 1. emeleti lakás DK-i tájolású, azonnal költözheto, tehermentes.A futés és a hutés Daikin tipusú geotermikus, padló és mennyezeti futés.A szobák egyénileg temperálhatók.A lakás használatba vételi engedélye megvan, albetétesítése folyamatban.Az ingatlanhoz tartozik egy tároló (10nm), egy külszini és egy teremgarázs beálló.Ezek megvásárlása kötelezo, összesen 5 millió Ft.-.","nincs megadva","2019","nincs megadva","nincs megadva","1","nincs megadva","nincs megadva","3 m-nél alacsonyabb","egyéb","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délkelet","utcai","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"3","VI. kerület, Rippl-Rónai utca","80 millió Ft","99 m²","3 + 1 fél","INGATLANOSOK KÉREM NE KERESSENEK! (Belvárosi lakást állapottól függetlenül beszámítok.)Közvetlenül a tulajdonostól eladó, egy mindenre kiterjedo felújításon átesett, napfényes, világos, erkélyes, kituno lokációval rendelkezo lakás,  3 perc az Andrássy, a Hosök tere és a Városliget is. 3 nagy méretu szoba (26-19-17nm2), külön konyha spejzzel, konyhából nyíló félszoba (6,5nm), wc-s fürdo, külön wc-s elrendezéssel. Az ablakok egy romantikus gondozott kertre néznek, így az kifejezetten csendes, madárcsicsergos. A teljes villanyhálózat, csatorna, víz hálózat új! A hidegburkolat alatt, távolról vezérelheto padló futés, a szobákban csúcskategóriás Adax okos panelek, a konyha teljesen gépesített, minden gép Bosch és Electrolux, valamint a meleg vizet egy szupertakarékos Ariston készülék látja el. A lakás nagyon alacsony rezsiju. A nyilászárók szigeteltek, ho-és hangszigetelo távirányítható alumminium redonnyel szereltek, a szobák duplaszárnyú nagyméretu ajtóval rendelkeznek. A gardrób és a rejtett fényero szabályzós led világítás, beépített és egyéb világítások benne vannak az árban. Önnek a magas minoségi felújításnak köszönhetoen a következo jó pár évtizedben biztosan nem lesz semmire gondja! Kimondottan kulturált és csendes lakóközösség van a házban. Az ingatlan tehermentes, azonnal költözheto, 1/1 tulajdonú.Az utcában kis és nagy közért, pékség, zöldséges, hentes, fagyizó, étterem és orvosi rendelo. A szomszédos utcákban óvoda és iskolák, edzotermek. A háztól 100 méterre orzött parkoló és még a tömegközlekedés is kituno. Hétvégén is kereshet! :)","felújított","nincs megadva","luxus","nincs megadva","1","4","van","3 m-nél magasabb","padlófutés","nincs megadva","8,5 E Ft/hó","nincs megadva","külön és egyben is","nyugat","utcai","4 m²","igen","nem tetotéri","nincs megadva",NA,NA
"4","Siófok, Somogy megye","49,8 millió Ft","62 m²","3","ELADÓ PANORÁMÁS ÚJ LAKÁS - SIÓFOK, FOKI-HEGY!Siófok közkedvelt városrészén, a Foki-hegy lábánál ajánlom a figyelmébe ezt a panorámával rendelkezo új építésu, szint ráépítéssel kialakított társasházi lakást. A három emeletes masszív épület a kivitelezés során kívülrol, valamint a lépcsoház teljes egészében megújul, korszeru és modern hoszigetelést kap. A lakáshoz nyugati tájolású, nagy méretu teraszok tartoznak, amik Balatoni/Tihanyi örök panorámával rendelkeznek.     Elonyök: gépkocsi tárolás az épület udvarában, kavicsos parkolóban lehetséges, nyugodt és összetartó, családias lakóközösség, a szabad strand gyalogosan 10 perc.A lakások egyedi futéssel, kondenzációs gázkazánokkal, radiátorral és padlófutéssel kerülnek kialakításra, mindenkinek külön méroórával. Az árak tartalmazzák a burkolatokat és festést, villanyszerelést, szerelvényezését. Továbbá van lehetoség a megadott árszintig, saját igények kialakítására is.További jellemzok:Prémium minoségu, 3 rétegu üvegezésu nyílászárók lesznek beépítve.30 cm hoszigetelés a tetotérben, homlokzaton 15 cm hoszigetelo rendszer, továbbá a lakások közötti ho és hangszigetelés. A lakásokhoz tartozik egy saját tetotéri rész, ahol opcionálisan kialakítható tároló vagy akár plusz szoba is, igény szerint.A lakások beosztása, kialakítás maximálisan megfelel a kor igényeinek, viszont igény szerint akár még jobban testre szabható.Fizetési ütemezés: szerzodéskötéskor 30 %, melybol 10% a foglaló, vázszerkezet elkészültekkor 30%, emelt szerkezetkor 30%, átadáskor 10%./egyénileg módosítható/Amennyiben felkeltette az érdeklodését és szívesen megnézné, akkor kérem keressen bizalommal, akár hétvégén is! M182317 49800000 FtReferencia szám: M182317","nincs megadva","2020","összkomfortos","nincs megadva","4","nincs megadva","nincs","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","panorámás","9 m²","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"5","Siófok, Somogy megye","54,95 millió Ft","61 m²","1 + 2 fél","Eladásra kínálunk Siófok Belvárosban a városközponttól és a vízparttól 800 méterre, 2 lifttel rendelkezo társasházban újépítésu lakásokat. A 3 emeletes épületben 21 lakás épül, változatos alaprajzi kialakítással, nappali + 1 vagy 2 hálóval. A lakások egyedi gázcirkó futéssel rendelkeznek. Az épület földszintjén fedett kocsibeállók, valamint tárolók kerülnek kialakításra. Az udvaron felszíni parkolók kapnak helyet. Bovebb információért, a szabad lakások jegyzékéért keressen telefonon!  M169387 54950000 FtReferencia szám: M169387","nincs megadva","2020","összkomfortos","nincs megadva","1","nincs megadva","van","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","utcai","3 m²","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"6","Siófok, Somogy megye","48,8 millió Ft","67 m²","3","ELADÓ PANORÁMÁS ÚJ LAKÁS - SIÓFOK, FOKI-HEGY!Siófok közkedvelt városrészén, a Foki-hegy lábánál ajánlom a figyelmébe ezt a panorámával rendelkezo új építésu, szint ráépítéssel kialakított társasházi lakást. A három emeletes masszív épület a kivitelezés során kívülrol, valamint a lépcsoház teljes egészében megújul, korszeru és modern hoszigetelést kap. A lakáshoz nyugati tájolású, nagy méretu teraszok tartoznak, amik Balatoni/Tihanyi örök panorámával rendelkeznek.     Elonyök: gépkocsi tárolás az épület udvarában, kavicsos parkolóban lehetséges, nyugodt és összetartó, családias lakóközösség, a szabad strand gyalogosan 10 perc.A lakások egyedi futéssel, kondenzációs gázkazánokkal, radiátorral és padlófutéssel kerülnek kialakításra, mindenkinek külön méroórával. Az árak tartalmazzák a burkolatokat és festést, villanyszerelést, szerelvényezését. Továbbá van lehetoség a megadott árszintig, saját igények kialakítására is.További jellemzok:Prémium minoségu, 3 rétegu üvegezésu nyílászárók lesznek beépítve.30 cm hoszigetelés a tetotérben, homlokzaton 15 cm hoszigetelo rendszer, továbbá a lakások közötti ho és hangszigetelés. A lakásokhoz tartozik egy saját tetotéri rész, ahol opcionálisan kialakítható tároló vagy akár plusz szoba is, igény szerint.A lakások beosztása, kialakítás maximálisan megfelel a kor igényeinek, viszont igény szerint akár még jobban testre szabható.Fizetési ütemezés: szerzodéskötéskor 30 %, melybol 10% a foglaló, vázszerkezet elkészültekkor 30%, emelt szerkezetkor 30%, átadáskor 10%./egyénileg módosítható/Amennyiben felkeltette az érdeklodését és szívesen megnézné, akkor kérem keressen bizalommal, akár hétvégén is! M182320 48800000 FtReferencia szám: M182320","nincs megadva","2020","összkomfortos","nincs megadva","4","nincs megadva","nincs","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","panorámás","11 m²","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"7","Harkány, Baranya megye","5,5 millió Ft","18 m²","1","Harkány kedvelt üdülo övezetben eladó egy 18 m2- es garzon lakás.Az ingatlan az elso emeleten található,felújítást igényel. Az épület rendezett, gondnoki felügyelet alatt áll. Zárt udvari parkolási lehetoség adott. Strand 700m van, kellemes sétával megközelítheto. Ha az apartman felkeltette érdeklodését, kérdése van Hívjon!Referencia szám: LK065388","felújítandó","1950 és 1980 között","nincs megadva","nincs megadva","1","nincs megadva","nincs megadva","nincs megadva","egyéb","nincs megadva","nincs megadva","nincs megadva","nincs megadva","dél","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"8","Szeged, Londoni körút","14,9 millió Ft","24 m²","1","Szeged Belváros és Móraváros határán, népszeru helyen, az Árkád közelében, egyetemektol pár percre, jó állapotú, néhány lakásos polgári társasház elso emeletén, 24 nm-es, mindössze 1,82 méter szélességu, viszont két oldalra is, ablakokkal rendelkezo (új, muanyag nyílászárók), kiválóan kiadható, kedvezo rezsiju téglagarzon eladó. Az ár nem irányár. A társasháznak tágas, zöld udvara van. A lakáshoz saját tároló is tartozik.","jó állapotú","1950 elott","összkomfortos","nincs megadva","1","3","nincs","3 m-nél alacsonyabb","gáz (konvektor)","nincs","nincs megadva","nem","egy helyiségben","nyugat","utcai","nincs megadva","nincs megadva","nincs megadva","utca, közterület - ingyenes",NA,NA
"9","VII. kerület, Dohány utca 66.","31,5 millió Ft","30 m²","1","Teljesen felújított, 3. emeleti (lift nélküli, de nagyon jól karban tartott, biztonságos, 3 emeletes házban),  körfolyosóra nézo, nagyon csendes és világos (dél-nyugatra nézo ablakok), nagy belmagasságú, galériázott (30 m2 alapterület, plusz 4 m2 nyitott galéria lakás eladó.A lakás teljesen berendezett és bútorozott (tv, klíma, teljesen felszerelt konyha, mosógéppel). Futés inverteres klíma és elektromos radiátor.Ingatlanosok kérem ne hívjanak, családon belül megoldott:))","felújított","1950 elott","összkomfortos","nincs megadva","3","3","nincs","3 m-nél magasabb","mennyezeti hutés-futés","van","28 E Ft/hó","nem","egy helyiségben","délnyugat","udvari","nincs megadva","nem","nem tetotéri","utca, közterület - fizetos övezet",NA,NA
"10","II. kerület, Szász Károly utca","99 millió Ft","116 m²","4","NÍVÓSAN FELÚJÍTOTT, CSENDES, NAPFÉNYES LAKÁS A MECHWART LIGETNÉL!II. Szász Károly utcában kínáljuk megvételre ezt az 1. emeleti, 3+1 szobás, duplakomfortos, 1 éve magas színvonalon és igényesen felújított, tágas, világos lakást, jól karban tartott liftes házban.A meleget cirkó (hideg burkolatú helyiségekben padlófutés) biztosítja, klíma és riasztó is ki van építve. A lakás valamennyi szobája külön nyíló, 2 fürdoszobával, s külön mosó-szárító helyiséggel rendelkezik.Igazi kuriózum! Ha exkluzív kialakítású, de meleg hangulatú polgári lakást keres csendes utcában, remek közlekedés és infrastruktúra mellett, akkor jöjjön el és tekintse meg mielobb ezt az ingatlant!","felújított","1950 elott","nincs megadva","nincs megadva","1","nincs megadva","van","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délnyugat","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,NA
