"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Parkolóhely ára","Panelprogram"
"1","VII. kerület, Munkás utca","22,49 millió Ft","26 m²","1","VII. kerületi, Rózsák tere közelében elhelyezkedo lakásunkat eladásra kínáljuk!A lakás 26m2, nagy belmagasságú, egy szobás, állógalériás. Egy három emeletes ház földszintjén tágas belso udvar irányába helyezkedik el.Az ingatlan az utóbbi hónapokban felújításon esett át, mely során:* a teljes villanyhálózat felújításra került (Schneider kapcsolókkal, elosztókkal)* új kültéri nyílászárók kerültek beépítésre* új vízóra került beszerelésre* a belso terek jelentos része új, letisztult színvilágú festést, illetve burkolatokat (csempe, parketta) kapott annak érdekében, hogy új tulajdonosának már csak az ízlésének megfelelo berendezéssel kelljen foglakoznia!A lakás teher- és permentes, azonnal költözheto.A környék infrastruktúrája kiváló, a lakás egy csendes, egyirányú utcában helyezkedik el, a Rózsák tere szomszédságában melytol egy saroknyira található az alábbi buszok megállója: 5, 7, 110, 112, 178. A Keleti Pályaudvar 3 perc sétányira van, ahonnan több busz, troli illetve metrójárat is elérheto.A közelben számos bevásárlási lehetoség (Spar, Lidl, Aréna Pláza) és kulturális program (Erkel Színház, Pesti Magyar Színház) biztosított.Közös költség: 12.000.-***INGATLANKÖZVETÍTOK KÉREM NE KERESSENEK!***","felújított","1950 és 1980 között","összkomfortos","nincs megadva","földszint","3","nincs megadva","3 m-nél magasabb","gáz (konvektor)","nincs megadva","12 E Ft/hó","nincs megadva","egy helyiségben","nincs megadva","udvari","nincs megadva","nincs megadva","nem tetotéri","utca, közterület",NA,NA
"2","VIII. kerület, Lujza utca","20,5 millió Ft","25 m²","1","Teljes köruen felújított világos kompakt kis lakás  káddal, hálófülkével, rendezett társasházban várja új tulajdonosát","felújított","1950 elott","nincs megadva","nincs megadva","földszint","3","nincs","3 m-nél magasabb","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","egy helyiségben","nincs megadva","udvari","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"3","VI. kerület, Jókai utca","125 millió Ft","128 m²","4 + 1 fél","INGATLANKÖZVETÍTOK SEGÍTSÉGÉT SEMMILYEN FORMÁBAN NEM KÉRNÉM! Tulajdonostól eladó egy 1800-as évek végén épült lakóház 4. emeletén lévo nagypolgári lakás. Elhelyezkedését tekintve abszolút központi helyen (metro, nyugati pu. 1 perc séta), de az utca és a magas emelet miatt mégis csendes. Három nagyméretu szobával rendelkezik, melyek akár egybenyithatók. Ezen kívül egy nagyméretu eloszoba/étkezo, fürdoszoba, külön wc, konyha, kamra és egy félszoba tartozik hozzá. A szobák utcára, a félszoba a belso udvarra néz. Az utca másik oldalán lévo házak alacsonyabbak, így a lakás mindig világos. Minden helyiség ablakos. A belmagasság 4m. Körülbelül 15 éve volt felújítva, ekkor került sor a villamos vezetékek illetve a nyílászárók cseréjére is. Futése gázkazánnal, illetve radiátorokkal megoldott. Az eloszoba és a konyha burkolata fehér márvány, a szobáké parketta, a félszobáé hajópadló. Az ajtón biztonsági rács, riasztó és távfelügyelet van. Ahogyan a képeken látszik, teljesen üres, tehermentes, akár azonnal költözheto.","jó állapotú","1950 elott","összkomfortos","nincs megadva","4","5","van","3 m-nél magasabb","gáz (cirko)","van","nincs megadva","nem","külön és egyben is","nincs megadva","utcai","nincs megadva","nem","nem tetotéri","utca, közterület - fizetos övezet",NA,NA
"4","Budakalász, Omszk park","41,9 millió Ft","63 m²","1 + 2 fél","Eladásra kínáljuk 63 m2-es szeretett otthonunkat Budakalászon, jó megközelíthetoséggel a foúton (HÉV megálló 8 perc séta, közelben iskola, óvoda, posta, gyógyszertár, Auchan, Omszki-tó).Budakalász egy folyamatosan  fejlodo település, idén készül el az új iskola, lesz elkerülo út Pomáz felé, a HÉV közelségének köszönhetoen tömegközlekedéssel is pillanatok alatt a belvárosban lehet az ember! Távol a város zajától és zsúfoltságától, de mégis elérheto közelségben minden!Egy nagy 3 szintes családi ház középso szintjén helyezkedik el a lakás. A forgalom zajától mentes, az utcafronttól védettebben, beljebb áll a ház. A lakás nagyon kényelmes, tágas, napfényes, körbe ablakos. Az évek során igényesen, teljes köruen fel lett újítva.Az elektromos vezetékek ki lettek cserélve, minden helységben kábelcsatornákba lettek behúzva.2010-ben lett beüzemelve az új kondenzációs cirko kazán, új radiátorok lettek felszerelve, le lett burkolva az ülokádas fürdoszoba.A konyha indukciós fozolappal és villanysütovel van felszerelve, ezek a vételár részét képezik. Jelenlegi formájában szeparáltan van a nappalitól, de könnyen visszaalakítható amerikai konyhás nappalivá, ha arra van igény!Az étkezo-nappaliban és a dolgozó helységekben laminált burkolat lett lerakva, a hálóban szintén laminált padló van, rajta padlószonyeggel, benne egy egyedileg épített magasított ággyal, ami alatt nagy tárolóhely van, sok mindent elnyel.2018-ban lett kicserélve az összes ablak (a fürdo kivételével) korszeru thermo üveges, muanyag ablakokra, melyek szúnyoghálóval, és szellozovel felszereltek, a nyugati oldalon redonnyel is.2019-ben egy prémium kategóriás Panasonic klíma került beszerelésre, mely hutésre és futésre is alkalmas, ez egész lakásban kellemes homérsékletet teremt igény szerint!Tavaly tavasszal lett kialakítva a korábbi eloszoba helyén egy plusz dolgozó kuckó, mely külso szigetelést kapott, és ekkor lett beépítve az új biztonsági bejárati ajtó is!A lakás kiválóan alkalmas pároknak, vagy kisebb családnak is, illetve otthoni munkavégzésre is megfelelo akár 2 fonek is külön helységben, nyugalomban!Az ingatlanhoz tartozik egy 8m2-es burkolt, jó állapotú pince is és egy pici közös kert.Bármilyen felmerülo kérdésre szívesen válaszolok, a lakás egyeztetést követoen bármikor megtekintheto!Ingatlanközvetítok szépen kérem, ne keressenek!","felújított","1981 és 2000 között","összkomfortos","nincs megadva","nincs megadva","3","nincs megadva","3 m-nél alacsonyabb","gázkazán","van","nincs megadva","nincs megadva","egy helyiségben","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","utca, közterület",NA,NA
"5","IX. kerület, Ráday utca 14.","56,9 millió Ft","60 m²","2","Tulajdonostól eladó - Ingatlanos NE KERESSEN! A Ráday sétáló utca Kálvin térhez közeli részén, felújított liftes ház 4.emeletének napos, jó állapotú, klimatizált lakása eladó. Papíron 58 m2,  nem papíron cirka 62 m2.  Nappali, háló, fürdoszoba, külön wc, konyha- étkezo, kamra helyiségek. Saroklakás, a körfolyosó a bejárati ajtóig tart, így ezen a részen senki nem mászkál. Minden helyiség ablakos.Villany és víz vezetékek felújítva, egy éve lett újrafestve minden helyiség. A Bejárati ajtó acéltokos biztonsági ajtó és a szükséges ablakok is cserélve. A lakásban cirkófutes van zárt égésteru Viessmann kazánnal ami a melegvizet is szolgáltatja. Minden közmu méroórával van ellátva. A házban optikai telekom hálózat kiépítés van. A lakás központi elhelyezkedésu. Egyetemek, Vásárcsarnok, Orvosi rendelok, éttermek pár lépésre. Metrók, villamosok 3 percre. A ház csendes, a szomszédok korrektek. Javaslom diákoknak, fiatal pároknak. Balatoni északi parti ház ( akár ráfizetéssel) , Velencei, Sukorói ház csere akár ráfizetéssel érdekel.KIEMELEM, mert úgy tunik nem nagyon sikerül értelmezni- INGATLANOSOK NE HÍVJANAK, NE ÍRJANAK. Köszönöm.A lakás kizárólag maszkban tekintheto meg.","felújított","1950 elott","összkomfortos","nincs megadva","4","5","van","3 m-nél magasabb","gáz (cirko)","van","nincs megadva","nem","külön helyiségben","nincs megadva","udvari","nincs megadva","nem","legfelso emelet, nem tetotéri","utca, közterület",NA,NA
"6","IX. kerület, Ráday utca 14.","160,76 ezer €","60 m²","2","Tulajdonostól eladó - Ingatlanos NE KERESSEN! A Ráday sétáló utca Kálvin térhez közeli részén, felújított liftes ház 4.emeletének napos, jó állapotú, klimatizált lakása eladó. Papíron 58 m2,  nem papíron cirka 62 m2.  Nappali, háló, fürdoszoba, külön wc, konyha- étkezo, kamra helyiségek. Saroklakás, a körfolyosó a bejárati ajtóig tart, így ezen a részen senki nem mászkál. Minden helyiség ablakos.Villany és víz vezetékek felújítva, egy éve lett újrafestve minden helyiség. A Bejárati ajtó acéltokos biztonsági ajtó és a szükséges ablakok is cserélve. A lakásban cirkófutes van zárt égésteru Viessmann kazánnal ami a melegvizet is szolgáltatja. Minden közmu méroórával van ellátva. A házban optikai telekom hálózat kiépítés van. A lakás központi elhelyezkedésu. Egyetemek, Vásárcsarnok, Orvosi rendelok, éttermek pár lépésre. Metrók, villamosok 3 percre. A ház csendes, a szomszédok korrektek. Javaslom diákoknak, fiatal pároknak. Balatoni északi parti ház ( akár ráfizetéssel) , Velencei, Sukorói ház csere akár ráfizetéssel érdekel.KIEMELEM, mert úgy tunik nem nagyon sikerül értelmezni- INGATLANOSOK NE HÍVJANAK, NE ÍRJANAK. Köszönöm.A lakás kizárólag maszkban tekintheto meg.","felújított","1950 elott","összkomfortos","nincs megadva","4","5","van","3 m-nél magasabb","gáz (cirko)","van","nincs megadva","nem","külön helyiségben","nincs megadva","udvari","nincs megadva","nem","legfelso emelet, nem tetotéri","utca, közterület",NA,NA
"7","III. kerület, Nánási út","89,5 millió Ft","61 m²","2 + 1 fél","ELADÓ EGY EGYEDI KIALAKÍTÁSÚ LUXUSLAKÁS,HATALMAS TERASSZAL,MEDENCÉRE NÉZO KILÁTÁSSAL, GARÁZZSAL,TÁROLÓVAL A RÓMAI PART SZÍVÉBEN!A lakás a Római Wellnes Otthon 2 lakóparkban található: elso emeleti, egyedi belsoépítészeti megoldásokkal rendelkezik.61 nm alapterületu és tartozik hozzá egy medencére nézo, gyönyöru 22 nm-es terasz.A lakás felosztása: hálószoba, klímával felszerelt nappali, dolgozószoba, kádas fürdoszoba, wc, és egy felszerelt, gépesített, minden igényt kiszolgáló amerikai stílusú konyha.Számos beépített szekrény található benne, valamint a konyhában beépített konyhabútor, mosogatógép, villanytuzhely, mikrohullámú süto, fozolap, szagelszívó és huto található.Közös ktg. 36.000 Ft/hóAmi külön fizetendo: ELMU,vízdíj, és a gáz mind-mind fogyasztás alapon történik.A futés cirkóval muködik, ami könnyedén és egyszeruen szabályozható, így akár csökkenteni is lehet a költségeket.Füstjelzo van felszerelve a lakásban.A lakópark egyedisége, hogy számos luxusszolgáltatással várja az újdonsült lakóit: 24 órás portaszolgálat, kamerarendszer, közös használatú medence a kertben, szauna, grillezési lehetoség, strandröplabda pálya. A konditerem gépekkel felszerelt, és a lakóközösségnek köszönhetoen kedvezményes közös órák is igénybe vehetoek.A kert végénél található zárt ajtó közvetlen átjárást biztosít Buda leggyönyörubb és legimpozánsabb partjára, a Római partra, mely számos fantasztikus programot kínál.  Lehetoség nyílik biciklizésre, sétára, kajakozásra, és a felülmúlhatatlan hekk kipróbálásra.A lakáshoz tartozik egy 6nm-es tároló és egy hely a mélygarázsban,melyek kötelezoen megvásárolandóak. Mindösszesen + 10,5 millió Ft-ért. Különösen nagy érték ez a parkolási lehetoség, eladó helyet csak nagy ritkán lehet találni.A ház elott sorompóval felszerelt felszíni parkoló található az ott lakók illetve vendégeik részére.A lakópark végig körbekerített és egy nagyon jól felszerelt játszótér is a lakók rendelkezésére áll, így a gyerekek biztonságosan játszhatnak.A közlekedés kimondottan jó, a ház könnyen megközelítheto mind autóval, mind tömegközlekedéssel.   A 106-os busz megállója pontosan a házzal szemben van, amivel könnyedén és gyorsan elérheto az Árpád-híd, valamint a HÉV, és a BKV hajó is rendelkezésre áll. Autóval pedig az M0-ás autópálya pár percnyi távolságra van.A közelben orvosi rendelo, bolt, étterem, cukrászda, és a Római-part összes szolgáltatása várja a leendo lakókat.","újszeru","2001 és 2010 között","luxus","nincs megadva","1","4","van","nincs megadva","gáz (cirko)","van","nincs megadva","igen","külön helyiségben","nincs megadva","kertre néz","22 m²","nem","nem tetotéri","utca, közterület - ingyenes",NA,NA
"8","XIII. kerület, Csata utca 30.","71,9 millió Ft","68 m²","3","Minoségi luxus lakás még a banki kamatemelések elott! 2020-ban átadott, 1+2 szobás, nagy erkélyes, gyönyöruen kivitelezett, nagyon igényesen berendezett új lakás eladó, a hozzá tartozó bútorokkal, gépesítéssel együtt. D-Ny-i fekvés, BB energetikai besorolás.Magánszemélyként megvételre kínálom elso emeleti, belso udvarra nézo 63 nm-es, 1+2 szobás, 10 m2-es erkéllyel rendelkezo, világos és nagyon élheto terekkel rendelkezo lakásomat, igény szerint a hozzá tartozó nagyméretu teremgarázs beállóval (vételáron felül 5 Mft) együtt.Lakás területi adatai:Elotér: 6 m²Konyha: 8 m²Nappali: 17 m² Szoba1: 10 m²Szoba2: 10 m²Közlekedo: 4 m²Fürdo: 3,5 m²WC: 2,5 m²Tároló: 2 m²Erkély: 10 m²A liftes társasház Angyalföld centrumában, közel a Lehel és Béke térhez épült fel Budapest legdinamikusabban fejlodo kerületében, a XIII. kerületben azoknak, akik értékelik a belváros közelségét, a jó közlekedést, és a környék kiváló infrastruktúráját. Spar, Lidl, Rossmann, gyógyszertár, óvoda, iskola, Lehel téri piac, WestEnd City Center, Fáy Oxygen Wellness pár perc alatt elérheto. Az aktív kikapcsolódásra vágyóknak a Béke téri park, az Országbíró sétány, a Városliget vagy a Margit-sziget szintén. A környék tömegközlekedése kiváló, 2 perc sétára található a 14-es villamos és a 105-ös, a 178-as és az éjszakai 914-es autóbusz megállója, 5 perc sétával elérheto az 1-es villamos, a 32-es, a 20-as és a 30-as autóbusz.A lakás nagyon jó minoségben, igényesen kivitelezett és kialakított, teljesen új és minoségi bútorzattal, garanciális gépesítéssel (Gree Dark X klíma, Samsung no frost huto, Grundig mosogatógép, elektromos fozolap, Whirlpool 6th sense süto, mikró, 2 000 Mbit/s internet elofizetéssel, antracit színu redonyökkel) rendelkezik. A vételár a 4,5 mft értéku konyhabútort, a teljes gépesítést és megegyezés szerint a többi bútorzatot is tartalmazza, tehát csak be kell költözni. A lakóközösség javarészt fiatalokból, valamint kiscsaládosokból áll. A rezsi, közös költség alacsony, minden fogyasztás egyedi mérok alapján számított. A képek tökéletesen és huen tükrözik a lakás jelenlegi állapotát. Komoly szándék esetén hívjanak bizalommal. Ingatlanosok ne keressenek.","újszeru","2020","nincs megadva","nincs megadva","1","5","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","van","25 E Ft/hó","nincs megadva","külön helyiségben","nincs megadva","udvari","10 m²","nincs megadva","nem tetotéri","teremgarázs hely - megvásárolható","5 000 000 Ft",NA
"9","XXII. kerület, Nagytétényi út","43 millió Ft","63 m²","1 + 2 fél","A XXII. kerületben Nagytétényben eladó egy 10 emeletes házban egy 6. emeleti 3 szobás lakás. Az ingatlan 5 éve teljesköru felújításon esett át. Az elektromos vezetékeket kicseréltük, az ablakokat muanyag nyílászárókra cseréltük, mindegyik redonnyel felszerelt. A lakás tereit ahol lehetett egybe nyitottuk, az eloszoba, a konyha és a nappali egy térben található, egy zárt folyosóról további két különálló szoba nyílik. A fürdoszoba és a WC külön helyiségben található. A lakásban a tárolást segíti egy különálló kamra, és a beépített szekrénysor. A lakáshoz tartozik egy kb. 4 m2-es erkély. Kiváló állapotban megorzött, lakható, tiszta, rendezett. A ház saját parkolóval rendelkezik, a környéken tömegközlekedés jár, a 6-os út és az M0-s autóút perceken belül.Ingatlanosok ne keressenek!","felújított","1981 és 2000 között","összkomfortos","nincs megadva","6","10","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","van","38 E Ft/hó","nincs megadva","külön helyiségben","nincs megadva","utcai","4 m²","nincs megadva",NA,"utca, közterület - ingyenes",NA,NA
"10","Tököl, Duna utca 10.","35 millió Ft","107 m²","5","3. emeleti (tetotéri) belso két szintes, 5 szobás (4 külön hálószoba), 2 erkélyes lakás. A lakás világos, tágas, a tényleges alapterülete 117 m2. 2021. novembertol beköltözheto.INGATLANKÖZVETÍTOK NE HÍVJANAK! (kérem tiszteletben tartani a kérésemet)","jó állapotú","2001 és 2010 között","összkomfortos","C","3","3","nincs","nincs megadva","gáz (cirko)","nincs megadva","30 E Ft/hó","nincs megadva","nincs megadva","nincs megadva","utcai","8 m²","nincs megadva","tetotéri","utca, közterület - ingyenes",NA,NA
