"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Parkolóhely ára","Panelprogram"
"1","XIII. kerület, Újlipótváros","48,4 millió Ft","69 m²","3","Eladó 13.kerület Újlipótvárosban 2.emeleti 69 m2-s, néhány éve teljes köruen felújított, 3 különnyíló szobássá alakított lakás, ami a társasház belso, csendes lépcsoházából nyílik. Ablakai nem a körfolyosóra, nem is az utcára, hanem egy kellemes belso udvarra néznek. A felújítás során az összes vezetékeket kicserélték, modern, fiatalos burkolatok és beépített szekrények teszik komfortossá az ingatlant. Az eredeti állapot könnyedén visszaalakítható. A 3,65 m-es belmagasság galéria kialakítását is lehetové tette, ezáltal +7 nm-rel bovült az egyébként is tágas lakás. A lakáshoz saját zárható pince tartozik. A társasházban az elmúlt években kicserélték a bejövo gáz és villamos vezetékeket, és a teljes tetoszerkezetet, továbbiakban esztétikai korszerusítéseket terveznek!Sétatávolságra 76-s troli, 3-s metró, körúti villamosok, bevásárlási lehetoség (WestEnd), Szent István Park, Duna part, számtalan szórakozási lehetoség. Családosoknak vagy befektetésnek is ideális!Tervezhetoen költözheto, rugalmasan megtekintheto! Hívjon fel még ma!","jó állapotú","1950 elott","nincs megadva","nincs megadva","2","nincs megadva","van","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nyugat","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"2","V. kerület, Kossuth Lajos tér 13.","99,99 millió Ft","73 m²","2 + 1 fél","Eladásra kínálok, egy, a belso tereit tekintve gyönyöru kivitelezésu házban található, belso udvari, földszinti, 73 m2 alapterületu, tégla építésu lakást a Kossuth tér 13-15 szám alatt.A képeken érzékelheto, hogy az ingatlan belso terei, a bejárati kapu, az aula, a lépcsok, a belso díszítések mesterien lettek kidolgozva. Felemelo érzés lehet ebbe az ingatlanba hazatérni és ebben most semmi túlzás nincs.Az ingatlan megvásárlása mellett szólhat még a helyszín is, hiszen a Kossuth téren lakni, sokak számára lehet egy fajta különleges eszencia. Amikor a lakcím kártyán, lakóhelyként a Kossuth tér van megadva...én nagyon bírnám.Az ingatlan maga is szolgál kellemes meglepetésekkel, gondolok itt például az alacsony rezsiköltségekre. A közös költség mindössze 30 000 Ft, ami önmagában nem tunik kevésnek, de ebben az összegben a teljes vízfogyasztás, futés és melegvíz szolgáltatás valamint a lift és szemétszállítás költsége is benne van. Ezen kívül csupán az elektromos áramért kell külön fizetni.A benne lévo bútorzat a vételár részét képezi. Az ingatlan, némi, foként esztétikai felújítást követoen, azonnal birtokba veheto.A közlekedésre nem lehet panasz, a ház elott megy el a 2-es villamos, melynek útvonalát, 2012-ben, 7. helyen választották be a világ legszebb vasútvonalai közé.Még egy dolog, amikor lezárják a Kossuth teret egy rendezvény vagy felvonulás miatt...a lakókat akkor is beengedik.Tehát bármit megnézhet a tulajdonos, ha érdeklik az események.Summa summárum tehát, ez az ingatlan, igazi ritkaság a mai ingatlanpiacon. Csak nehogy lemaradjon róla. Hívjon még ma!Az ingatlan, kizárólag az én kínálatomban található meg, még a tulajdonos sem hírdeti, és mivel minden út Rómába vezet... Jelenlegi és leendo ügyfeleinknek, teljesen díjmentes hitelügyintézést valamint ingatlan vásárlás-bérbe adás elotti, díjmentes, elozetes ügyvédi tanácsadást kínálunk.Ezen kívül energetikai tanúsítás elkészítését is rövid határidovel vállaljuk.Ingatlannal kapcsolatos kérdésekben bármikor, hangsúlyozom, bármikor hívhat.(További kínálatunkat keresse a VING hivatalos weboldalán.) \n","jó állapotú","1950 elott","összkomfortos","nincs megadva","földszint","5","van","3 m-nél magasabb","házközponti egyedi méréssel","nincs","nincs megadva","nincs megadva","külön helyiségben","északnyugat","udvari","nincs megadva","nem","nincs megadva","utca, közterület - fizetos övezet",NA,NA
"3","XIII. kerület, Futár utca","35,9 millió Ft","56 m²","2","ELADÓ a 13 kerületben, Futár utcában egy 56 nm-es, két külön nyíló szobás jó állapotú, házközponti futéssel rendelkezo, TEHERMENTES, csendes, földszinti lakás. A lakás elrendezése kiváló, minden helyiség külön nyílik és az eloszobából közelítheto meg. A szobák parkettával, a többi helyiség járólappal fedett, a konyha ablakos, a zuhanyzós fürdo és a mellékhelyiség külön közelítheto meg. A nagyobb szoba D-i tájolású, a kisebb É-i. Az ablakok egy része már muanyagra lett cserélve és redonnyel, szúnyoghálóval vannak ellátva és a bejárati ajtó is több ponton záródó biztonsági, illetve a radiátorok minden helyiségben cserélve lettek.Nagy ablakfelületeinek köszönhetoen világos a lakás és bár tulajdoni lapon földszinti, érzésre magasföldszint érzésünk van benne. A 4 emeletes csúsztatott zsalus ház elhelyezkedése kiváló! Pár perces sétára található a 14-es villamos és több buszjárat megállója (20E, 30, 30A, 105, 178, 230), melyekkel 15-20 perc alatt a belváros megközelítheto. Kisebb-nagyobb élelmiszerboltok, zöldségesek, posta, gyógyszertár, orvosi rendelo, általános iskola szintén könnyedén elérhetoek. A Rákos patak és több park is a közvetlen közelben helyezkedik el, így sok szabadidos tevékenységet is végezhetünk. (futás, biciklizés, kutyasétáltatás, nagyobb séták)A lakóközösséget önmagukra és környezetükre egyaránt igényes emberek alkotják. Ajánlom befektetoknek, elso lakást vásárlóknak, de minden korosztály számára kiváló választás!Ha csendes, parkos környezetben, külön nyíló szobás lakást keres jó közlekedéssel, ellátottsággal akkor hívjon, tekintse meg és tegyen rá ajánlatot!","jó állapotú","1950 és 1980 között","nincs megadva","nincs megadva","földszint","nincs megadva","nincs megadva","nincs megadva","házközponti","nincs megadva","nincs megadva","nincs megadva","nincs megadva","dél","nincs megadva","nincs megadva","nincs megadva",NA,"nincs megadva",NA,NA
"4","III. kerület, Kocsis Sándor út","111,5 millió Ft","66 m²","3","LENYUGÖZO ÖRÖKPANORÁMA, 2 TERASZ, NAPPALI+2HÁLÓ  - ÚJ ÉPÍTÉSU LAKÁSIII. kerületben, a PÁRATLAN SZÉPSÉGU HARSÁNYLEJTON, ÚJ ÉPÍTÉSU, 6 lakásos társasházban eladó egy 1. emeleti, 66 m2-es, DUPLA TERASZOS (14+9 m2), NAPPALI + 2 HÁLÓS, HATALMAS ÜVEGFELÜLETEKKEL RENDELKEZO, ÖRÖKPANORÁMÁS, LÉGKONDICIONÁLT lakás.Futés: gáz-cirkó (radiátoros és padlófutés)Fürdo/wc: külön és egyben isA lakáshoz teremgarázs helyek (5 M Ft/db) és tároló (2.5 M Ft/db) vásárolhatók.Alagsor: teremgarázs + tárolókFöldszint: 3 db lakás saját udvar részekkelEmelet: 3 db lakásA társasház, illetve a lakások magas muszaki tartalommal kerültek kivitelezésre.(Igény esetén muszaki leírást küldök.)Az épületben eladó további lakások:1.Örökpanorámás, kertkapcsolatos, teraszos, nappali + 2 hálós lakásAlapterület: 94 m2Erkély: 29 m2Saját udvar: 300 m2Ár: 143,5 M Ft2. Örökpanorámás, kertkapcsolatos, teraszos, nappali + 3 hálós lakásAlapterület: 80 m2Erkély: 19 m2Saját udvar: 150 m2Ár: 128,9 M Ft","nincs megadva","2021","összkomfortos","nincs megadva","1","3","nincs","3 m-nél alacsonyabb","gáz (cirko), padlófutés","van","nincs megadva","nem","külön és egyben is","nincs megadva","panorámás","23 m²","nem","nem tetotéri","teremgarázs hely - megvásárolható","5 000 000 Ft",NA
"5","V. kerület, Szemere utca","64,9 millió Ft","58 m²","2","Szemere utca legkedveltebb épületében, zöld kertre nézo, franciaerkélyes, napfényes,  2  szobás jó állapotú  lakás azonnal költözheto.Az ingatlan frissen festett, klímás, redonnyel felszerelt. Napfényes és csendes. Házközponti futésu, kedvezo közös költséggel ami havonta 28.000  Ft és magában foglalja a futést.  Így-amennyiben tovább szeretné szépíteni a lakást-  erre már nem kell beruháznia.További információkért, megtekintésre, hívjon bizalommal","jó állapotú","1950 elott","összkomfortos","nincs megadva","2","6","van","nincs megadva","házközponti","van","nincs megadva","nincs megadva","egy helyiségben","nyugat","kertre néz","1 m²","nincs megadva","nincs megadva","utca, közterület",NA,NA
"6","XIII. kerület, Tátra utca","69,9 millió Ft","65 m²","3","Egy kis ékszerdoboz Újlipótvárosban Eladó!Saját részre, igényesen pár éve felújított lakás várja új tulajdonosát a Tátra utcában, közel a Szent István körúthoz. A lakás rendezett, liftes társasházban található a 4.emeleten, déli tájolásának köszönhetoen rendkívül világos , udvari fekvésébol adódóan nagyon csendes.Beosztása: nappali, konyha, ketto hálószoba, fürdoszoba, külön WC.Az ingatlan szépen berendezett, igényes bútorokkal eladó, amit a vételár tartalmazz! Önnek csak költoznie kell!Minden korosztálynak tökéletes, de befektetésnek is kiváló választás, könnyen bérbe adható!Rugalmasan megtekintheto!Ebben nem fog csalódni!Várom megtisztelo hívását!","felújított","1950 elott","összkomfortos","nincs megadva","4","5","van","nincs megadva","távfutés","van","nincs megadva","nincs megadva","külön helyiségben","dél","udvari","nincs megadva","nincs megadva","nincs megadva","utca, közterület",NA,NA
"7","VIII. kerület, Baross utca 92.","31 millió Ft","34 m²","1","Most keresi az elso lakását, akkor ne menjen tovább jöjjön, nézze meg éloben a meghirdetett ingatlant! vagy rövidtávú kiadáshoz keres ingatlant, akkor is ajánljuk figyelméébe a lakást.A 34 nm-es lakásban minden megtalálható, ami egyedülállóként vagy párként is elegendonek tekintheto.A szoba 22 nm, aminek a terét pluszban növeli a  közel 6 nm-es galéria, mivel a belmagasság 3,8  így a galéria és az alatta lévo rész is élheto, jól kihasználható.A galériára kényelmes, nem meredek falépcso vezet, ami alatt a folyamatosan karbantartott héraégovel ellátott cserépkályha van.A bejárati ajtót az idén cserélték le korszeru muanyagra. Belépve az ingatlanba a konyhába találjuk magunkat ahonnan nyílik a szoba és a hátsó részen elhelyezkedo kamra és fürdoszoba. Az ablakos fürdoszoba nem a konyhából lett leválasztva, ahol elfér benne a kád, mosdó WC és mosógép.A fürdoszobával szemben egy kis kamra van, ahol a hutogép is helyett kaphat, így az a konyhából nem vesz el teret.A lakás fenntartási költsége alacsony, a közös költség 7.300,- Ft, minden egyéb méroóra alapján fizetendo.Infrastruktúrája kiváló. a CORVIN pláza 10 percnyi járásra helyezkedik el az ingatlantól.A házban a rövidtávú lakás kiadás nincs megtiltva.Hívását hétvégén is fogadjuk!","nincs megadva","nincs megadva","összkomfortos","nincs megadva","2","nincs megadva","nincs","3 m-nél magasabb","nincs megadva","nincs megadva","nincs megadva","nincs megadva","egy helyiségben","kelet","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"8","XIX. kerület, Pannónia út","79 millió Ft","97 m²","4","Megvételre kínálunk egy 97nm-es, két szintes, négy szobás társasházi lakást.Az ingatlan két különálló lakás volt korábban, födémáttöréssel és egy gipszbeton lépcso kialakításával nyitották egybe. A meleg vízrol és a futésrol egy korszeru kondenzációs cirkó felel, radiátoros holeadással illetvea földszinten 2016-ban padlófutés lett kialakítva.2018-ban a földszinten megtörtént a nyílászárók cseréje, az emeleten is cserélve lettek az utcafronti ablakok.2017-ben a földszinten és az emeleten is teljes burkolatcsere volt.A fentieken kívül a további felújítások történtek:Földszint: 2016-ban vízvezetékcsere, szennyvízcsövek cseréje, vízóra beépítése, elektromos hálózat cseréje és a villanyóra bovítése.Emelet: 2005-ben volt víz és a gázvezetékek cseréje, futéskorszerusítés, új elektromos hálózat.A lakáshoz tartozik két különálló kertrész, az egyikben egy fedett autóbeálló van, a másikban pedig egy tároló.A kertrészek alkalmasak nyári összejövetelekre, sütögetésre, ezek a területek egy közgyulési határozatban lettek az ingatlanhoz rendelve.Tartozik az ingatlanhoz két darab tároló, melyek a padláson találhatóak.Az ingatlan a 19.kerület kedvelt részén, Wekerletelepen található a határ úttól körülbelül 10 perces sétára.A közelben elérheto iskola, óvoda, orvosi rendelo, bevásárlási lehetoségek.A közlekedés autóval is jó illetve tömegközlekedéssel is a következo járatokkal: 99-es, 194-es, 194B, 199-es buszok.","jó állapotú","1950 elott","nincs megadva","nincs megadva","földszint","2","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","egy helyiségben","kelet","utcai","nincs megadva","nincs megadva","nincs megadva","udvari beálló - benne van az árban",NA,NA
"9","VII. kerület, Hársfa utca","79,9 millió Ft","105 m²","3 + 1 fél","Eladásra kínálok VII. ker Külso -- Erzsébetváros H Á R S F A  UTCÁBAN egy 105 nm-es 3+1 szobás, nyugati tájolású, utcára nézo, duplakomfortos, cirkó futéses, klimatizált lakást, tégla épsítésu 3 emeletes lift nélküli ház 2. emeletén.A lakás tökéletesem alkalmas mind családok, mind befektetok számára. A szobák mind külön nyílóak, így kényelmes életteret biztosítanak. Pár éve megtörtént a kondenzációs kazán cseréje.Közös költség 16 000 Ft/hóNéhány perces sétára található az Erzsébet körút, Blaha Lujza tér, Almássy tér, Keleti Pályaudvar, Városliget. A közelben kisebb üzletek, Aldi, Lidl, kávézók és bevásárlási lehetoségek találhatók.Eladási ára 79,9M FtBármilyen kérdés esetén keressen bizalommal.Hétvégén is hívhat!","nincs megadva","nincs megadva","duplakomfortos","nincs megadva","2","3","nincs","3 m-nél magasabb","gáz (cirko)","van","nincs megadva","nincs megadva","külön és egyben is","nyugat","utcai","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"10","VI. kerület, Andrássy út","45,9 millió Ft","53 m²","1 + 1 fél","Kellemesen pezsgo életu környéken csendes lakás!Megvételre kínálom ezt az 53 m2-es, másfél szobás, tégla építésu földszinti lakást az Andrássy úton.A társasház 1886-ban épült, Ybl Miklós és Unger Emil által tervezett, jó lakóközösségu, 4 emeletes és liftes. Anyagi helyzete rendezett. Legutóbb a teljes lépcsoház a belso homlokzattal együtt fel lett újítva. Határozat van róla, hogy a házban tilos az Airbnb. A belso udvarra nézo, kétszintes, de nem galériázott lakás a földszinten található meg, másfél szobával, eloszobával, konyhával és fürdoszobával, melyben zuhanykabin van elhelyezve. Itt található meg a WC is. A 8 m2-es félszoba lent, míg a 23m2-es nappali lépcson keresztül érheto el. A lakás 2015-ben fel lett újítva. Ennek során a fürdoszoba és a konyha is megújult, s a járólapok cseréje is megtörtént.A futést a lenti szinten gázkonvektor, a fenti nappaliban hotárolós kályha biztosítja. Utóbbi éjszakai áramról megy, csakúgy, mint a melegvizet biztosító villanybojler, mivel 2 villanyóra is van a lakásban.   Könnyen átalakítható igény szerint.Tartozik hozzá a pincerész is. Cégnek és befektetési célnak is tökéletes. Tájolása északnyugati.A közös költség mindössze 8 ezer forint, melyben benne van a korlátlan vízhasználat, s a ház felújítási alapja is. A rezsi is alacsony. A bútorok a vételár részét képezik, kivéve a mosógépet és a hutoszekrényt, amely megegyezés kérdése.Az ingatlan per-; és tehermentes. A környék ellátottsága kiváló mind infrastrukturálisan, mind pedig a mindennapi élethez szükséges intézményekkel. Az Oktogon csak néhány perc sétára található. Az ingatlan kizárólag elore egyeztetett idopontban tekintheto meg.(További kínálatunkat keresse a VING hivatalos weboldalán.)  Quiet apartment in a pleasantly vibrant neighborhood!I am offering for sale this 53 m2, one and a half room, brick ground floor apartment on Andrássy út.The condominium was built in 1886, designed by Miklós Ybl and Emil Unger, and has a good residential community, with 4 floors and an elevator. Your financial situation is in order. Most recently, the entire staircase was renovated along with the interior façade. There is a decision that Airbnb is banned in the house.Overlooking the inner courtyard, the two-storey but non-gallery apartment is located on the ground floor, with one and a half rooms, an entrance hall, a kitchen and a bathroom with a walk-in shower. The toilet is also located here.The 8 m2 half-room is accessible downstairs, while the 23 m2 living room is accessible via stairs.The apartment was renovated in 2015. In the process, the bathroom and kitchen were renovated, and the tiles were replaced.Heating is provided by a gas convector downstairs and a heat storage stove in the above living room. The latter goes on electricity at night, as does the electric water heater, as there are 2 electric hours in the apartment.Easily adaptable to demand.It also has a cellar.Perfect for both company and investment purpose.Orientation is northwest.The common cost is only 8 thousand forints, which includes unlimited water use and the renovation of the house. The overhead is also low.The furniture is part of the purchase price, except for the washing machine and fridge, which is a matter of agreement.The property is per-; and unloaded.The area is well equipped both infrastructurally and with the institutions necessary for everyday life.The Oktogon is just a few minutes ’walk away.The property can only be viewed at a pre-arranged time.","jó állapotú","1950 elott","összkomfortos","nincs megadva","földszint","5","van","3 m-nél magasabb","egyéb","nincs","nincs megadva","nem","egy helyiségben","északnyugat","udvari","nincs megadva","nem","nem tetotéri","utca, közterület - ingyenes",NA,NA
