"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Panelprogram","Parkolóhely ára"
"1","VIII. kerület, Józsefváros - Csarnoknegyed","41 millió Ft","42 m²","1 + 1 fél","Eladásra kínálok VIII. ker Csarnoknegyed V Í G  UTCÁBAN egy 42 nm-es 1+1 szobás, nyugati tájolású, udvarra nézo, összkomfortos, külön wc - fürdos, cirkó futéses, klimatizált, erkélyes lakást, 7 emeletes liftes tégla építésu ház 4. emeletén.A lakás gépesített (huto, mosógép, mikró, légkondicionáló) illetve bútorozott. Az ingatlan és környezete csöndes, az ablakok és az erkély a zárt belso kertre néznek. Az épület alsó szintjein teremgarázs található, ahol igény esetén állandó parkolóhely bérelheto. Azonnal költözheto!A lakás lokációja rendkívül jó, a 4-es és 6-os villamos, 5-ös, 7-es, 110-es, 112-es, 133-as busz, valamint az M2-es és M4-es metró egyaránt 5 perc sétával elérheto.Eladási ára 41M FtBármilyen kérdés esetén keressen bizalommal.Hétvégén is hívhat!","nincs megadva","nincs megadva","összkomfortos","nincs megadva","4","7","van","3 m-nél alacsonyabb","gáz (cirko)","van","nincs megadva","nincs megadva","külön helyiségben","nyugat","udvari","6 m²","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"2","II. kerület, Frankel Leó út","46,9 millió Ft","38 m²","1","Budapest, II. ker. Frankel Leó úton eladó egy beleszeretheto,  magas emeleti, szikrázóan napfényes, déli tájolású (kora reggeltol naplementéig süti a nap) 38 m2-es garzon 6 m2-es Dunára és  Rózsadombra panorámás terasszal  .Tágas elotér, kis gardróbhelyiség, konyha, kényelmes étkezési lehetoséggel, nagy méretu nappali hatalmas beépített, tükrös, tolóajtós gardróbbal, a nappali elott 6 m2-es panorámás terasz, fürdoszoba zuhannyal, WC-vel.Riasztó, biztonsági ajtó, redonyök, szúnyogháló, alacsony rezsi!További információk:","felújított","nincs megadva","nincs megadva","nincs megadva","3","nincs megadva","van","nincs megadva","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","egy helyiségben","dél","panorámás","6 m²","nincs megadva","nincs megadva","nincs megadva",NA,NA
"3","VIII. kerület, Corvin sétány","223 ezer €","78 m²","3","A CORVIN NEGYED SZÍVÉBEN, a Corvin Pláza mögött ELADÓ egy  elso emeleti lakás, 4 nm-es ERKÉLLYEL, csendes belso kertre kilátással. A nappali déli fekvésu, kilátás a Sétányra.A liftes társasház 2011-ben épült, külso és belso állapota újszeru. Portaszolgálat, biztonsági kamera gondoskodik az ott lakók nyugalmáról és kényelmérol.Az ingatlan állapota kifogástalan, elosztása RENDKÍVÜL KEDVEZO. Az eloszoba, bútorozott, gépesített amerikai konyhás nappali, valamint 2 hálószoba, egy kádas és egy zuhanyzós fürdoszoba.Minden fogyasztás egyedi méroórák alapján fizetheto, rendkívül alacsony rezsivel fenntartható (átlag 25 eft). Közös költsége szintén kedvezo (jelenleg 310 Ft/nm). Futése falfutés, mely nyáron légkondicionálóként muködtetheto.Az épület teremgarázsában parkolóhely vásárolható, vagy bérelheto.A közelben hangulatos éttermek, kávézók, üzletek találhatóak.Közlekedés szempontjából szintén nagyon elonyös az elhelyezkedése. Csupán néhány perc sétára van a kék metró vonala, a 4-es és 6-os villamos, autóbuszok.Hasonló lakások 1 és 2 hálósak vannak kínálatunkban. Megkeressük az Ön igényeinek megfelelot.Kiváló befektetési lehetoség, könnyen bérbe adható! Éves bruttó hozama 5 % körül mozog. A bérlok folyamatos biztosítását vállaljuk (évek óta rengeteg kül-, és belföldi keresoink vannak).","újszeru","2011","duplakomfortos","AA","1","9","nincs megadva","3 m-nél alacsonyabb","falfutés","van","nincs megadva","igen","külön és egyben is","dél","utcai","4 m²","nincs megadva","nincs megadva","nincs megadva",NA,NA
"4","VI. kerület, Külso-Terézváros","42 millió Ft","51 m²","2","BUDAPEST BELVÁROSÁBAN, A VI. KERÜLETBEN CSENDES KÖRNYEZETBEN, 2 SZOBÁS TÉGLAÉPÍTÉSU LAKÁS ELADÓ!A lakás alapterülete 51 nm, melyben helyet kapott egy eloszoba, konyha, fürdoszoba, külön wc, 2 szoba, melybol az egyik szobában galéria került kialakításra.A szobák a belso udvarra néznek, biztonsági ráccsal ellátott közös folyosón keresztül jutunk be a lakásba.A futést és a melegvizet gázcirkó biztosítja.Az ingatlan jó állapotú, egy tisztasági festés után azonnal költözheto. Fiatal pár, vagy család részére is komfortos, élheto az ingatlan, a  belváros szívében, mégis csendes környezetben.Infrastruktúra kiváló, közelben iskola, óvoda, gyógyszertár, orvosi rendelo, vásárlási lehetoség.Elhelyezkedésébol adódóan BKV-val és gépkocsival is könnyen megközelítheto, a belváros, Andrássy út, Nyugati Pályaudvar, Liszt Ferenc tér, Hosök tere, Városliget pár percre.Az ingaltan elore egyeztetett idopontban rugalmasan megtekintheto. Amennyiben felkeltettem érdeklodését, várom szeretettel megkeresését.","jó állapotú","1950 és 1980 között","összkomfortos","nincs megadva","félemelet","4","van","3 m-nél magasabb","gáz (cirko)","nincs","nincs megadva","nincs megadva","külön helyiségben","nincs megadva","udvari","nincs megadva","nincs megadva","nem tetotéri","utca, közterület",NA,NA
"5","XI. kerület, Kelenföld","69,9 millió Ft","115 m²","2 + 2 fél","Eladásra kínálok Kelenföld közkedvelt központi, de mégis csendes részén, 2001-ben épült, 11 lakásos társasházban, egy nettó 115 nm-es (bruttó 134 nm), 3.emeleti, jó állapotú, nagy nappalis, háromszobás, dupla komfortos, kelet – nyugati fekvésu, napfényes  lakást.Az ingatlan  fa és muanyag nyílászáróval rendelkezik, valamint redonnyel és szúnyoghálóval van  ellátva. Futésérol kombi cirkó kazán gondoskodik, biztonságáról távfelügyelethez bekötött riasztó, klimatizált.  A lakáshoz tartozik egy kb 3 nm-es pince tároló.Az ingatlan méretei és adottságai miatt, muszakilag könnyen  alakítható.  Remek lehetoség családosoknak, fiataloknak, cégeknek, akár irodának is.  A részben gépesített konyha, a vételár részét képezi.A társasház rendezett, tiszta, kulturált lakókkal rendelkezik.Közlekedése, infrastruktúrája kiváló! Közvetlen közelében az Allenak, Feneketlen Tónak,   buszmegálló, valamint villamosmegálló 2 perc sétányira, megtalálható. Az ingatlan közelében 5 perces sugárban található 3 óvoda, bölcsode, általános iskolák, egyházi iskola, egyetem. Az utcán a parkolás ingyenes. Az ingatlan rugalmasan megtekintheto.Ha hirdetésem felkeltette érdeklodését, hívjon bizalommal a hét bármely napján! KZ","jó állapotú","2001 és 2010 között","duplakomfortos","nincs megadva","3","3","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","nincs megadva","nem","nincs megadva","nyugat","utcai","nincs megadva","igen","tetotéri","utca, közterület",NA,NA
"6","XI. kerület, Kelenföld","194,24 ezer €","115 m²","2 + 2 fél","Eladásra kínálok Kelenföld közkedvelt központi, de mégis csendes részén, 2001-ben épült, 11 lakásos társasházban, egy nettó 115 nm-es (bruttó 134 nm), 3.emeleti, jó állapotú, nagy nappalis, háromszobás, dupla komfortos, kelet – nyugati fekvésu, napfényes  lakást.Az ingatlan  fa és muanyag nyílászáróval rendelkezik, valamint redonnyel és szúnyoghálóval van  ellátva. Futésérol kombi cirkó kazán gondoskodik, biztonságáról távfelügyelethez bekötött riasztó, klimatizált.  A lakáshoz tartozik egy kb 3 nm-es pince tároló.Az ingatlan méretei és adottságai miatt, muszakilag könnyen  alakítható.  Remek lehetoség családosoknak, fiataloknak, cégeknek, akár irodának is.  A részben gépesített konyha, a vételár részét képezi.A társasház rendezett, tiszta, kulturált lakókkal rendelkezik.Közlekedése, infrastruktúrája kiváló! Közvetlen közelében az Allenak, Feneketlen Tónak,   buszmegálló, valamint villamosmegálló 2 perc sétányira, megtalálható. Az ingatlan közelében 5 perces sugárban található 3 óvoda, bölcsode, általános iskolák, egyházi iskola, egyetem. Az utcán a parkolás ingyenes. Az ingatlan rugalmasan megtekintheto.Ha hirdetésem felkeltette érdeklodését, hívjon bizalommal a hét bármely napján! KZ","jó állapotú","2001 és 2010 között","duplakomfortos","nincs megadva","3","3","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","nincs megadva","nem","nincs megadva","nyugat","utcai","nincs megadva","igen","tetotéri","utca, közterület",NA,NA
"7","V. kerület, Bástya utca","115,9 millió Ft","77 m²","2","Kozmopolita életérzésV. kerületben, Dél-Belváros csökkentett forgalmú utcájában eladó egy kifejezetten jó állapotú társasház, 3-ik emeletén található tágas, napfényes, nappali és egy hálószobával rendelkezo nettó 77 nm-es lakás, melyhez 16,5 nm terasz tartozik.Az ingatlan egy 2007-ben megvalósult szintráépítés keretein belül valósult meg, melynek során az új lakások kialakítása mellett az épület teljes felújítása is megtörtént, így a társasház a mai napig is kiváló állapotnak örvend. A legfelso emeleti lakás elegáns üveglifttel közelítheto meg, az újonnan megvalósult szinten mindösszesen 3 lakás található.A beruházás során kiemelt figyelmet fordítottak a felhasznált anyagok minoségére, az üvegfelületek nagyságára és használható méretu teraszok létrehozására.Az enterior kialakítását az elegancia, a kifinomult stílus és az összhang jellemzi. A varázslatos, melegséget árasztó hangulat bejárja a fényárban úszó, egyedi lakás tereit.Adottságait tekintve – különösen a helyszín vonatkozásában – különleges ingatlanba invitálom Önt, tekintse meg személyesen. Az ingatlan tehermentes, azonnal költözheto.Megtekintés elore egyeztetett idopontban, rugalmasan kivitelezheto.Az ingatlanhoz bemutatóvideó is készült , keressen meg és elküldöm önnek a videó linkjét!","újszeru","2001 és 2010 között","duplakomfortos","nincs megadva","3","3","van","3 m-nél magasabb","gáz (cirko)","van","nincs megadva","nem","külön és egyben is","délkelet","utcai","17 m²","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"8","VI. kerület, Révay utca","51,9 millió Ft","63 m²","2","VI. kerületben, Belso-Terézvárosban, a belváros szívében, az Operaház szomszédságában, a Révay utcában, kiváló közlekedés és ellátottság mellett, 1920-as években épült 3. szintes, 18 lakásos, példás anyagi helyzetu társasházban, egy remek adottságokkal bíró, 3.emeleti, 63 m2 alapterületu két szobás,(különnyíló) ablakos konyhás-étkezos, ablakos fürdoszobás, napos-világos, NY-i fekvésu, alacsony fenntartású, (közös költség korlátlan vízfogyasztással 15.400 Ft/hó.) kombinált gázcirkó futésu, jó állapotú, klimatizált lakást kínálok eladásra.Az ingatlan tehermentes, rugalmasan költözheto.A lakásban 2012-ben a fürdoszoba és a konyha felújítása megtörtént.A kiemelkedo lokációjának köszönhetoen kiválóan alkalmas befektetési célokra is.Sétatávolságra Andrássy út, Szent István Bazilika, Deák Ferenc tér.Ezt az ingatlant érdemes megnézni.További információkért várom megtisztelo hívását.BL","jó állapotú","1950 elott","összkomfortos","nincs megadva","3","3","nincs","3 m-nél magasabb","gáz (cirko)","van","nincs megadva","nem","nincs megadva","délnyugat","udvari","nincs megadva","nem","nem tetotéri","utca, közterület",NA,NA
"9","VI. kerület, Révay utca","144,22 ezer €","63 m²","2","VI. kerületben, Belso-Terézvárosban, a belváros szívében, az Operaház szomszédságában, a Révay utcában, kiváló közlekedés és ellátottság mellett, 1920-as években épült 3. szintes, 18 lakásos, példás anyagi helyzetu társasházban, egy remek adottságokkal bíró, 3.emeleti, 63 m2 alapterületu két szobás,(különnyíló) ablakos konyhás-étkezos, ablakos fürdoszobás, napos-világos, NY-i fekvésu, alacsony fenntartású, (közös költség korlátlan vízfogyasztással 15.400 Ft/hó.) kombinált gázcirkó futésu, jó állapotú, klimatizált lakást kínálok eladásra.Az ingatlan tehermentes, rugalmasan költözheto.A lakásban 2012-ben a fürdoszoba és a konyha felújítása megtörtént.A kiemelkedo lokációjának köszönhetoen kiválóan alkalmas befektetési célokra is.Sétatávolságra Andrássy út, Szent István Bazilika, Deák Ferenc tér.Ezt az ingatlant érdemes megnézni.További információkért várom megtisztelo hívását.BL","jó állapotú","1950 elott","összkomfortos","nincs megadva","3","3","nincs","3 m-nél magasabb","gáz (cirko)","van","nincs megadva","nem","nincs megadva","délnyugat","udvari","nincs megadva","nem","nem tetotéri","utca, közterület",NA,NA
"10","XIV. kerület, Gvadányi utca","58,9 millió Ft","61 m²","2","Budapest 14. kerület Alsórákoson       a     Gvadányi utcában  Rákospataknál kiváló infrastruktúrával rendelkezo   tégla építésu   társasházi ház  egyik  magas földszinti lakása eladó.2001-ben épült téglaépítésu 6 lakásos társasház egyik magasföld szinti lakása eladó.2020-ban felújították a lakást.Lakás ( 61 nm-es + 18 nm-es 2 db. erkéllyel  )  Így a lakás    étkezos konyhából  2 szobából egy eloszobából  és  fürdoszoba WC- bol áll. Valamint egy terem garázs is tartozik a lakáshoz.A szobákban klíma lett beszerelve és minden ablakon redony.Az egész lakás világos élheto terekkel rendelkezik.Futése gázcirkó.Saját víz, villany és gázórával rendelkezi így csak a tényleges fogyasztás után fizetendo a díj.Közös költség: 12460 Ft/hó ( tartalmazza, közös képviselo díjat, szemét szállítás, takarítás, felújítási alapot ).A beépített konyha bútor a lakás tartozéka.Közlekedés: Troli 80-as és 81-es Örs vezér tér és a Keleti Pálya udvar.Rákospatak partján kiépült kerékpár út, futó út, sportolási lehetoség.EXTRÁK: Riasztó és Kamera.Per és Hitelmentes.Hitelezheto.Azonnal Költözheto.CSOK,  Baba Váró hitel igényelheto.Igénybe veheto Állami támogatások, Babaváró hitel, CSOK, Illeték kedvezmény.Ha felkeltettem az érdeklodését, hívjon nézze meg tegyen árajánlatot.Ne hagyja ki a kínálkozó lehetoséget.Várom hívását.","felújított","nincs megadva","összkomfortos","nincs megadva","földszint","3","nincs megadva","3 m-nél alacsonyabb","gáz (cirko)","nincs","nincs megadva","nem","egy helyiségben","nincs megadva","utcai","18 m²","nincs megadva","nincs megadva","teremgarázs hely - benne van az árban",NA,NA
