"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Parkolóhely ára","Panelprogram"
"1","XIV. kerület, Utász utca","31,2 millió Ft","42 m²","1","Eladó felújított különleges elosztású földszinti garzonlakás ZuglóbanMegvételre kínálok egy felújított 42 m2-es garzonlakást Zuglóban központi helyen, a Puskás Ferenc Stadion szomszédságában, de mégis csendes környezetben, az Utász utcában.Az ingatlan pár éve teljesköru felújításon vett részt. A felújítás során a nyílászárókat muanyagra cserélték és a villanyvezetékeket is áthúzták. A hidegburkolatok cseréjére is sor került, a szobában pedig a parkettát felcsiszolták.Futése gázkonvektoros, a nappaliban pedig beszerelésre került egy huto-futo klíma (Gree klíma).Az ingatlanba érkezve a az eloszobából jobbkéz felol nyílik a 20 m2-es alapterülettel rendelkezo szoba, ez a belso udvarra néz. A konyha (9 m2) is az eloszobából nyílik, ezen keresztül jutunk a kádas fürdoszobába (7 m2), és innen nyílik a terasz ( 6m2), ami nagy elony a fürdoszoba szelloztetését tekintve.A lakás közösköltsége havonta 14.200.- ft, ez az alapköltségeken (szemétdíj, takarítás, lépcsoház villany) kívül tartalmazza a felújítási alapot, a homlokzat felújítása tervben van. A ház tetoszerkezetét pár éve renoválták.Az ingatlan bérbeadásra is remek befektetési lehetoség, jelenleg is albérlo lakja, az o szerzodése márciusig szól.A költségek fogyasztás alapján kerülnek elszámolásra mivel a víz,- gáz- és a villany is egyedi mérésu.Maga az ingatlan jó lokációval rendelkezik, gyalog pár percre található a Puskás Ferenc Stadion metróállomás, a belvárosba pedig metróval egy 5-10 perc alatt eljuthatunk.A közelben találhatóak élelmiszerüzletek, gyógyszertár, benzinkút, posta, iskola, bölcsöde..","felújított","1950 elott","komfortos","nincs megadva","földszint","3","nincs","3 m-nél magasabb","gáz (konvektor)","van","nincs megadva","nincs megadva","külön helyiségben","délnyugat","udvari","6 m²","nem","nincs megadva","utca, közterület",NA,NA
"2","X. kerület, Gergely utca","74,9 millió Ft","86 m²","2 + 3 fél","-------------------------------------------------------------------------------------------------------------------------------------------------Kérem kattintson a foképen található ""VIRTUÁLIS SÉTA gombra"", hogy elérje az ingatlanról készített 360 fokos képanyagot, amelynek segítségével online is bejárhatja az ingatlant!------------------------------------------------------------------------------------------------------------------------------------------------!!! Ritka lehetoség a RÓZSALIGET Lakóparkban !!!Eladó a X. kerületben (Újhegyen), a Rózsaliget Lakóparkban, 2006-ban épült, LIFT-es társasház 3. emeletén egy nappali + 4 hálószobás, 86 nm lakóterülettel + 10 nm-es terasszal rendelkezo, BELSO KÉTSZINTES, duplakomfortos, igényesen kialakított lakás!ALSÓ SZINT:* Amerikai konyhás NAPPALI (29 nm)* Zuhanyzós FÜRDOSZOBA + wc* ELOSZOBA* Lépcsofeljáró + lépcso alatti TÁROLÓFELSO SZINT:* Masszázs-kádas FÜRDOSZOBA + wc* HÁLÓSZOBA (12,87 nm)* 3 db. HÁLÓ (9 nm + 8,1 nm + 7,4 nm)* KÖZLEKEDO* TETO-TERASZ (10,4 nm)Az ingatlan kiváló beosztású, az alsó szinten lévo nappali bár amerikai konyhás, de a konyha elhelyezkedése mégis szeparált.A felso szinten található mindegyik hálószoba különnyíló. Az egyik fürdoszoba az alsó szinten, míg a másik a felso szinten található.Az alsó szinten járólap burkolat, míg a hálószobákban laminált padlóburkolat található.Az ingatlan 3 oldalra tájolt, így a lakás szép NAPFÉNYES.A MUANYAG ablakok alumínium REDONYÖKKEL és SZÚNYOGHÁLÓVAL felszereltek.A futés házközponti EGYEDI mérés alapján történik; a közös költség 28 ezer Ft/hó, melyben benne van a Garázsnak és a Tárolónak a havi díja is.A felso szint huto-futo KLÍMÁVAL ellátott.Az ingatlanhoz 1 db. FELSZÍNI GÉPKOCSIBEÁLLÓ megvásárlása kötelezo, melynek ára +1,5 millió Ft a lakás vételárán felül.Ezenkívül OPCIONÁLISAN megvásárolható még:----------------------------------------------------------------------------1 db. 7 nm-es, zárható, földszinti TÁROLÓ (+3,6 millió Ft)1 db. 16 nm-es, elektromos kapuval zárható GARÁZS (+6,9 millió Ft)1 db. 13 nm-es, önállóan zárható, padlólappal burkolt GARÁZS (+5,6 millió Ft)1 db. 13 nm-es FELSZÍNI KOCSIBEÁLLÓ (+1,5 millió Ft)A környék és a tömegközlekedés is kiváló.Mindösszesen pár perc sétára található a gyönyöru környezetben elhelyezkedo Kobányai BÁNYATÓ, de az Újhegyi USZODA és a SPORTLIGET is karnyújtásnyi távolságra található.Amennyiben lakóparki környezetben, igényesen kialakított-, kiváló beosztású-, sok hálószobával- és TETOTERASSZAL is rendelkezo „egy igazi ritkaságot” keres, akkor ezt az ingatlant jó szívvel tudom ajánlani Önnek.Várom megtisztelo hívását, akár hétvégén is.Lakás: 74,9 millió FtUdvari parkoló: 1,5 millió Ft------------------------------------------------Megvásárlásuk NEM kötelezo:1 db. Tároló (3,6 millió Ft)1 db. Garázs (6,9 millió Ft)1 db. Garázs (5,6 millió Ft)1 db. Udvari parkoló (1,5 millió Ft)In English:------------------------------------------------------------------------------------------------------------------------------------Please click on the ""VIRTUAL TOUR"" button in the main image to access the 360 degree imagery of the property, you can also view the property online!------------------------------------------------------------------------------------------------------------------------------------!!! A rare opportunity in the Rózsaliget Residental Park !!!We offer for sale an INTERIOR TWO-STOREY apartment with 5 rooms, 2 bathrooms and a ROOF TERRACE, which built in 2006.The property is 86 sqm and is accessible by elevator.There is a living room with american kitchen and a bathroom (with Shower and a Toilet) on the lower level of the apartment.The staircase leading from the entrance hall leads to the upper level, where there are 4 bedrooms and another bathroom (with Corner-bath and a Toilet).The 10 sqm roof terrace is also accessible from the upper level.The property has an excellent layout, each bedroom on the upper level has a separate entrance.The apartment is oriented on 3 sides, so the apartment is quite SUNNY.Plactic windows are equipped with aluminum shutters and mosquito nets.Heating is based on a centralized INDIVIDUAL measurement.The common cost is 28.000 HUF/month, which includes the monthly fee of the Garage and the Storage Room.The upper level is equipped with a cooling-heating AIR CONDITIONING.It is mandatory to purchase the 13 sqm, SURFACE PARKING SPACE for the property, the price of which is HUF 1.5 million HUF.In addition, the following are OPTIONAL:------------------------------------------------------•a 7 sqm, ground level STORAGE (HUF 3.6 million)•a 16 sqm, electric gate lockable GARAGE (HUF 6.9 million)•a 13 sqm, self-closing GARAGE (HUF 5.6 million)•another 13 sqm, SURFACE PARKING SPACE (HUF 1.5 million)The environment and public transport are also excellent. The beautiful Mine Lake is just a few minutes walk away. There is also an ’Indoor Swimming Pool’ and a ’Sports Park’ nearby.If you are looking for a ""real rarity"" in a residential park environment, with a well-designed, excellent layout, many bedrooms and a ROOF TERRACE, then I can recommend this property to you.The price of the apartment:HUF 74.9 million------------------------------------------------------------------------------------------------------------------------------------Please click on the ""VIRTUAL TOUR"" button in the main image to access the 360 degree imagery of the property, you can also view the property online!------------------------------------------------------------------------------------------------------------------------------------","újszeru","2001 és 2010 között","duplakomfortos","CC","3","4","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","van","nincs megadva","nincs megadva","egy helyiségben","délkelet","udvari","10 m²","nincs megadva","nincs megadva","önálló garázs - megvásárolható","5 000 000 Ft",NA
"3","III. kerület, Testvérhegy","215,7 millió Ft","195 m²","4","TÁGASTEREKKEL MINDENEK FELETT – Eladó PENTHOUSE lakás a Családi Ingatlan Kínálatában.Eladó Budapest III. kerület kedvelt részén, Testvérhegyen egy 195 m2 lakóterületu Nappali+3 szobás duplafürdoszobás penthouse lakás hatalmas 100 m2-es erkéllyel és óriási, több mint 100 m2 tetoterasszal.Zárt rendszeru újszeru lakóparkban a gondozott kertre és Péterhegyre csodás panorámával rendelkezo eladó lakás nagy belso terekkel, szobákkal és ablakokkal rendelkezik, ezért egész nap napfényes, kényelmes életteret biztosít. Közlekedése akár gyalogosan, akár autóval is kiváló.Az eladó penthouse lakás néhány jellemzoje:•Tégla falazat + szigetelés•Házközponti futés egyedi mérokkel•3 rétegu nyílászárók redonnyel és szúnyoghálóval; biztonsági ajtó•újszeru állapot, igényes burkolatok, szaniterek és beépített szekrények•lift, 2 db saját parkoló, garázsbérlési lehetoség•burkolt korlátos tetoterasz + szabadtéri edzo tér •légkondicionált•riasztó és kamerarendszer•A zárt belso udvarban gondozott kertAjánlom mindazoknak, akik Budához közel, csendes helyen, tiszta levegovel keresnek lakást, ahol élheto nagy terek lettek kialakítva és a nagy teraszainak köszönhetoen élvezhetjük a természet közelségét. Hasonló ingatlanokért látogasson el weboldalunkra!","újszeru","2014","duplakomfortos","nincs megadva","3","nincs megadva","van","nincs megadva","házközponti egyedi méréssel","van","nincs megadva","nincs megadva","nincs megadva","nincs megadva","panorámás","100 m²","nincs megadva","penthouse","udvari beálló - benne van az árban",NA,NA
"4","XIV. kerület, Czobor utca 85.","82 millió Ft","100 m²","4","Zuglóban, hangulatos, családiházas, kertvárosi környéken lévo VILLAÉPÜLETBEN eladó egy TELJES SZINTET elfoglaló lakás.A ház egy nagyméretu, osfás, gondozott kertben helyezkedik el, melyre rálátni a teraszról, a homlokzata szép, lépcsoháza rendezett, az ingatlan teljes felújítást igényel. Hosszú ideig két lakás volt, nemrég került újra összevonásra. Remek adottságainak köszönhetoen nincs oldalsó falszomszéd, körbe süti a nap, nagy a belmagassága. Egy komolyabb felújítást követoen egy ritkaság számba meno impozáns, egyedi családi otthon lesz belole.A kertvárosi hangulatú utca ellenére a 5 perc sétával villamosok és buszok is elérhetoek, az utca végén a Rákospatak és játszótér található.","felújítandó","1950 elott","összkomfortos","nincs megadva","1","3","nincs megadva","3 m-nél magasabb","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","egy helyiségben","délnyugat","kertre néz","9 m²","nincs megadva","nincs megadva","utca, közterület",NA,NA
"5","IX. kerület, Soroksári út","31,9 millió Ft","39 m²","1","A belvároshoz közel, mégis nyugodt helyen keresel egy egyszobás fészket?Megtaláltad! Ezt neked építették! Csak rád vár!Nézzük, a lakás 2.emeleti, csöndes, zöldello udvarra nézo tágas hálószoba vár!Az ebédlobol nyíló konyhában minden kézre áll.A fürdo és a wc külön van, és különnyílóak is, szerintem ez fontos!Árát tekintve reális áron van. Nem a nyerészkedés a cél, csupán az eladás.A közös költség 14.000 Ft! A vízre nem lesz gondod, mert benne van, lubickolhatsz kedvedre, és ebbe még bele tartozik a szemét szállítás valamint a lépcsoház takarítás, hogy tiszta házba érkezz!Az épület, a lépcsoház és a lakás átlagos állapotú, ami azt jelenti, szép, gondozott, karbantartott, de ha újítani szeretnél valamit, azt a magad ízlésére megtudod csinálni, ez már egyéni, de egyébként csak beköltözni kell!A bútorok egy része benne van az árban!Ennyit hirtelen, hívj és gyere nézd meg ez a hangulatos otthont, apropó, leendo otthonod!","jó állapotú","1950 és 1980 között","összkomfortos","nincs megadva","2","3","nincs","3 m-nél magasabb","gáz (konvektor)","nincs","nincs megadva","nem","külön helyiségben","északnyugat","udvari","nincs megadva","nem","nem tetotéri","utca, közterület - fizetos övezet",NA,NA
"6","XIII. kerület, Üteg utca","39,2 millió Ft","47 m²","2","Azonnal költözheto fiatalos lakás AngyalföldönAngyalföld szívében kínálom eladásra ezt a praktikus kialakítású lakást – csendes utcában. A környék szinte városközpont, sétatávolságra találhatóak boltok, éttermek és kávézók, iskola, óvoda, orvos… Közösségi közlekedés szempontjából (1-es, 14-es villamos, M3-as metró, éjszakai járatok pár percre) kituno választás, autóval parkolni az utcában kerületi lakosoknak ingyen lehet.A földszinti lakás ablakai, akár csak bejárati ajtaja a társasház zárt udvarára nyílnak. A ho- és zajszigetelo muanyag ablakok mindegyike redonnyel szerelt, ráccsal ellátott. A bejárat több ponton záródó biztonsági fém ajtó. Az otthon melegét modern konvektorok szolgáltatják, nyáron klíma segíti az ideális homérséklet elérését. A használati meleg vizet gázmelegíto állítja elo. A házban lezajlott a gáz és elektromos fovezetékek és a villanyórák cseréje is, bent a lakásban pedig minden felújított.A lakás kialakításában a dizájn és a praktikum egyaránt fontos szempont volt. Az egyedi, minoségi anyagokkal és bútorokkal kialakított tágas nappali valódi modern élettér. A tusolós fürdotol külön helyiségben kapott helyet a toalett. A konyhában minden jó helyen, célszeruen van elrendezve, az elotérben található hatalmas szekrény pedig mindent elnyel.A lakáshoz tartozik az udvarban egy zárt, kb. 4 négyzetméteres saját tároló is – ideális kerékpárok tárolására. A képeken látható bútorok és gépek mind a vételár részét képezik.Jó szívvel ajánlom elso lakásnak, egyetemistáknak, ugyanakkor befektetésnek is kituno választás – központi elhelyezkedése miatt könnyen, gyorsan kiadható.Az otthon azonnal költözheto, rugalmasan megtekintheto. Érdemes megnézni! Jöjjön el és szeressen bele!Kérdéseivel keressen bizalommal bármilyen napszakban – akár hétvégén is! Ügyfeleinknek díjmentes és független hitelügyintézéssel, ügyvédi tanácsadással állunk rendelkezésre. Energetikai tanúsítvány elkészítését rövid határidovel vállaljuk.(További kínálatunkat keresse a VING hivatalos weboldalán.) \n Immediate move-in youth apartment in AngyalföldI am offering this practical apartment for sale in the heart of Angyalföld - in a quiet street. The area is almost downtown, within walking distance of shops, restaurants and cafes, school, kindergarten, doctor… From the side of public transport (tram 1, 14, metro M3, night flights a few minutes) an excellent choice, residents can park their car for free.The windows of the ground floor apartment, as the front door, open to the closed yard of the condominium. The heat and noise insulating plastic windows are all fitted with shutters and grilles. The entrance is a security metal door that closes at several points. The warmth of the home is provided by modern convectors, in summer the climate helps to reach the ideal temperature. Domestic hot water is produced by a gas heater. The electrical and gas mains and electric meter have been replaced in the house, and everything has been renovated inside the apartment.Both design and practicality were important aspects in the design of the apartment. The spacious living room with unique, quality materials and furniture is a real modern living space. The toilet is located in a separate room from the shower bath. Everything in the kitchen is conveniently arranged, and the huge closet in the foyer absorbs everything.The apartment has a 4 square meters of private storage - ideal for storing bicycles. The furniture and machines shown in the pictures are all part of the purchase price.I wholeheartedly recommend it as a first choice for the first apartment, and for students. It is also an excellent choice for investment - it can be rented out easily and quickly due to its central location.The home can be moved immediately and viewed flexibly. Worth checking out! Come and fall in love!Do not hesitate to contact me at any time of the day - even on weekends!We provide free and independent credit management and legal advice to our clients.","jó állapotú","1950 elott","komfortos","nincs megadva","földszint","földszintes","nincs megadva","3 m-nél alacsonyabb","gáz (konvektor)","van","nincs megadva","nincs megadva","külön helyiségben","nincs megadva","nincs megadva","nincs megadva","nem","nincs megadva","utca, közterület - fizetos övezet",NA,NA
"7","XX. kerület, Erzsébetfalva","52,9 millió Ft","77 m²","3","Az ingatlan a lakóparkban található 58 nm, 2 szoba + nappali, konyha, külön wc és fürdo kapott helyet benne.A lakás nagy tereibol adódóan kényelmes lehet akár nagyobb családnak is, illetve ebben az árban egyedülállóan a 38 nm-es terasz tartozik a lakáshoz, ami a mindennapokban kiszélesíti az életteret.A közös költség 22.000,-ft, ami az alapon kívül tartalmazza a futés, szemét, lépcsoház karbantartás, közös képviselet díját is!A lakás egy tisztasági festés után azonnal költözheto.Rugalmasan megtekintheto. 52900000 FtReferencia szám: H437868","jó állapotú","2001 és 2010 között","összkomfortos","nincs megadva","2","nincs megadva","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","nincs megadva","északkelet","utcai","37 m²","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"8","II. kerület, Vérhalom tér","55,9 millió Ft","33 m²","1","Örök panorámában gyönyörködhetünk a Rózsadomb tetején álló házban található ékszer doboz lakásból.Az épület a 60-as évek végén épült, korának különleges,modern építészeti terve szerint.A Vérhalom tér a budai és a pesti belvárosból is kitunoen megközelítheto tömegközlekedéssel és autóval egyaránt, mely,mint ismeretes, egyre inkább felértékelodo szempont az ingatlan vásárlásnál.A szoba egyik falán végighúzódó ho és hangszigetelt muanyag ablakokon át kitekintve a Dunáig ellátunk.Kevés lakásszámú társasház.A téren modern játszótér, focipálya, új futópálya, kutyafuttató teszi kényelmessé az itt lakók életét.Pár percre bevásárlási lehetoség, orvosi rendelo,közelben bevásárló központ . A ház kertjében egy felszíni autó beálló és a pince szinten külön tároló tartozik a lakáshoz.","felújított","1950 és 1980 között","összkomfortos","nincs megadva","2","2","nincs","3 m-nél alacsonyabb","gáz (konvektor)","van","15 E Ft/hó","nem","egy helyiségben","dél","panorámás","nincs megadva","nem","nem tetotéri","udvari beálló - benne van az árban",NA,NA
"9","I. kerület, Bem rakpart","69,9 millió Ft","60 m²","3","A Bem rakparton, a Halász utca közvetlen közelében kínálom eladásra ezt a tulajdoni lap szerint 57 négyzetméteres (a valóságban 60 négyzetméteres) ingatlant az alábbi paraméterekkel:- 1. emeleti- Liftes a társasház- Napos, világos a lakás- 3 külön nyíló szoba- Thermo, muanyag nyílászárók- Felújított állapot- A meleg vizet és a futést gáz cirkó biztosítja, a felújítás során padlófutést alakítottak ki- Tartozik a lakáshoz egy kb. 5 négyzetméteres tároló, amely a lakással egybe nyithatóRugalmasan megtekintheto, rövid határidovel birtokba veheto!Az ár IRÁNYÁR!Várom hívását, akár hétvégén is!Ügyfeleink részére BANKFÜGGETLEN hitelügyintézo kollegáink szívesen nyújtanak segítséget, hitellel, vagy akár CSOK-kal kapcsolatban is!","felújított","1950 elott","összkomfortos","ee","1","5","van","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nem","nincs megadva","nyugat","udvari","nincs megadva","nem","nem tetotéri","utca, közterület",NA,NA
"10","I. kerület, Bem rakpart","190,55 ezer €","60 m²","3","A Bem rakparton, a Halász utca közvetlen közelében kínálom eladásra ezt a tulajdoni lap szerint 57 négyzetméteres (a valóságban 60 négyzetméteres) ingatlant az alábbi paraméterekkel:- 1. emeleti- Liftes a társasház- Napos, világos a lakás- 3 külön nyíló szoba- Thermo, muanyag nyílászárók- Felújított állapot- A meleg vizet és a futést gáz cirkó biztosítja, a felújítás során padlófutést alakítottak ki- Tartozik a lakáshoz egy kb. 5 négyzetméteres tároló, amely a lakással egybe nyithatóRugalmasan megtekintheto, rövid határidovel birtokba veheto!Az ár IRÁNYÁR!Várom hívását, akár hétvégén is!Ügyfeleink részére BANKFÜGGETLEN hitelügyintézo kollegáink szívesen nyújtanak segítséget, hitellel, vagy akár CSOK-kal kapcsolatban is!","felújított","1950 elott","összkomfortos","ee","1","5","van","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nem","nincs megadva","nyugat","udvari","nincs megadva","nem","nem tetotéri","utca, közterület",NA,NA
