"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Parkolóhely ára","Panelprogram"
"1","VII. kerület, Külso-Erzsébetváros","25,9 millió Ft","31 m²","1","Megvételre kínálunk VII. kerület külso Erzsébetvárosban egy 31 m2-es lakást.Az ingatlan Marek József utcában található pár perc sétára a megújuló Városligettol.Egyszobás udvari nézetu lakás az elso emeleten helyezkedik el. Állapotát tekintve átlagos, futésérol jelenleg egy gáz-cserépkályha gondoskodik.Kényelmes étkezos konyha 18 m2-es nappali melyben a belmagasságot kihasználva egy 10 m2-es galéria lett kialakítva ezzel bovítve az életteret.Fürdoszobában zuhanyzó lett beépítve.Közösköltsége 13.000.- forint. A közelében minden megtalálható, ami fontos a hétköznapokban. A környék remek infrastruktúrával rendelkezik.Bovebb információért keressen bármikor!Referencia szám: H431126","közepes állapotú","1950 elott","nincs megadva","nincs megadva","1","nincs megadva","nincs megadva","3 m-nél magasabb","cserépkályha","nincs megadva","nincs megadva","nincs megadva","nincs megadva","kelet","udvari","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"2","XIV. kerület, Istvánmezo","64,5 millió Ft","80 m²","3","XIV. kerületi Herminamezo frekventált részén eladóvá vált egy 1. emeleti, NAPFÉNYES, 2 ERKÉLYES, TÁGAS terekkel rendelkezo, KIVÁLÓ MINOSÉGBEN FELÚJÍTOTT OTTHON.A környék infrastruktúrája kiváló, bevásárlási lehetoségek (ALDI, Bosnyák téri piac), posta, iskola, óvoda, bölcsode, gyógyszertár, orvosi rendelok, stb. megtalálható a közelben. Az ingatlan a Thököly úton, de nem közvetlenül az út mellett elhelyezkedo, 1950-ben épült 3 emeletes, SZIGETELT, kiváló lakóközösséggel rendelkezo társasházban található. A háznak saját, belso kertje osztatlan közös tulajdon, akár családi, baráti grillezésre is lehetoség nyílik az itt lakóknak. Az épület rendezett, zárt lépcsoházzal rendelkezik, lift nincs. A lakáshoz tartozik egy zárható,  kizárólagos használatú, 9 nm-es tároló is, amely a pincében található. Az ingatlan zárt, rendezett lépcsoházból nyílik és a következo helyiségekbol áll: eloszoba, amerikai konyha + nappali, 2 szoba (15 nm, 15 nm), füroszoba+Wc, külön mellékhelyiség, háztartási helyiség, 2 külön erkély (mindketto külön helyiségbol megközelítheto, egyenként 2,25 nm). Az új tulajdonosnak akár további lehetosége van a 2 egymás mellett található, tágas szobából 3 szobát kialakítani.A lakás mind esztétikailag, mind muszakilag teljes köruen felújított. Az otthon melegérol rendszeresen karbantartott BOSCH cirkó kazán gondoskodik, ezen kívül a nappaliban nagy teljesítményu huto-futo klíma biztosítja a megfelelo homérsékletet az év minden napján. A beépített bútorok és gépek az ár részét képezik.A jelenlegi tulajdonosok közvetlenül a társasház mellett udvari autóbeállót bérelnek, ahol ELEKTROMOS AUTÓ TÖLTÉSI lehetoséget is kiépítettek, ennek bérlésére az új tulajdonosnak is lehetosége nyílik. (14.000 Ft/hó)  Kifejezetten ajánlom családoknak, akik nem szeretnének felújítással bajlódni, hiszen itt minden adott, ami egy igényes OTTHONhoz kell. Frekventált elhelyezkedése miatt továbbá irodának is kialakítható. További információért, illetve az ingatlan megtekintésévek kapcsolatban keressen bizalommal.Referencia szám: LK083055","felújított","1950 és 1980 között","nincs megadva","nincs megadva","1","nincs megadva","nincs megadva","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délkelet","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"3","XIII. kerület, Csata utca","101,5 millió Ft","95 m²","4","Erkélyes álom otthon.....A Csata utca, és a Hun utca sarkán kínálom eladásra ezt az új építésu, terasszal rendelkezo, kert kapcsolatos ingatlant, ahova beköltözött a napfény....Az ingatlan lokációja kiváló, a mindennapi élethez szükséges szolgáltatások mindegyike a közvetlen közelben, és Budapest belvárosai is csupán 10 percnyire található.A kivitelezo cég több mint 15 éves szakmai múlttal rendelkezik nagyobb beruházások, társasházak építésében.Ajánlom azok számára, akiknek fontos a minoség, az értékállóság, tökéletes választás saját részre, és befektetésnek is, hiszen likviditása, és kiadhatósága biztosított, mely jellemzok elosztása, mérete, és állapota miatt kiemelkedoen érvényesülnek.Várható átadás: 2021. negyedik negyedév A társasházban több hasonló ingatlant is kínálok. Jöjjön el, és lássa meg benne a lehetoséget....","jó állapotú","2021","összkomfortos","nincs megadva","3","nincs megadva","nincs megadva","3 m-nél alacsonyabb","hoszivattyú, mennyezeti hutés-futés","van","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","37 m²","nincs megadva","nincs megadva","teremgarázs hely - megvásárolható","5 000 000 Ft",NA
"4","VII. kerület, Külso-Erzsébetváros","34,9 millió Ft","44 m²","3","Budapesten, a Városliget szomszédságában, most irányáron eladóvá vált, egy emeleti, amerikai konyhás nappali+2 külön nyíló szobás lakás, 44 négyzetméteres, utcára nézo, Délnyugati fekvésu, nagyon világos, teljesen felújított, új villanyvezetékekkel, kondenzációs gázkazánnal, új burkolatokkal a tágas fürdoszobában, épített zuhanyzóval, modern konyhabútorral. A társasház tiszta és rendezett, jó lakóközösségu.Megtekinteni elore egyeztetett idopontban lehetséges,Az ár irányár","felújított","1950 elott","összkomfortos","nincs megadva","3","3","nincs","nincs megadva","gáz (cirko)","nincs megadva","20 E Ft/hó","nem","egy helyiségben","nincs megadva","utcai","nincs megadva","nem","legfelso emelet, nem tetotéri","utca, közterület",NA,NA
"5","XIII. kerület, Csata utca","102 millió Ft","95 m²","4","Erkélyes álom otthon.....A Csata utca, és a Hun utca sarkán kínálom eladásra ezt az új építésu, terasszal rendelkezo, kert kapcsolatos ingatlant, ahova beköltözött a napfény....Az ingatlan lokációja kiváló, a mindennapi élethez szükséges szolgáltatások mindegyike a közvetlen közelben, és Budapest belvárosai is csupán 10 percnyire található.A kivitelezo cég több mint 15 éves szakmai múlttal rendelkezik nagyobb beruházások, társasházak építésében.Ajánlom azok számára, akiknek fontos a minoség, az értékállóság, tökéletes választás saját részre, és befektetésnek is, hiszen likviditása, és kiadhatósága biztosított, mely jellemzok elosztása, mérete, és állapota miatt kiemelkedoen érvényesülnek.Várható átadás: 2021 negyedik negyedévA társasházban több hasonló ingatlant is kínálok. Jöjjön el, és lássa meg benne a lehetoséget....","jó állapotú","2021","összkomfortos","nincs megadva","3","nincs megadva","van","3 m-nél alacsonyabb","mennyezeti hutés-futés, hoszivattyú","van","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","37 m²","nincs megadva","nem tetotéri","teremgarázs hely - megvásárolható","5 000 000 Ft",NA
"6","VII. kerület, Külso-Erzsébetváros","41 millió Ft","63 m²","3","Budapest VII. kerüléteben, a városliget szomszédságában, irány áron eladóvá vált, egy tágas, 63 négyzetméteres 3 szobás, jó beosztású, teljesen felújított lakás.felújítás során kicserélték az összes villanyvezetéket, hidegburkolatokat, szanitereket, új kondenzációs gázgazán került beépítésre, ezen kívül beszerelésre került, egy magas minoségu konyhabútor, gépesítve. A társasház tiszta, rendezett, jó lakóközösségu. Megtekinteni elore egyeztetett idopontban lehetséges, az ár, irányár.","felújított","1950 elott","összkomfortos","nincs megadva","nincs megadva","3","nincs","nincs megadva","gáz (cirko)","nincs","30 E Ft/hó","nem","külön helyiségben","nincs megadva","utcai","nincs megadva","nem","legfelso emelet, nem tetotéri","utca, közterület",NA,NA
"7","XX. kerület, Pöltenberg utca","13,9 millió Ft","24 m²","1","AKÁR SAJÁT RÉSZRE, AKÁR BÉRBEADÁSRA IS KIVÁLÓAN ALKALMAS KIS LAKÁS ELADÓ!Pesterzsébeten  a Poltenberg utcában   24nm-es  1 szoba, konyhás, zuhanyzós - wc-s  lakás  keresi új tulajdonosát ! Az ingatlan futése gázkonvektorral, melegvíz ellátása  villanyboylerrel megoldott. Rezsije még a téli hónapokban is igen kedvezo. A válaszfalak futött lakásokkal határoltak. Bejárati ajtaja muanyag hoszigetelt, ablaka hagyományos fából készült mely csendes mellék utcára néz. Konyhája nagyméretu járólappal, szobája szalagparkettával burkolt. A lakás tájolása K-NY-i irányú.Az azonnal költözheto társasházi lakás  csendes, tágas  udvarról nyílik. A szomszédok barátságos  emberek.A lakáshoz 2db kisméretu tároló is tartozik. A tehermentes ingatlannak 1 tulajdonosa van.Irányára: 13.9MAki ilyen paraméteru lakást szeretne vásárolni, hívjon fel, jöjjön el, nézze meg személyesen.","jó állapotú","nincs megadva","nincs megadva","nincs megadva","földszint","2","nincs megadva","nincs megadva","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","egy helyiségben","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","utca, közterület - ingyenes",NA,NA
"8","XI. kerület, Kelenföld","38,9 millió Ft","40 m²","1 + 1 fél","Eladó a XI. kerületben, az újonnan épülo Etele pláza közelébenegy nagyon jó állapotú, 1,5 szobás lakás.A 2004-ben épült társasház 3 emeletén elhelyezkedo, 40 nm-es kis lakásból pazar kilátás nyílik. A madarak csicseregnek, a forgalom pedig minimális.A majd 20 négyzetméres amerikai konyhás nappali az utcára néz, ahonnan az ablakon kitekintve lombos fákat és családi házakat láthatsz. A 10 nm-es hálószóba a lakás másik végében található, ami a ház tágas belso udvarára néz, ahol is saját parkoló tartozik a lakáshoz.A rengeteg ablaknak köszönhetoen fény teríti be a szobákat, melyek így napkeltétol egészen napnyugtáig pozitív hangulatot árasztanak magukból. A kellemes hoérzetrol nyaranként a légkondicionáló míg télen pedig egy turbó cirkó kazán gondoskodik. A rezsi rendkívül alacsony, köszönhetoen többek között a teto dupla szigetelésének.Az Etele pláza hamarosan nyílik, ami mindössze 1 percre található a lakástól, ami lakás jövobeni értékét is növeli.A tömegközlekedés Budapest ezen a részén az egyik legjobb, hiszen a közelben villamosok, buszok, 4-es metró, valamint az ország távolabbi pontjaiban közlekedo vonatok találhatók.Az ingatlanhoz egy kerti tároló is tartozik.További kérdésekkel és megtekintéssel kapcsolatban keressen bizalommal a hét bármely napján.Referencia szám: LK017310","jó állapotú","2001 és 2010 között","nincs megadva","nincs megadva","3","nincs megadva","nincs megadva","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","északkelet","nincs megadva","nincs megadva","nincs megadva","tetotéri","nincs megadva",NA,NA
"9","V. kerület, Belgrád rakpart","89,9 millió Ft","38 m²","1","Dunai panorámás, nagyerkélyes szoba hallos 38 nm-es lakás eladó.Közvetitok segitségét nem kérem egyenloreÁr 89,9 millió","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","5 m²","nincs megadva","nincs megadva","nincs megadva",NA,NA
"10","XIII. kerület, Váci út","63,5 millió Ft","85 m²","4","***Fantáziadús központi lakás***Eladó a XIII. Kerületben egy 85 m2-es, erkélyes, 4. emeleti, liftes, 4 szobás, téglalakás.A lakásba lépve egy elotérbe lépünk, balra egy kamra és egy külön mosdó található. Tovább haladva egy konyha és egy tágas hall nyílik. Konyhából nyílik a lakás kisebbik szobája, aminek ablakai a belso udvarra néznek. A hallból nyílik a lakás fürdoszobája és a 2 tágas szobája, külön erkéllyel.A ház jó állapotban van, nagyon jó elhelyezkedésu.Központi, hiszen egy 5 perc sétára található a Westend.Tömegközlekedés:4-6-os villamos, 14-es villamosok.9,15,115,26,226 buszok76-os troliM3-as metróEgyedi igényekre szabott lakáshitelekkel állunk rendelkezésére. Bankfüggetlen hitelcentrumunk az országban elérheto összes bank és hitelintézet ajánlatát versenyezteti az Ön számára díjmentesen. Munkatársaink nagy szakmai tapasztalattal várják Önt az elore egyeztetett idopontban akár a normál munkaido után is.Bovebb információért és a megtekintéssel kapcsolatban hívjon bizalommal!","közepes állapotú","1950 elott","nincs megadva","nincs megadva","5","6","van","3 m-nél alacsonyabb","távfutés","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","kelet","utcai","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
