"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Parkolás","Parkolóhely ára","Tetotér","Panelprogram"
"87","VIII. kerület, Kisfaludy utca","57,9 millió Ft","97 m²","3 + 1 fél","Corvin negyedben, körúttól egy utcára, a Corvin Plázától 1 percre található ez a lehetoségekkel teli, TÁGAS terekkel rendelkezo lakás. 97m2-ben 3+1 félszoba, konyha-étkezo, kamra, fürdo-mosdó, külön wc, közlekedo és egy eloszoba lett kialakítva. Tulajdonosa a fürdoszobát, wc-t, az egyik nagy szobát, illetve a félszobát felújította. A többi helyiség felújítása új tulajdonosára vár. A 12 lakásos társasház lakói barátságosak. Anyagilag rendezett. 2012-ben a gázvezetékek lettek kicserélve, 2015-ben a teto lett felújítva, 2016-ban fejezték be az udvar térkövezését.Közlekedése kiváló!M3 metró, 4-6 villamos, buszok és trolik egyaránt megtalálhatóak a közelben.Amennyiben felkeltettem érdeklodését, keressen bizalommal.Ha nem veszem fel, VISSZAHÍVOM!INGYENES hitel tanácsadás!BANKFÜGGETLEN hitelcentrumunk minden elérheto bank és hitelintézet ajánlatát versenyezteti az Ön kedvéért, ráadásul DÍJMENTESEN.ID: 326443","közepes állapotú","1950 elott","összkomfortos","nincs megadva","2","2","nincs","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nem","nincs megadva","kelet","utcai","nincs megadva","nem","utca, közterület",NA,"nem tetotéri",NA
"88","VIII. kerület, Kisfaludy utca","160,89 ezer €","97 m²","3 + 1 fél","Corvin negyedben, körúttól egy utcára, a Corvin Plázától 1 percre található ez a lehetoségekkel teli, TÁGAS terekkel rendelkezo lakás. 97m2-ben 3+1 félszoba, konyha-étkezo, kamra, fürdo-mosdó, külön wc, közlekedo és egy eloszoba lett kialakítva. Tulajdonosa a fürdoszobát, wc-t, az egyik nagy szobát, illetve a félszobát felújította. A többi helyiség felújítása új tulajdonosára vár. A 12 lakásos társasház lakói barátságosak. Anyagilag rendezett. 2012-ben a gázvezetékek lettek kicserélve, 2015-ben a teto lett felújítva, 2016-ban fejezték be az udvar térkövezését.Közlekedése kiváló!M3 metró, 4-6 villamos, buszok és trolik egyaránt megtalálhatóak a közelben.Amennyiben felkeltettem érdeklodését, keressen bizalommal.Ha nem veszem fel, VISSZAHÍVOM!INGYENES hitel tanácsadás!BANKFÜGGETLEN hitelcentrumunk minden elérheto bank és hitelintézet ajánlatát versenyezteti az Ön kedvéért, ráadásul DÍJMENTESEN.ID: 326443","közepes állapotú","1950 elott","összkomfortos","nincs megadva","2","2","nincs","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nem","nincs megadva","kelet","utcai","nincs megadva","nem","utca, közterület",NA,"nem tetotéri",NA
"89","VIII. kerület, Kisfaludy utca","57,9 millió Ft","68 m²","2","SZOKATLANUL MAGAS BÉRLETI DÍJÉRT KIADVA, BÉRLOVEL EGYÜTT VESZI MEG? VAGYIS AZ ADÁSVÉTEL PILLANATÁTÓL KEZDVE MÁR “TERMELJEN” ÖNNEK A LAKÁS?VAGY INKÁBB SAJÁT RÉSZRE VÁSÁROLNÁ?DÖNTSE EL ÖN!Mindenesetre amit a vásárlással kap, az a következo:“SAJÁT” CORVIN PLAZA!“SAJÁT” 3-AS METRÓ!“SAJÁT” 4-6-OS VILLAMOS (NON-STOP)!A Klinikák CSAK 1 metrómegálló, azaz (várakozással együtt!) kb. 10 perc.Jó állapotú, rendezett, LIFTES ház.Friss és igényes felújítás.2 különnyíló szoba, tehát 2, egymástól független bérlo is bérelheti a lakást.Emiatt szuperkönnyen és jó díjért kiadható késobb is (bár a jelenlegi bérlo szeretne maradni, és a bérleti szerzodése 2022. augusztusig szól). Ha saját részre venné meg, akkor a bérlok 60 napos felmondási ido alatt elköltöznek.Cirkófutés.Muanyag nyílászárók.Ezek miatt alacsony rezsi.Minden kész a beköltözéshez.KRISTÁLYTISZTA jogi háttér. WOULD YOU BUY IT WITH TENANTS PAYING UNUSUALLY HIGH RENTING FEE, SO THE FLAT COULD PRODUCE MONEY TO YOU IMMEDIATELY FROM THE DATE OF THE PURCHASE CONTRACT?THE TENANTS WOULD LIKE TO STAY AT LEAST TILL AUGUST OF 2022, ACCORDING TO THEIR CONTRACT. OR WOULD YOU BUY IT FOR YOURSELF? OF COURSE, IN THAT CASE THE TENANTS WILL MOVE OUT WITHIN 60 DAYS. YOU DECIDE!WHAT DO YOU GET IF YOU BUY THIS FLAT?CORVIN PLAZA!METRO 3!TRAM 4-6 ALL DAY LONG!GOOD, TIDY HOUSE WITH LIFT.FRESHLY RENOVATED APARTMENT WITH BRAND NEW FURNITURE AND MACHINERY. 2 SEPARATED ROOMS, SO 2 INDEPENDENT TENANTS CAN RENT IT ALSO IN THE FUTURE. SUPEREASY TO LET IT OUT FOR RENTING EVEN LATER ON. CRYSTAL CLEAR LEGAL BACKGROUND.","felújított","1950 elott","összkomfortos","nincs megadva","4","5","van","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","egy helyiségben","dél","utcai","nincs megadva","nincs megadva","utca, közterület",NA,"nincs megadva",NA
"90","IX. kerület, Ráday utca","57,9 millió Ft","74 m²","3 + 1 fél","RÉSZBEN FELÚJÍTOTT 3,5 SZOBÁS LAKÁS REMEK ADOTTSÁGGAL, A RÁDAY UTCA CSENDES RÉSZÉN ELADÓ!Központi helyen rendkívül csendes lakás eladó. Tágas nappali, kilátással egy csendes, zöld belso udvarra, ebbol nyílik a 2 egyforma hálószoba. A félszoba alkalmas dolgozó vagy vendégszobának. Konyhája egy éve került cserére, fozésre alkalmas, kapcsolódik hozzá egy kellemes kis étkezohelyiség. A fürdoje kádas, nagyon tágas, a WC külön helyiségben került kialakításra.Alacsony rezsi - közös költség 15,5 eFt, minden fogyasztását egyedi mérés alapján fizetheti (jelenlegi átlag 25 eFt körül van).Remek lokáció, remek infrastruktúra. Közelben számos bevásárlási, szórakozási lehetoség van. Befektetésnek is remek lehetoség, könnyen bérbe adható. Elore egyeztetett idopontban megtekintheto, rövid idon belül birtokba veheto.","jó állapotú","nincs megadva","összkomfortos","nincs megadva","2","6","van","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nem","külön helyiségben","nincs megadva","kertre néz","nincs megadva","nincs megadva","nincs megadva",NA,"nincs megadva",NA
"91","XIV. kerület, Herminamezo","57,9 millió Ft","100 m²","4","Városligethez közel, nagypolgári lakás eladó!Azért nincsenek fenn fotók, mert jelenleg kipakolás alatt van az ingatlan.... Megtekintheto személyesen egyeztetett idopontban.Egyedi adottsága a lakásnak, hogy akár ketté is osztható, igy kaphatunk, egy 45nm, és egy 55nm-es lakást belole. Befektetési szempontból kiváló lehetoség, de akár egy többgyermekes családnak is kényelmes otthona lehet, Nappalija erkélyes, Zsolnai cserépkályha díszíti. 3 hálószoba van jelenleg, de alakítható.Nézze meg, tegyen ajánlatot, még mielott valaki megelozi!!!","jó állapotú","nincs megadva","nincs megadva","nincs megadva","3","nincs megadva","nincs megadva","3 m-nél magasabb","gáz (cirko)","van","nincs megadva","nincs megadva","külön és egyben is","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,"nincs megadva",NA
"92","VIII. kerület, Práter utca","57,9 millió Ft","99 m²","3","Eladó a Práter utcában, a Corvin sétánytól nem messze egy 3 szobás déli fekvésu, csendes, jó elosztású polgári lakás. Kisebb budapesti lakás csere is lehetséges. Elrendezésének köszönhetoen két önálló lakás is kialakítható.A lakásról:A lakás elrendezése kituno, a szobák tágasak, hatalmas déli fekvésu utcai nézetu ablakokkal.  A konyha és a cselédszoba összenyitásával egy szép nagy, 2 db kétszárnyas ablakkal rendelkezo étkezo-konyha került kialakításra. Az ingatlan hangulatos,  2. emeleti, (lift nincs), belmagassága 360 cm . A jelenlegi állapotában költözheto, de igény szerint a felújítási és családtámogatási rendszer igénybevételével, akár korszerusítheto is. Négy négyzetméteres tároló tartozik hozzá.Négy hónapon belül (lehet elobb is) költözheto. Közös költség: 17.500,- Ft mely tartalmazza a takarítás, szemétszállítás, és a közös képviselo díját, a felújítási alapot, valamint a ház biztosítását.A futése gázkonvektoros, a meleg víz ellátást villanybojler biztosítja. A vízfogyasztás vízórával mérheto. Az épületrol:A ház homlokzata felújított, a víz és szennyvízcsövek vezetékeit kicserélték, valamennyi kéményt kibélelték, a teto jó állapotú. A lépcsoház szintén felújított kulturált és tiszta. Az épület 3 emeletes, 16 lakásos, bejutás kóddal lehetséges. A lakók biztonságát kamerarendszer segíti. A környék is bekamerázott.A belso udvar hangulatos, növényekkel tarkított.Kiváló lehetoség befektetoknek, könnyen kiadható külföldieknek, egyetemistáknak, de egy nagyobb családnak is kiváló otthont jelenthet. A közelben nyolc egyetem 10-15 perc alatt elérheto. (SOTE, ELTE, CORVINUS, Pázmány Péter Katolikus Egyetem, Nemzeti Közszolgálati Egyetem, Óbudai Egyetem, Bánki Donát Gépész és Biztonságtechnikai Mérnöki Kar, KÖZGÁZ, BME)Környék:A lakás meglehetosen csendes, tekintve hogy az utca egyirányú, az Ülloi útra és Körútra jellemzo zajoktól mentes, a BKV egyetlen járata sem halad át rajta. A jövobeni értékét növelheti, hogy a 2022-es évben fasor, és kerékpárút kerül itt kiépítésre.Parkolás állandó lakcím esetén 1 évre néhány ezer forintból megoldható, egyébként fizeto övezet. A közelben óvodák, iskolák és szinte minden egyéb szolgáltatás megtalálható.Közlekedés: Az M3 és M4 Metró, a 4-es 6-os villamos, a 83-as trolibusz, és a 9-es busz is néhány perc alatt elérhetok.További kérdés esetén bátran hívhat 07:00 és 22:00 óra között.Hétvégén is dolgozom.","közepes állapotú","nincs megadva","nincs megadva","nincs megadva","2","3","nincs","3 m-nél magasabb","gáz (konvektor)","nincs","17 E Ft/hó","nincs megadva","külön helyiségben","dél","utcai","nincs megadva","nincs megadva","utca, közterület",NA,"nincs megadva",NA
"93","XI. kerület, Kelenföld","57,9 millió Ft","69 m²","3","INGATLAN HELYSZÍNE:Buda XI. kerületének egyik kedvelt részén helyezkedik el az ingatlan. A Kelenföldi PU., illetve az M1-M7 autópálya bevezeto 10 perc alatt elérheto, ahonnan mind Buda külso részei, többek közt az új ETELE Pláza, mind pedig a pesti belváros könnyedén elérheto, akár éjszaka is.ÉPÜLET JELLEMZOI: Az épület egy 1990-ben épült tégla építésu ház, 4db magán lakás található benne. Parkolásra egyelore az utcán van lehetoség, mely egy csendes célforgalmú kis utca, tervezik a tulajonosok a házhoz tartozó oldalsó bejáró rész parkolóvá alakítását, elektromos garázskapuval. Jelenleg egy a hátsó közös kert rendezett, de kihasználatlan. A társasház lakói összetartó, tisztaság- és rendszereto, barátágos emberek. LAKÁS JELLEMZOI:A Nyugati és Keleti tájolású lakás hivatalosan 69 nm-es, ehhez tartozik egy 3 m2-es erkély. A lakás 1 hónapja kapott egy teljes felújítást. Új vezetékek, csövek, burkolatok, új gépsített konyha, muanyag nyílászárók. A futésrol egy telejsen új kazán gondoskodik, a hutésrol vadiúj Split klímák a helységekben, illetve a meleg vízrol egy új Ariston boiler gondoskodik. Az ingatlan rendkívül jól alakítható, tágas terei jól kihasználhatóak. Véleményem szerint tökéletesen alkalmas egy család számára is az elrendezésébol adódóan. Rengeteg lehetoséget rejt magában, világos, csendes lakás.Amennyiben kérdése lenne illetve bármiben segíthetek várom hívását!Az alaprajz tájékoztató jellegu.","felújított","1981 és 2000 között","összkomfortos","nincs megadva","nincs megadva","nincs megadva","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","nincs megadva","nem","külön helyiségben","nincs megadva","kertre néz","3 m²","nem","utca, közterület - ingyenes",NA,"nem tetotéri",NA
"94","XI. kerület, Lágymányos - Muegyetem környéke","57,9 millió Ft","63 m²","3","XI.ker. SZENT GELLÉRT TÉR közvetlen közelében ELADÓ egy amerikai-konyhás nappali + 2 hálószobás, FELÚJÍTOTT lakás. A 63 nm-es lakás egy jó állapotban lévo négy szintes, liftes társasház elso emeletén található, melynek bejárata a szépen felújított függofolyosóról nyílik. Beosztása és térkihasználása praktikus és funkcionális. A lakásba belépve az eloszobából jobbra a tágas, amerikai konyhás nappali tárul elénk, melybol egy hatalmas hálószoba nyílik. A szobák ablakai a világos belso udvarra néznek, melyek elott nincs forgalom, mivel ez az utolsó lakás ezen a szakaszon. Szemben a fürdoszoba, jobbra pedig egy kisebb szoba, melynek ablakai egy világos, napos, a szomszéd házak által határolt hátsó udvarra néznek. Az ingatlant 3 éve teljes köruen felújították, a futést és a meleg vizet kondenzációs gázkazán biztosítja. A belvárosi stílust tükrözo lakás igazán barátságos és csendes, nyugodt otthont biztosítva tulajdonosának Buda egyik legfrekventáltabb helyén.A lakás befektetésnek is kiváló, jelenleg is bérlok lakják.A lakáshoz tartozik egy, a pince szinten lévo 6 nm-es tároló.A környék infrastruktúrája kiváló, egyetemek, gimnáziumok, bevásárló központ, kis boltok, éttermek, parkok, mind-mind könnyen elérhetoek.","felújított","1950 elott","összkomfortos","nincs megadva","1","nincs megadva","van","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","udvari","nincs megadva","nincs megadva","nincs megadva",NA,"nem tetotéri",NA
"95","VIII. kerület, Illés utca","57,9 millió Ft","75 m²","2","Tulajdonostól eladó a belvárosban a Klinikák-metró megállóhoz közel, a Füvészkertre nézo, teljes köruen felújított, világos, 1. emeleti, 75 m2-es, két szobás, erkélyes lakás 57.9 millió forintért. A ház homlokzata tavaly, a lakás idén lett felújítva a ház belso részének a felújítása a jövoben fog megtörténni. Közös költség 16.500 Ft.A lakás a Közszolgálati Egyetemtol, a Semmelweis Egyetemtol (Klinikák) és a gyönyöru Orczy parktól 300 méterre van szép környezetben. A szobák világosak, az egyik szoba az erkéllyel a Füvészkertre, a másik szoba a Dugonics utcára néz. A lakás teljes köru felújításon esett át (nyílászárók teljes köru cseréje, elektromos vezetékcsere, elektromos legkorszerubb futési rendszer kiépítése három fázis bevezetésével, radiátorok kiépítése, vízvezeték rendszer teljes cseréje, vízóra kiépítése, teljes köruen új burkolatok,  festés-mázolás,  parkett-csiszolás,  biztonsági bejárati ajtó, stb.).Befektetésnek is kiváló az elhelyezkedése és adottságai miatt.Gyorsan és stabilan kiadható, a Közszolgálati Egyetem, a Semmelweis Egyetem (Klinikák)  , közeli egyetemek és   irodaházak közelsége miatt. Ingatlanosok kérem ne keressenek.         dr. Zelei AndrásThe facade of the house last year, the apartment was renovated this year, the interior of the house will be renovated in the future. Price: 57.9 M Ft. Common cost HUF 15,600.The apartment is located 300 meters from the Civil Service University, Semmelweis University (Clinics) and the beautiful Orczy Park in beautiful surroundings.Rooms are bright, one with a balcony overlooking the Herb Garden and the other with Dugonics Street. The apartment has undergone a complete renovation (complete replacement of doors and windows, replacement of electrical wiring, installation of state-of-the-art electric heating system with three phases, installation of radiators, complete replacement of plumbing system, installation of water meter, completely new coverings, painting, parquet, security front door, etc.).It is also excellent for investment due to its location and capabilities.It can be issued quickly and stably, due to the proximity of the Civil Service University, Semmelweis University (Clinics), nearby universities and office buildings.Realtors please do not look. dr. András Zelei","felújított","1950 elott","összkomfortos","nincs megadva","1","3","nincs","3 m-nél magasabb","elektromos","nincs megadva","16,5 E Ft/hó","nincs megadva","külön helyiségben","délkelet","utcai","4 m²","nincs megadva","utca, közterület - fizetos övezet",NA,"nem tetotéri",NA
"96","V. kerület, Szent István körút","57,9 millió Ft","66 m²","3","Tulajdonostól Eladó a Nyugati tér közvetlen közelében a Szent István körúton, 1.emeleti, belso udvarra nézo gázcirkófutéses lakás.A kiváló lokációnak köszönhetoen számos lehetoség rejlik benne.Kiváló lehet irodának, orvosi rendelonek vagy a belvárosi lakást kedveloknek egyaránt.Vígszínház 3 perc, Margit -sziget 10 perc sétával megközelítheto.Az ingatlan 66 nm, háromszobás, galériázhatóak a nagy belmagasságnak köszönhetoen.Külön wc-vel, nagy fürdoszobával rendelkezik. A burkolat a szobákban parketta a fürdoszobában járólap.Biztonsági bejárati ajtóval rendelkezik.A lépcsoház-és belsoudvari felújítás jelenleg is folytatódik, egy korszerubb, esztétikusabb épületmegjelenésért.Tömegközlekedéssel is nagyon könnyen megközelítheto, több lehetoséggel is.Számos üzlet, vásárlási lehetoség megtalálható a közelben. Az ingatlan per-és tehermentes. Rövid határidovel birtokba veheto.Csendes lakóközösség, igazán értékálló befektetés.Ingatlanközvetítok kérem NE keressenek!","nincs megadva",NA,"nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,"nincs megadva",NA
"97","XIV. kerület, Bosnyák utca","57,9 millió Ft","69 m²","2 + 1 fél","Zuglóban a Tisza István térhez közel, remek infrastruktúrával eladó egy harmadik emeleti, tégla építésu, világos lakás. A Bosnyák utcai ingatlanban 69 nm-en helyet kapott két egymásból nyíló egész szoba (24 és 17 nm) egy félszoba (9 nm), eloszoba (6 nm), konyha (5 nm), fürdoszoba (5 nm), külön wc, spájz, erkély (2 nm). A lakás 2013- ban teljesköru felújításon esett át, víz- és villanyvezetékek, nyílászárók cseréje megtörtént. Az ablakok szúnyoghálóval, redonnyel rendelkeznek. Futése gáz konvektoros, a lakás klímával felszerelt. A meleg vizet villanybojler szolgáltatja. A konyhában beépített, modern IKEA konyhabútor. A lakásban riasztórendszer van kiépítve, igény esetén távfelügyelet is elofizetheto.Az utcán fizetos parkolás lehetséges, így mindig van hely a helyi lakosoknak. A tömegközlekedés kiváló: Bosnyák tér 5 perc sétával elérheto. Busz- és trolimegálló a lakástól fél percnyire. Buszok: 7, 8E, 108E, 110, 112, 133E. Troli: 82-es trolival az Örs vezér tere 20 perc alatt elérheto. Csak magánszemélyek jelentkezését várom, ingatlanközvetítok segítségét nem veszem igénybe!","felújított","1950 és 1980 között","összkomfortos","nincs megadva","3","4","nincs","3 m-nél alacsonyabb","gáz (konvektor)","van","nincs megadva","nincs megadva","külön helyiségben","nincs megadva","utcai","2 m²","nincs megadva","utca, közterület - fizetos övezet",NA,"legfelso emelet, nem tetotéri",NA
"98","VII. kerület, Nagy Diófa utca 14.","57,9 millió Ft","29 m²","1","Eladásra kínáljuk vevokijelölés útján a Grand'or épület legfelso 6. emeletén található garzon lakását.A lakásnak már van egy eloszerzodött vevoje, de élne vevokijelölési jogával és átadná a lehetoséget, hogy más kössön már végleges adásvételi szerzodést a Cordiával, mint fejlesztovel.A lakásról:Ez a nagyon napos, 6. emeleti garzon, több szempontból sem átlagos. Egyrészt maga a szállodajellegu elegáns épület miatt, másrészt a mennyezeti huto-futo rendszer miatt, és a sok extra miatt sem, amit a korábbi vevonk kért a lakás kiépítése során. Így került bele elektromos redony, kádparaván, vinyl padlóburkolat és feláras hidegburkolatok a fürdoszobába, valamint CPL beltéri ajtók.A lakás külön érdekessége, hogy egyedülálló módon egy 1,5 m2-es zárható tároló is nyílik a teraszról, ezzel is növelve a pakolási felületet.A lakásba lépve, rögtön egy nagy beépített szekrénynek alkalmas hely van a bejárati ajtó mellett. Innen az eloszobából nyílik a fürdoszoba, ahol a wc, mosdó, kád és a mosógép kiállás is található. A szobában az ajtó mögött falon egy teljes kis konyhát lehet majd kiépíteni, aminek a csatlakozási elokészítései már megvannak. A nappali nagyon világos, és a teret növeli a fedett terasz is, ami a kellemes belsokertre, valamint a szemben lévo szintén új építésu házra néz.A lakást a liftektol egy belso és egy külso, a szabadba vezeto folyosón át is meg lehet közelíteni.Mivel jelenleg még építési területnek számít a ház, így elore egyeztetett idopontban természetesen megtekintheto a lakás!Jöjjön és nézze meg!Az épületrol:A híres budapesti bulinegyed pezsgo forgataga vonzó célpont a fiatalok, diákok és turisták számára. A belvárosi éttermek és romkocsmák hangulata, a környékbeli szolgáltatások minosége, a fovárosi nevezetességek közelsége mind hozzájárul a környék népszeruségéhez. Ennek centrumától egy utcányira helyezkedik el a 7. kerületi új építésu Grand’Or, amely a belvárosi lokáció minden elonyét magában hordozza.Bármerre is indul a városban, a környéken mindig megtalálja a legjobb lehetoséget a közösségi közlekedésre. A 4-6-os, 47-es és 49-es villamosok mellett a 2-es és 3-as metróvonal, a 74-es trolibusz, valamint számos nappali és éjszakai buszjárat érheto el csupán pár perces sétával. A legnépszerubb üzletek, éttermek, szolgáltatások, bevásárlóközpontok, illetve kulturális és szórakozási lehetoségek szintén megtalálhatók a közelben.Az épület nemcsak tökéletes belvárosi elhelyezkedése, de egyedi tervezése és építészeti megoldásai miatt is kiváló lehetoséget nyújt azoknak, akik jó megtérüléssel adnának ki lakást. A 6 emeletes épületben összesen 107, változatos kialakítású funkcionális otthon kap helyet.A kivitelezés befejezo stádiumban van, a lakások elo muszaki átadása megkezdodött. A használatbavételi engedélyezési eljárás elindul, az épületen pedig az átadáshoz szükséges befejezo munkák zajlanak. Költözés várhatóan novembertol lehetséges.","új építésu","2021","összkomfortos","nincs megadva","6","6","van","3 m-nél alacsonyabb","mennyezeti hutés-futés","van","nincs megadva","nincs megadva","egy helyiségben","délnyugat","kertre néz","5 m²","nincs megadva","nincs megadva",NA,"legfelso emelet, nem tetotéri",NA
"99","XIII. kerület, Népfürdo utca","57,9 millió Ft","51 m²","2","XIII. kerületben a RiverSide lakóparkban eladó egy II. emeleti, parkra nézo és Dunára panorámás, rendkívül napos, 46NM-es lakóteru + 11NM-es terasszal rendelkezo, jó elosztású, amerikai konyha - nappali + 1 hálós, klímával is felszerelt lakás.A házban lévo extrák, amelyeket kizárólag a lakók használhatnak INGYENESEN: non-stop porta szolgálat, uszoda, Wellness és fitness részleg muködik.Eladási ár: 57,9Mo FtGarázs vásárolható 5-7Mo Ft között Azonnal költözheto! RiverSideban és RiverLoftban további eladó - kiadó ingatlan ajánlatainkért bizalommal hívjon!","jó állapotú","2001 és 2010 között","összkomfortos","nincs megadva","2","7","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","van","50 E Ft/hó","igen","egy helyiségben","dél","panorámás","11 m²","nincs megadva","teremgarázs hely - megvásárolható","5 000 000 Ft","nincs megadva",NA
"100","VII. kerület, Garay utca 50.","57,9 millió Ft","70 m²","2 + 1 fél","Tulajdonostól eladó az épülo múzeumnegyed mellet, a Garay utcában egy két és fél szobás igényesen felújított 70 m2-es 3. emeleti, tágas, világos lakás. Saját részre készült ezért muszakilag es esztétikailag is teljesköru felújításra került: -Új futés / víz / csatornarendszer-Energiatakarékos kondenzációs gázkazán-Új villamoshálózat-Huto-futo klimaberendezés WIFI funkcióval-Modern ho- és hangszigetelt muanyag ablakok es bejárati ajtó-Hang es hoszigetelt belso falak-Prémium minoségu burkolatok es szaniterek-Beepitett konyha, furdoszoba es gardrobszekreny-Komplett butorzattal egyutt    A lakás különösen nyugodt és csendes, utcazaj mentes. Az egyetlen szomszéddal közös fal hangszigetelt, így zaj nem hallatszik át. A ház kívül-belül szép állapotú, tiszta, és rendezett anyagi háttérrel rendelkezik. A lakóközösség kellemes és barátságos. A ház rendelkezik saját kerékpártárolóval továbbá orzött mélygarázs hely a szomszédos épületben bérelheto. A lakás tehermentes, akár azonnal költözheto.Ingatlanközvetítok kérem ne keressenek! Köszönöm!","újszeru","nincs megadva","összkomfortos","nincs megadva","3","3","nincs megadva","3 m-nél magasabb","gáz (cirko)","van","nincs megadva","nincs megadva","külön helyiségben","nincs megadva","utcai","nincs megadva","nem","teremgarázs hely - bérelheto","12 000 Ft/hó","legfelso emelet, nem tetotéri",NA
"101","VII. kerület, Garay utca 50.","161 ezer €","70 m²","2 + 1 fél","Tulajdonostól eladó az épülo múzeumnegyed mellet, a Garay utcában egy két és fél szobás igényesen felújított 70 m2-es 3. emeleti, tágas, világos lakás. Saját részre készült ezért muszakilag es esztétikailag is teljesköru felújításra került: -Új futés / víz / csatornarendszer-Energiatakarékos kondenzációs gázkazán-Új villamoshálózat-Huto-futo klimaberendezés WIFI funkcióval-Modern ho- és hangszigetelt muanyag ablakok es bejárati ajtó-Hang es hoszigetelt belso falak-Prémium minoségu burkolatok es szaniterek-Beepitett konyha, furdoszoba es gardrobszekreny-Komplett butorzattal egyutt    A lakás különösen nyugodt és csendes, utcazaj mentes. Az egyetlen szomszéddal közös fal hangszigetelt, így zaj nem hallatszik át. A ház kívül-belül szép állapotú, tiszta, és rendezett anyagi háttérrel rendelkezik. A lakóközösség kellemes és barátságos. A ház rendelkezik saját kerékpártárolóval továbbá orzött mélygarázs hely a szomszédos épületben bérelheto. A lakás tehermentes, akár azonnal költözheto.Ingatlanközvetítok kérem ne keressenek! Köszönöm!","újszeru","nincs megadva","összkomfortos","nincs megadva","3","3","nincs megadva","3 m-nél magasabb","gáz (cirko)","van","nincs megadva","nincs megadva","külön helyiségben","nincs megadva","utcai","nincs megadva","nem","teremgarázs hely - bérelheto","12 000 Ft/hó","legfelso emelet, nem tetotéri",NA
