"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Parkolóhely ára"
"1","XI. kerület, Fibula utca 15.","87 millió Ft","71 m²","3","A dunai panorámával rendelkezo, közvetlen a Duna mellett épülo társasház tökéletes választás azok számára akik nyugalmas környezetben modern lakást keresnek.Az épület homlokzata mintázatában tükrözi a Duna közelségét, részét képezi a környezetének, az országban egyedülállóan az elso lakóház ami teljes üvegezést kap.A lakóegyüttes a XI. és a XXII. kerület határán, a közkedvelt budai oldalon fekszik, mely a fováros egyik legkeresettebb városrésze, remek döntés azok számára, akiknek egyaránt fontos a lakóhelyük nyugalma és a város könnyu megközelíthetosége.A projekt környezete folyamatosan bovül, új építésu lakóparkok, infrastrukturális fejlesztések folynak. A területen zajló beruházások biztosítékul szolgálnak arra, hogy az ingatlanba fektetett toke hosszútávon is értékálló marad.A lakóépület üzemeltetését levegos hoszivattyús kialakítású rendszer végzi, valamint a korszeru energiafelhasználás jegyében a homlokzati tömör panelek kedvezo tájolású részeit energiatermelo cellákkal látjuk el.Az új építésu lakásokra vonatkozó Energetikai Tanúsítványok beszerzése során az általunk szervezett épületek minden esetben megkapták az „A+++” minosítést.Már a tervezoasztalon elso számú szempont volt, hogy a magas színvonal ne csupán a megvalósítás helyszínében jelenjen meg, hanem a korszeru és idotálló anyagok használata során is.A négy toronyban -az összesen 276 db lakás mellett- közösségi tér, családi napközi, edzoterem, mélygarázs, teremgarázs, és tárolók biztosítják a leendo tulajdonosok kényelmét.Elso ütemben a B épület építését és értékesítését kezdjük 85 lakással.A  földszinten lévo garázsok feletti rész feltöltött, így az elso emeleti lakások kertkapcsolatosak.","új építésu","2023","összkomfortos","AA++","9","több mint 10","van","3 m-nél alacsonyabb","hoszivattyú","nincs megadva","nincs megadva","igen","külön és egyben is","délnyugat","panorámás","25 m²","nem","nem tetotéri","teremgarázs hely - megvásárolható","4 500 000 Ft"
"2","VI. kerület, Andrássy út","87 millió Ft","47 m²","1 + 1 fél","Andrássy AvenueAt the beginning of Andrássy Avenue, on the 1st floor of a beautiful building, an beautifully renovated apartment with American kitchen+1bedroom for sale.Andrássy út elején, gyönyöru épület 1. emeletén eladó egy 3 szobás felújított polgári lakás.","nincs megadva",NA,"nincs megadva","nincs megadva","nincs megadva","nincs megadva","van","3 m-nél magasabb","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","utcai","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA
"3","I. kerület, Krisztina körút","87 millió Ft","68 m²","2 + 1 fél","Az ingatlan a vérmezore néz.Örök panorámás.Nyílászáró cseréje részben megtörtént.A lakás felújítandó.Jó beosztású.2 szoba hallos plusz fürdoszoba,konyha kis spájz.Vízóra lakásban, gázóra és villanyóra elotérben.Gázkonvektor a 2 szobában.Az ár alku képes.Ingatlanosoknak:-Ha vevot hoz akkor beszélünk.-szerzodést ingatlanossal nem kötök-szóbeli megállaodás lehet","felújítandó","nincs megadva","összkomfortos","nincs megadva","4","5","van","3 m-nél magasabb","gáz (konvektor)","nincs megadva","11,7 E Ft/hó","nincs megadva","egy helyiségben","nincs megadva","panorámás","3 m²","nincs megadva","nem tetotéri","utca, közterület - fizetos övezet",NA
"4","XIV. kerület, Thököly út","87 millió Ft","123 m²","3 + 1 fél","A XIV. kerületben eladó egy 123 nm-es 4 szobás dupla komfortos,  utcai lakás. Két generáció számára vagy akár két különálló lakásként is használható, mivel két konyha és fürdo található benne. Mindkét részben saját méroórák találhatóak. A második bejárat is megoldható.A két nagy szoba utcára néz , külön és egybe is nyílik, az egyik galériázott. A kis szoba udvari nézetu.A ház gyönyöruen karbantartott  muemlék épület.Kiváló közlekedés. Iskolák, óvodák közel vannak.  Városliget pár perc sétával elérheto.Vevoknek szolgáltatásaink ingyenesek!Bankfüggetlen, díjmentes hiteltanácsadás,energetikai tanúsítvány készítése egy nap alatt,értékesítés gyorsan és profin, akár 3%-os sikerdíjtól.""A Belvárosban otthon vagyunk!""","jó állapotú","1950 elott","duplakomfortos","nincs megadva","félemelet","5","van","3 m-nél magasabb","gáz (konvektor)","nincs","nincs megadva","nem","külön és egyben is","északkelet","utcai","nincs megadva","nem","nem tetotéri","utca, közterület - ingyenes",NA
"5","XI. kerület, Kelenföld","87 millió Ft","78 m²","3","Zöldhitel és gyermekeket vállaló házaspároknak illetve gyermekeket nevelo  családoknak kamatmentes hitel felvételére alkalmas","új építésu","2021","összkomfortos","BB","2","10","van","3 m-nél alacsonyabb","mennyezeti hutés-futés, megújuló energia","van","nincs megadva","igen","külön helyiségben","dél","utcai","13 m²","nem","nem tetotéri","teremgarázs hely - megvásárolható","5 000 000 Ft"
"6","VII. kerület, Barát utca 11.","87 millió Ft","83 m²","2 + 1 fél","VII. kerület Barát utca 11.-ben, emeleti, 2,5 szoba+hall összkomfortos, 83 nm-es, téglaépítésu lakás, tulajdonostól eladó! A ház 1937-ben épült, Bauhaus stílusú, zárt lépcsoházas, --15 lakásos -- társasház! A lakás I. emeleti, 2,5 szoba + hall + konyha + fürdoszoba + WC + erkély + spájz + stb. Tájolása: délkeleti-délnyugati, száraz, csendes, világos! Alacsony -- 15.000Ft -- közös költség, egyedi futés. A szobák külön-külön nyílnak.  Belmagasság 3m. A lakáshoz egy pincetároló tartozik.  A képek a felújítás elott készültek! 1/1 tulajdonos, magánszemély vagyok! Közvetítoi segítséget nem kérek!Appartement á vendre! 2,5 chambre + salle á manger + cuisine + salle de bain + WC + balcon + cave + etc.. Faible -- 15.000Ft -- charge, chauffage individuel. Je suis particulier!! Les photos été faites avant la rénovation!  Je suis particulier et propriétaire! Je parle français..!.  Prix  € 243.000 ( (Deux-Cent-Quarante-Trois-Mille euros)","jó állapotú","1950 elott","összkomfortos","nincs megadva","1","3","nincs megadva","3 m-nél alacsonyabb","gáz (konvektor)","nincs megadva","15 E Ft/hó","nincs megadva","külön helyiségben","délnyugat","nincs megadva","3 m²","nincs megadva","nem tetotéri","nincs megadva",NA
"7","VII. kerület, Barát utca 11.","243 ezer €","83 m²","2 + 1 fél","VII. kerület Barát utca 11.-ben, emeleti, 2,5 szoba+hall összkomfortos, 83 nm-es, téglaépítésu lakás, tulajdonostól eladó! A ház 1937-ben épült, Bauhaus stílusú, zárt lépcsoházas, --15 lakásos -- társasház! A lakás I. emeleti, 2,5 szoba + hall + konyha + fürdoszoba + WC + erkély + spájz + stb. Tájolása: délkeleti-délnyugati, száraz, csendes, világos! Alacsony -- 15.000Ft -- közös költség, egyedi futés. A szobák külön-külön nyílnak.  Belmagasság 3m. A lakáshoz egy pincetároló tartozik.  A képek a felújítás elott készültek! 1/1 tulajdonos, magánszemély vagyok! Közvetítoi segítséget nem kérek!Appartement á vendre! 2,5 chambre + salle á manger + cuisine + salle de bain + WC + balcon + cave + etc.. Faible -- 15.000Ft -- charge, chauffage individuel. Je suis particulier!! Les photos été faites avant la rénovation!  Je suis particulier et propriétaire! Je parle français..!.  Prix  € 243.000 ( (Deux-Cent-Quarante-Trois-Mille euros)","jó állapotú","1950 elott","összkomfortos","nincs megadva","1","3","nincs megadva","3 m-nél alacsonyabb","gáz (konvektor)","nincs megadva","15 E Ft/hó","nincs megadva","külön helyiségben","délnyugat","nincs megadva","3 m²","nincs megadva","nem tetotéri","nincs megadva",NA
"8","XIII. kerület, Angyalföld - Loportárdulo","87,01 millió Ft","86 m²","4","Fiatalos koncepció okos megoldásokkalA Young City nem csak nevében szól a fiatalokhoz: a modern lakópark a 21. század városi életmódjának és technológiáinak megfeleloen van felszerelve. A 13. kerületbol gyorsan megközelítheto a belváros, így ideális választás az aktív életet élok számára is. A közösségi területeken ingyenes wifi teszi kényelmesebbé a mindennapokat, míg az új lakásokban olyan okosotthon-rendszerek elonyeit élvezhetik a lakók, melyek távolról, mobiltelefonról vezérelhetok.Közösségi életterek felnotteknek és gyerekeknekA Young City otthonokhoz gondosan kialakított közösségi tereket is kapnak az itt lakók. Az épület földszintjén közösségi iroda, a parkosított közös kertben pedig számos játék áll majd rendelkezésre. Az épület közelében modern játszóteret is találunk, de bármikor meglátogathatjuk a Margit-szigetet és a Városligetet is.Sport a saját kertedbenTudjuk, hogy a sport és a szabad levegon töltött ido elengedhetetlen a teljes élethez. A Young City segít az egészséges életmódot követoknek: a parkosított, közös kert szabadtéri edzoparkja, jógakertje és futópályája mindig lehetoséget ad a kikapcsolódásra.Kellemes környezetben, közel a belvároshozA Young City a 13. kerület egyik legzöldebb környékén épül. Az 1-es villamos és az M3-as metróvonal állomásai gyalog csupán néhány percre találhatók, az Árpád híd pesti hídfojénél pedig számos üzlet és szolgáltató érheto el. A lakópark így egyszerre kínálja a városi és a zöldövezeti élet elonyeit Angyalföldön, Pest egyik legkedveltebb városnegyedében.","új építésu","2021","összkomfortos","nincs megadva","8","9","van","nincs megadva","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","külön és egyben is","délnyugat","udvari","10.05 m²","nem","nem tetotéri","teremgarázs hely - megvásárolható",NA
"9","XI. kerület, Kánai út","87,1 millió Ft","69 m²","3","Az Atenor által fejlesztett Lake11 Home&Park egyedi tervezésu, környezettudatos otthonai csodás panorámával, Budapest 11. kerületében Koérbereken, közvetlenül a Kánai-tóra, a környezo budai dombokra vagy a gyönyöru belso kertre tájoltak és mindössze 10 percre találhatóak a budai belvárostól. Az épületeket négy kiváló építésziroda álmodta meg. A modern és letisztult, ugyanakkor önálló építészeti stílusjegyeket hordozó épületek és a természet között egységes tájépítészeti koncepció teremti meg a harmóniát. Az egyszobás stúdiólakástól a 2-3 és 4 hálószobás 150 m2-es családi, prémium és penthouse lakásokig, minden élethelyzetnek megfelelo lakástípus elérheto a lakóparkon belül. A hatalmas üvegablakokkal rendelkezo belso kétszintes DUPLEX apartmanjai, valamint extra nagy alapterületu prémium lakásai pedig valódi alternatívát kínálnak a családi házat keresok számára is.A hatalmas, zöld parkokkal körülvett modern élettérben lehetoséged lesz sportolni, kikapcsolódni, dolgozni, gyereket nevelni, pihenni és feltöltodni. Egyszóval élni. Ezt nyújtja az új Lake11 Home & Park. A te otthonod az életstílusodra és zöldre hangolva.Szinte minden városi szolgáltatás pár perc autózással elérheto, legyen szó moziról, bevásárlásról, találkozóhelyekrol. A gyors bejutáshoz persze nem kell mindig autót használni. A 187-es busz és a 41-es villamos is a lakóparknál áll meg. De az M1, M7 és M0 autópályák is könnyen elérhetoek, így nagyon gyorsan kijutunk a városból, akár a Velencei-tóra, akár a Balatonra indulunk. A Lake11 területén zöld parkok, csökkentett forgalmú sétálóutcák, kutyafuttató, játszótér és tó körüli futópálya gondoskodik az itt élok mindennapi kényelmérol és szabadtéri kikapcsolódásáról. A közelben számos lovarda, már kiépített uszoda, strand, fitneszterem, síiskola, tenisz- és squashpálya várja a beköltözoket. A lakóparkot körülölelo dombok, az Atenor fejleszto által telepített rengeteg fa által alkotott belso pihenokertek és park office lehetoségek a tóparttal pedig megteremtik a legfontosabbat: a természet közelségét, hogy minden egyensúlyba kerüljön. A Kánai-tó körül kiépülo sétány és futópálya, piheno pontokkal megújuló óriási zöld park, család- és gyermekbarát fejlesztések várják majd az itt éloket.A LAKE11 minden otthona az átlagnál tágasabb belso terekkel, jól kihasználható teraszokkal, igényes homlokzati burkolatokkal, a legkorszerubb muszaki, valamint okosotthon-megoldásokkal várja leendo lakóit. Az alapárban gépesített konyhát és külso árnyékolót kínálunk. A fejlesztés keretén belül az ATENOR a közvetlen helyi infrastruktúrát is fejleszti többek közt orvosi rendelo létesítésével.                                                                                                                                                                                 Az elsok között regisztrációs szerzodést aláíró kedves ügyfeleink számára, jelentos elonnyel kínáljuk lakásainkat!  • Bevezeto árak• Mindössze 2 M Ft regisztrációs díjjal és kedvezo fizetési ütemezéssel lefoglalhatja leendo új otthonát• A jelenlegi lakás alaprajzok építészeti kialakítása még díjmentesen módosítható • Minden lakáshoz foglalható gépkocsibeálló• Az alapárban gépesített konyhát és külso árnyékolót kínálunk.","új építésu","2023","nincs megadva","nincs megadva","2","5","van","3 m-nél alacsonyabb","hoszivattyú, mennyezeti hutés-futés","van","nincs megadva","nincs megadva","nincs megadva","dél","nincs megadva","16.08 m²","nem","nem tetotéri","teremgarázs hely",NA
"10","XIII. kerület, Cserhalom utca","87,16 millió Ft","85 m²","4","Város Otthon Vízpart - GrandeA XIII. kerületen belül kiemelt övezetnek számít a Duna melletti Vizafogó. Ezen a városrészen belül is akad egy igazi kedvenc: a Foka-öböl közvetlen környéke, ahol valóban egy rövid sétára helyezkedik el a folyó. Prémium épített környezet, nagy természetes terek, hajókiköto, esti séták a duna-parti sétányon, közös grillezés a tetoteraszon vagy vacsora a saját erkélyen.A helyszín - autóba pattanva - mindössze 10 percre fekszik a belvárostól, de a gépkocsi kifejezetten csábító alternatívája az M3-as metró vagy a fejlett kerékpárút-hálózat.Ebben a milioben épül a Duna Terasz Grande, mely a lakóit olyan szabadságérzéssel kényezteti, amely csak a vízparti területek sajátja.Az épületpárban megtalálható legkisebb lakás 30 m2-es, amely elso önálló otthonként nagyszeru választás. Választékos a kínálat a másfélszobás lakásokból. Gondoltunk a családokra is, a 2-4 szobás, tágas otthonok kínálatával, egészen 117 m2-ig.A legfelso szintre design penthouse lakásokat képzeltünk el helyenként rendhagyó, íves falakkal az igazán egyedi és extravagáns enteriort kedveloknek.A lakásokban korszeru felszereltség, okos otthon elokészítés és energiatakarékos hoszivattyús mennyezeti huto-futo rendszer nyújt ideális otthont azoknak, akik a környezetükre és jövojükre tudatosan tekintenek.A várható átadásunk: 2023. március","új építésu","2023","összkomfortos","nincs megadva","1","9","van","nincs megadva","mennyezeti hutés-futés","nincs megadva","nincs megadva","nincs megadva","nincs megadva","dél","kertre néz","28.2 m²","nincs megadva","nincs megadva","nincs megadva",NA
