"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Panelprogram","Parkolóhely ára"
"1","VII. kerület, Alsó erdosor","46,9 millió Ft","87 m²","3","Megvételre kínálok az Alsó erdosoron egy 87 m2-es, 3 szobás, 3. emeleti (lift nincs), dupla bejáratos otthont. Az északnyugati tájolású lakás két nagy szobája a Munkás utcára néznek, az alacsonyabb társasházaknak köszönhetoen a szomszédos tetoket lehet látni, így nem kell elfüggönyözni a szobákat. Mind a két hálóban galéria található. Az ingatlan bizonyos részeit felújították, mint pl az összes ablakot, amik ki lettek cserélve, két új konvektor lett 2020-ban beszerelve, valamint a meleg vízért felelos bojler helyén is új található. A társasház jó állapotú, a tetot felújították és a gázvezetékeket nemrégiben cserélték, valamint a homlokzatot is pár éve renoválták. A közös költség 22.000 Ft, ami a felújítási alapot és a vízfogyasztást is tartalmazza. A futésért átalányban 6000 Ft-ot kell fizetni. Az ingatlan diákoknak volt kiadva, jó lokációjának, könnyu megközelíthetoségének köszönhetoen hasonló hasznosításra kifejezetten ajánlom. De családosoknak és pároknak is megfelelo otthonná válhat.","közepes állapotú","1950 elott","összkomfortos","nincs megadva","3","4","nincs","3 m-nél magasabb","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","északnyugat","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"2","VII. kerület, Akácfa utca","46,9 millió Ft","49 m²","2","Tulajdonostól!!!Eladásra kínálom a teljesköruen (2018.08 lett kész) felújított igényes lakásomat  Belso Erzsébetváros folyamatosan fejlodo részén.A lakás ablakai a Wesselényi utcára néznek a bejárat pedig az Akácfa utcából nyílik.A lakás jelenleg rövidtávon van hasznosítva.A társasház lépcsoház festése tavasszal vagy koranyáron fog elkezdodni.Teljesköru felújítás:-Hangszigetelt muanyag nyílászárók-Villamosenergia fejlesztés dupla villanyóra H tarifa a futésnek.-A teljes lakásban álmennyezet felette szigetelés lett kiépítve.-Villanyvezetékek teljes cseréje.-Az összes világítótest Led vagy A++ Philips égok.-Design lámpatestek. -Huto futo Gree Inverteres A++ WiFi Klimák-Új vizhálózat és Vízóra -Elektromos redony és riasztó elokészítés.-Magas minoségu parketta,Greslap,tapéta.-Beépített IKEA konyhabútor.(Indukciós Fozolap,Süto,Beépitett huto,Páraelszivó)-Teljes bútorzattal(IKEA,KIKA)-Beépített ruhásszekrény.-LG mosógép.-Belso ajtók teljesen újak,fürdoszoba üveg tolóajtó.-Ariston elektromos villanybojler,króm nemesacél elektromos törülközoszárító.Kisebb konyhai eszközök és tv kivételével minden a lakásban marad(2.M. Ft összértéku bútorzat)Megtekintés vagy bovebb tájékoztatás igénye esetén várom megtisztelo hívását hétköznap és, hétvégén is egyaránt.","felújított","1950 elott","összkomfortos","nincs megadva","2","4","van","3 m-nél magasabb","fan-coil","van","nincs megadva","nincs megadva","külön helyiségben","délnyugat","utcai","nincs megadva","nem","nem tetotéri","utca, közterület",NA,NA
"3","VI. kerület, Izabella utca","46,9 millió Ft","65 m²","3","Csodaszép társasház magas földszintjén eladó 3 szobás, 65 m2, nagypolgári lakás.Kiváló, felújított állapot. Futés gáz cirkó rendszer.Belmagasság 400 cmHelyiségek:konyha-étkezo      10 m²fürdoszoba-WC6 m²kamra                1 m²szoba              19 m²szoba              17 m²szoba              11 m²közlekedo        5 m²Az ingatlanon belül a szobákon kívül található még egy tároló / háztartási helység is.A közlekedés kiváló, lakóközösség rendezett.Az ingatlan tehermentes, azonnal költözheto. Az adatok tájékoztató jelleguek.További információkért keressen bizalommal!Referencia szám: H428519","jó állapotú","1950 elott","nincs megadva","nincs megadva","földszint","nincs megadva","nincs megadva","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","kelet","utcai","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"4","XIX. kerület, Wekerletelep","46,9 millió Ft","66 m²","2","Wekerle-telep legszebb részén, a Kós Károly téren emeleti lakás eladó !Wekerle -telep legszebb részén, a Kós Károly téren eladó egy elso emeleti 2 szobás lakás,A lakás:elso emeleti, kétszobás, 66 nm-es,ablakai utcára, és a csendes belso kertre néznekigény szerint felújítandóa villanyvezetékek, illetve a vízvezetékek ki lettek cserélveamerikai-konyhássá alakítható a konyha és az egyik szoba összenyitásával10 nm-es külön zárható pincea kertben saját autóbeálló hely, a kert zárt, motoros kapu van rajtaA ház :A századforduló után épült, masszív épület, nem messze a Barátok-közt háztóla teto nemrégen lett felújítva, a függofolyosók is felújítva, meghagyva a gyönyöru eredeti korlátokatereszek, lefolyók rendbe lettek hozva, a társasház további felújításokat terveznyugodt, csendes lakó közösség,A környék:közlekedésileg kituno, buszmegálló 200 méterre, onnan 2 megálló a Határ úti metró, és az Europark bevásárlóközpont,családosoknak jó választás, hiszen a hatalmas tér közepén park található játszótérrel,bolt, cukrászda a téren, iskola , középiskola két utcányiraorvosi rendelo, gyógyszertár a közelbenAjánlom nyugodt életre vágyó pároknak, családosoknak .Várom hívását !!!Regszám:H436410","közepes állapotú","1950 elott","nincs megadva","nincs megadva","1","4","nincs","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","kelet","utcai","nincs megadva","nincs megadva","nincs megadva","utca, közterület",NA,NA
"5","XI. kerület, Lágymányos - Muegyetem környéke","46,9 millió Ft","71 m²","2 + 1 fél","A Muegyetem vonzáskörzetében , a Budafoki út- Lágymányosi utca sarkán eladó egy 82m2-es, 2,5 szobás, felújítandó ingatlan. A 2 nagy szoba utcai nézetu, a félszoba, konyha ablakaiudvar felé néznek.Az ingatlan a konyha felol is bejárható.A futést jelenleg Héra égos cserépkályha, a fürdoszobában fali melegíto biztosítja.A különleges hangulatú ingatlan kiválóan alkalmas otthonnak, de központi elhelyezkedése,beosztása miatt még inkább iroda, rendelo, táncterem, hostel, stb. kialakítására.A 4 méteres belmagasság lehetové teszi galéria elhelyezését minden szobában.A vízórát most cserélték, így minden közmu egyedi méroórával mérheto.A közös költség 16 000 Ft, ami a felújítási alapot is tartalmazza. A ház jó állapotú, jelenlegzajlik a függo folyosók felújítása.A kiváló adottságú ingatlan per és tehermentes, akár azonnal birtokba veheto!A lokáció önmagáért beszél:Karnyújtásnyira találhatóak Egyetemek, Móricz Zsigmond körtér, M4-es metró, számtalanvillamos, buszjárat, Allé bevásárlóközpont, posta, rendelok, kávézók, étkezdék, minden, amia bel-budai életérzéshez nélkülözhetetlen.","felújítandó","1950 elott","összkomfortos","nincs megadva","földszint","4","nincs","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","északnyugat","utcai","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"6","V. kerület, Belváros","46,9 millió Ft","44 m²","2","Belváros, sétáló utcában eladó egy két szobás muszakilag felújított jó állapotú lakás, kiváló állapotú liftes társasházban. Fiataloknak kituno választás, kiadásra is tökéletes választás. További infóért várom hívását.","nincs megadva",NA,"nincs megadva","nincs megadva","4","nincs megadva","van","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"7","IX. kerület, Lenhossék utca","46,9 millió Ft","84 m²","2 + 1 fél","Eladásra kínálunk a 9. kerület rehabilitált részén, a Ludovika térrel szemben, a Közszolgálati Egyetem szomszédságában egy kiválóan alakítható, kituno elosztású, közepes állapotú lakást. A társasházban lift is található, a lakás a második emeleten helyezkedik el. Két nagy szoba ablakai utcára néznek, a fényviszonyokat illetoen az ingatlan világos. Elosztásából kifolyólag több célra is megfelelhet, az egyetemek közelsége (SOTE, BME, CORV., KÖZSZ.E.) diákoknak vagy akár családoknak is tökéletes megoldás lehet, és a kiadásra kereso ügyfeleinknek is jó választás.Teljes köru, hitel- és biztosítási ügyintézéssel, kedvezményes ügyvédi munkadíjjal állunk szíves rendelkezésükre. További információért, illetve idopont egyeztetéssel kapcsolatban keressenek minket bizalommal, a telefont hétvégén is felvesszük. Több ingatlanunk esetében ingatlanbeszámítás is lehetséges, a részletekrol érdeklodjön telefonban.Vevoink számára a közvetítés díjtalan.WE SPEAK ENGLISH, FEEL FREE TO CALL US.","közepes állapotú","nincs megadva","összkomfortos","nincs megadva","2","nincs megadva","van","3 m-nél magasabb","cserépkályha","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","nincs megadva","utcai","nincs megadva","nincs megadva","nincs megadva","utca, közterület",NA,NA
"8","XIV. kerület, Vezér utca","46,9 millió Ft","56 m²","1 + 2 fél","A Vezér út  kertvárosias részén (Alsórákos),  eladó egy sorházi lakás jellegu, dupla komfortos, belso két szintes, rendkívül igényesen kialakított, 56 nm-es lakás, melynek földszintjén: 17 nm-es nappali + konyha-étkezo, eloszoba, fürdoszoba WC-vel, emeletén: 2 hálószoba, fürdoszoba+WC és közlekedo található. A futés parapetes cirkó kazánnal  kialakítva. A lakáshoz tartozik egy zárt önálló tároló is, ami az épület kertjében található. Az ingatlant kifejezetten ajánlom 1-2 kisgyermekes családnak, akiknek fontos a jó levego és a remek közlekedés is.","újszeru","1981 és 2000 között","összkomfortos","nincs megadva","földszint","2","nincs","3 m-nél alacsonyabb","gáz (cirko), elektromos","van","nincs megadva","nincs megadva","külön helyiségben","délkelet","kertre néz","nincs megadva","igen","nem tetotéri","utca, közterület",NA,NA
"9","VI. kerület, Teréz körút 52.","46,9 millió Ft","67 m²","2 + 1 fél","!!!TERÉZ KÖRÚT 52!!! SZÉPEN FELÚJÍTOTT ÉPÜLET! A szoba ablakai a Jókai utcára néznek! ***KULCSA NÁLAM, ÍGY RUGALMASAN MEGTEKINTHETO ***ALKUKÉPES ÁR, TEGYEN AJÁNLATOT!!! A hírdetésben szereplo utolsó képek látványtervek, ötletek a felújításához. Így könnyebb elképzelni, higy milyen szép otthon varázsolható ebbol a kituno ingatlanból.LAKÁS:- 67nm- 1+1szoba+hall- Harmadik emeleti- Alaprajza jól alakítható - Délnyugati tájolású, napfényes - A nagy szoba ablaka a Jókai utcára néz - A konyha és a kisszoba ablakai a tágas, csendes, belso udvarra nyílnak- Futése Cirkós - A belmagasság 3.32mTEHERMENTES, ÜRES LAKÁS! AZONNAL BIRTOKBA VEHETO! HÁZ:- Kívül-belül felújított társasház - TERÉZ körút -Podmaniczky sarok- Nyugati és az Oktogon között- Lift nincsHa bármi kérdése felmerül hívjon bizalommal a hét minden napján.","felújítandó","1950 elott","összkomfortos","nincs megadva","3","4","nincs","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","egy helyiségben","délnyugat","utcai","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"10","VI. kerület, Podmaniczky utca 7.","46,9 millió Ft","47 m²","3","TULAJDONOSTÓL ELADÓ!!!!!A Podmaniczky u.- Nagymezo u. sarkán eladó egy teljes felújításon átesett 2. emeleti, utcai, 2 hálószobás gyönyöru lakás, mely elso lakóját keresi. Hoszigetelt ablakok, redonyök, új gázcirkó, garanciális konyhai gépek várják az új tulajdonost!Kérdés esetén keressen a nap bármely szakában!","felújított","nincs megadva","összkomfortos","nincs megadva","2","4","nincs","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","nincs megadva","utcai","nincs megadva","nem","nincs megadva","utca, közterület",NA,NA
