"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Parkolóhely ára","Panelprogram"
"1","III. kerület, Pünkösdfürdo utca","42,9 millió Ft","45 m²","2","Óbuda szívében a Duna-parttól néhány percnyi sétára épül a Római-part legújabb lakóparkja a BudaBright. A Pünkösdfürdo, Septimus Severus és Ipartelep utca által határolt területen 3 épületben közel 330 lakás közül választhatja ki az ideális fekvésu és elrendezésu lakást. A választék a 26 m2-es garzontól a 100 m2-es 3 szobás, teraszos lakásig terjed. A felsobb emeleteken, akár saját teraszodról is élvezheted a Budai hegyek vagy a város panorámáját. A Duna-part közelsége számtalan lehetoséget kínál kikapcsolódásra és sportolásra egyaránt. A közelben lévo üzletek, éttermek, iskolák és óvodák biztosítják, hogy a mindennapi teendoket könnyedén intézhesd. A lakópark elhelyezkedésének köszönhetoen a közlekedés sem jelenthet gondot legyen szó autóról vagy tömegközlekedésrol. A belváros és az M0 autópálya percek alatt elérheto.","új építésu","2023","duplakomfortos","nincs megadva","5","9","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","igen","külön helyiségben","kelet","udvari","3.65 m²","nem","nem tetotéri","teremgarázs hely - megvásárolható","4 000 000 Ft",NA
"2","III. kerület, Pünkösdfürdo utca","42,9 millió Ft","44 m²","2","Óbuda szívében a Duna-parttól néhány percnyi sétára épül a Római-part legújabb lakóparkja a BudaBright. A Pünkösdfürdo, Septimus Severus és Ipartelep utca által határolt területen 3 épületben közel 330 lakás közül választhatja ki az ideális fekvésu és elrendezésu lakást. A választék a 26 m2-es garzontól a 100 m2-es 3 szobás, teraszos lakásig terjed. A felsobb emeleteken, akár saját teraszodról is élvezheted a Budai hegyek vagy a város panorámáját. A Duna-part közelsége számtalan lehetoséget kínál kikapcsolódásra és sportolásra egyaránt. A közelben lévo üzletek, éttermek, iskolák és óvodák biztosítják, hogy a mindennapi teendoket könnyedén intézhesd. A lakópark elhelyezkedésének köszönhetoen a közlekedés sem jelenthet gondot legyen szó autóról vagy tömegközlekedésrol. A belváros és az M0 autópálya percek alatt elérheto.","új építésu","2023","duplakomfortos","nincs megadva","4","9","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","igen","külön helyiségben","nyugat","utcai","4.38 m²","nem","nem tetotéri","teremgarázs hely - megvásárolható","4 000 000 Ft",NA
"3","VII. kerület, Dob utca","42,9 millió Ft","78 m²","2 + 2 fél","KIVÁLÓ BEOSZTÁSÚ BELVÁROSI LAKÁS!Belso Erzsébetvárosban, Nagykörúton belül, a Dob utcában kínáljuk eladásra ezt a jó állapotú, 2+2 szobás, földszinti, 78 nm-es hasznos alapterületu, kivételesen jó beosztású lakást.Tulajdoni lapon 43 m2, lemérve 46 m2, az 5,1 méteres belmagasságnak köszönhetoen ténylegesen belso két szintes kialakítással (+ 32 m2 felso szint).Remek közlekedéssel, a belváros szívében, itt tényleg minden a közelben van! A ház jó állapotban van, néhány éve teljes köru homlokzati és belso udvari felújításon esett át. A lakás belso udvarra néz, az ablakok DNY-i fekvésuek. Csendes, nyugodt ház, rendezett lakóközösséggel. Az ingatlan futésérol két új Fondital Gazelle Evo konvektor gondoskodik.- Méretre gyártatott, Mabisz minosítéso Nívó biztonsági ajtó.- Új hoszigetelo muanyag nyílászárók. - Új konvektorok.Airbnb a házban engedélyezett, a társasház szmsz-e tartalmazza a lehetoséget, több lakás a házban rövid távú kiadásban hasznosított, kiadásra, befektetésre, üzleti tevékenységre is ideális.Azonosító: 311462","jó állapotú","1950 elott","összkomfortos","nincs megadva","földszint","3","nincs","3 m-nél magasabb","gáz (konvektor)","nincs megadva","nincs megadva","nem","nincs megadva","délnyugat","udvari","nincs megadva","nem","nem tetotéri","utca, közterület",NA,NA
"4","VII. kerület, Dob utca","121,46 ezer €","78 m²","2 + 2 fél","KIVÁLÓ BEOSZTÁSÚ BELVÁROSI LAKÁS!Belso Erzsébetvárosban, Nagykörúton belül, a Dob utcában kínáljuk eladásra ezt a jó állapotú, 2+2 szobás, földszinti, 78 nm-es hasznos alapterületu, kivételesen jó beosztású lakást.Tulajdoni lapon 43 m2, lemérve 46 m2, az 5,1 méteres belmagasságnak köszönhetoen ténylegesen belso két szintes kialakítással (+ 32 m2 felso szint).Remek közlekedéssel, a belváros szívében, itt tényleg minden a közelben van! A ház jó állapotban van, néhány éve teljes köru homlokzati és belso udvari felújításon esett át. A lakás belso udvarra néz, az ablakok DNY-i fekvésuek. Csendes, nyugodt ház, rendezett lakóközösséggel. Az ingatlan futésérol két új Fondital Gazelle Evo konvektor gondoskodik.- Méretre gyártatott, Mabisz minosítéso Nívó biztonsági ajtó.- Új hoszigetelo muanyag nyílászárók. - Új konvektorok.Airbnb a házban engedélyezett, a társasház szmsz-e tartalmazza a lehetoséget, több lakás a házban rövid távú kiadásban hasznosított, kiadásra, befektetésre, üzleti tevékenységre is ideális.Azonosító: 311462","jó állapotú","1950 elott","összkomfortos","nincs megadva","földszint","3","nincs","3 m-nél magasabb","gáz (konvektor)","nincs megadva","nincs megadva","nem","nincs megadva","délnyugat","udvari","nincs megadva","nem","nem tetotéri","utca, közterület",NA,NA
"5","III. kerület, Pünkösdfürdo utca","42,9 millió Ft","45 m²","2","Óbuda szívében a Duna-parttól néhány percnyi sétára épül a Római-part legújabb lakóparkja a BudaBright. A Pünkösdfürdo, Septimus Severus és Ipartelep utca által határolt területen 3 épületben közel 330 lakás közül választhatja ki az ideális fekvésu és elrendezésu lakást. A választék a 26 m2-es garzontól a 100 m2-es 3 szobás, teraszos lakásig terjed. A felsobb emeleteken, akár saját teraszodról is élvezheted a Budai hegyek vagy a város panorámáját. A Duna-part közelsége számtalan lehetoséget kínál kikapcsolódásra és sportolásra egyaránt. A közelben lévo üzletek, éttermek, iskolák és óvodák biztosítják, hogy a mindennapi teendoket könnyedén intézhesd. A lakópark elhelyezkedésének köszönhetoen a közlekedés sem jelenthet gondot legyen szó autóról vagy tömegközlekedésrol. A belváros és az M0 autópálya percek alatt elérheto.","új építésu","2023","duplakomfortos","nincs megadva","2","4","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","igen","külön helyiségben","kelet","udvari","3.86 m²","nem","nem tetotéri","teremgarázs hely - megvásárolható","4 000 000 Ft",NA
"6","XIII. kerület, Kassák Lajos utca 69-71.","42,9 millió Ft","34 m²","1","KASSÁK HÁZOKOS OTTHONOK már 20%-s önerovel leköthetok! Az 5% -áfa, csok esetén visszaigényelheto.A beruházást bank finanszírozza, ezért az ár nem alkudható.AA++Kiváló ár-értékarány!RESALE megengedett!Ha igényes, szereti a minoséget és az "" okos otthon"" adta kényelmet akkor megtalálta új otthonát, ne keressen tovább!Új építésu lakásába már, 2021 tavaszán beköltözhet. Az épület fekvése biztosítja a lakások benapozottságát, így az élheto terekkel rendelkezo lakások, igen világosak, kényelmesek, ezért garantált az ""otthon"" érzés! Teremgarázs és tároló vásárolható.A 29 lakásból már 6 db lakás megtalálta boldog tulajdonosát.KörnyezetA 29 lakásos új épület a XIII. kerület legdinamikusabban fejlodo, Váci út irodafolyosó mellett helyezkedik el.Ez a terület kiválóan megfelel családi otthonok és befektetési célból vásárolt ingatlanoknak egyaránt.A lokációnak is köszönheto, hogy az épület jól megközelítheto a városi tömegközlekedésessel is. A metrómegálló, trolibusz, villamos, és éjszakai buszjáratok, 200 méteren belül vannak.A környék infrastruktúrája és biztonsága kiváló! Kulturális - egészségügyi és más színvonalas intézmények, sport és szabadido eltöltésére alkalmas lehetoségek a közelben.Ajánlom pároknak, családoknak és befektetoknek egyaránt.További információért hívjon bizalommal..","nincs megadva",NA,"összkomfortos","nincs megadva","1","7","van","3 m-nél alacsonyabb","mennyezeti hutés-futés","van","nincs megadva","igen","egy helyiségben","nincs megadva","nincs megadva","5.4 m²","nincs megadva",NA,"nincs megadva",NA,NA
"7","III. kerület, Óbuda-Óváros","42,9 millió Ft","37 m²","1 + 1 fél","Eladó egy óbudai Gyöngyszem!!!III. kerület szívében, a Bécsi útról nyíló csendes Reménység utcában egy 2 szobás, 37 nm-es, földszinti, nyáron hus tégla lakás eladó.Az ingatlan praktikus elosztású, rendkívül jó adottságokkal rendelkezik: jelenlegi elrendezésével kényelmes otthont biztosít.Az ingatlanba egy közlekedobe lépünk, melybol nyílik balra az étkezos konyha, illetve jobbra egy kis kamra. Ezt követi jobb oldalon a fürdo wc-vel. A közlekedo végén jutunk a tágas nappaliba, melyen keresztül jutunk a hálószobába.A lakás futését praktikus és gazdaságos gáz konvektor látja el.Az ablakokat zárt, kovácsoltvas díszítéssel látták el, így abszolút biztonságos és esztétikus is.Az utcai kilátás része a hangulatos, 16nm-es saját kert.A lakás rövid idon belül költözheto és külön megbeszélés tárgyát képezo fenyobútorokkal is eladó.Közös költség alacsony: 9300,-Ft. / hóA lakáshoz tartozó 4 nm-es pince is a vételár része.A lakás egy tiszta, rendkívül nyugodt, jó állapotú, szigetelt téglaházban található. A lépcsoház kulturált, gondozott, rendben tartott.A lakás környékét a kiemelkedo infrastrukturális ellátottság rendkívül vonzóvá teszi. A közelben található Eurocenter, Flórián téri piac, Praktiker a bevásárlást könnyíti meg. A közlekedést az 1-es, 17-es, 19-es és a 41-es villamos szolgálja. A Margit kórház, orvosi rendelo, SZTK is található a közelben. 42900000 FtReferencia szám: LK518786","jó állapotú","1950 és 1980 között","nincs megadva","nincs megadva","földszint","nincs megadva","nincs","nincs megadva","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","dél","utcai","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"8","VII. kerület, Osvát utca 19.","42,9 millió Ft","45 m²","2","Eladó egy tiszta szép lakás.","jó állapotú","nincs megadva","nincs megadva","nincs megadva","földszint","nincs megadva","nincs megadva","3 m-nél magasabb","nincs megadva","nincs megadva","nincs megadva","nincs megadva","egy helyiségben","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA
"9","IX. kerület, Haller utca","42,9 millió Ft","62 m²","2","Jó állapotban lévo, akár azonnal költözheto elso emeleti a Haller utcára nézo nagy belmagasságú (galériázható) lakás kíválló közlekedési kapcsolatokkal eladó. (orvos, patika, bolt, iskola óvoda közvetlen közelben ) több Egyetem, foiskola rövid ido alatt elérheto.A LAKÁS TELJESEN TEHERMENTES.INGATLANOSOK NE KERESSENEK.","jó állapotú","1950 elott","összkomfortos","nincs megadva","1","3","nincs","3 m-nél magasabb","gáz (cirko)","nincs","19,99 E Ft/hó","nem","külön helyiségben","dél","utcai","nincs megadva","nem","nem tetotéri","utca, közterület - fizetos övezet",NA,NA
"10","IV. kerület, Bocskai utca 5/C","42,9 millió Ft","55 m²","2","Metró közeli 2 szobás !IV. kerület Városkapu metró megállónál kínálunk eladásra egy 55 nm-es 2 szobás felújított állapotú, öröklakást.A ház teljes felújítását most fejezték be mely a ház szigetelését, napkollektorok felszerelését is és a lépcsoház festését is magába foglalta.Az ingatlan 3. emeleti /lift nincs/ K-Ny-i fekvésu szikrázóan napsütötte. A nyílászárók kivannak cserélve ill, a radiátorokra is homennyiség mérot szereltek, ritka kincs az ablakos fürdoszoba és a külön étkezo- konyha.Kiváló állapotú a lakás 2 éve lett felújítva . Ideális otthona lehet fiatal pároknak is. A közlekedése pazar, a 3-as metró 1 perc, de a 14-es villamos ill. Újpest központ is 10 percen belül elérheto. Megtekintés céljából várom hívását.","felújított","1950 és 1980 között","összkomfortos","nincs megadva","3","4","nincs","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","35 E Ft/hó","nem","egy helyiségben","kelet","utcai","4 m²","nincs megadva","nem tetotéri","utca, közterület",NA,NA
