"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Parkolóhely ára","Panelprogram"
"1","III. kerület, Mátyáshegy","132,1 millió Ft","78 m²","4","Orzött és biztonságos lakóparkban kínálunk egy földszintes közvetlen kertkapcsolatos 2+2 fél szobás jó állapotú frissen festett ingatlant! A nagy teraszos napfényes déli tájolású lakás azonnal birtokba veheto.A lakásban található 3 hálószoba,egy fürdoszoba wc-el,mosógéppel és törölközo szárítóval,egy külön  wc kézmosóval,egy szépen berendezett amerikai konyhás nappali melynek konyha része teljesen gépesített valamint egy kamra is. A lakásban több beépített szekrény könnyíti meg a tér optimális kihasználhatóságát. A déli fekvésu fedett terasz a nappaliból nyílik és 20 m2 nagysága lehetové teszi akár a grillezést is.A nyugati terasz mely két hálószobából is elérheto közel 14 m2 nagyságú. A két teraszt összeköto szépen parkosított saját használatú füves terület 22 m2. A lakáshoz( külön HRSZ. számon) két gépkocsi számára van hely a teremgarázsban ,jó helyen a lift mellett.Az áruk 7M. Ft/hely.Ezen kívül egy 6 m2-es nagy tároló tartozik még a lakáshoz melynek ára 9,6M. Ft.A kiváló elhelyezkedésu és nívós környezetben található lakás egy ugrásra fekszik a híres Daubner cukrászdától és a jól ellátott Kolossy tértol. 132100000 Ft","felújított","2001 és 2010 között","nincs megadva","nincs megadva","földszint","nincs megadva","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délnyugat","kertre néz","34 m²","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"2","III. kerület, Mátyáshegy","132,1 millió Ft","78 m²","4","Privát  lakóparkban kínálunk egy földszintes közvetlen kertkapcsolatos 2+2 fél szobás jó állapotú tisztasági festett ingatlant! A nagy teraszos napfényes déli tájolású lakás azonnal birtokba veheto.A lakásban található 3 hálószoba,egy fürdoszoba wc-el,mosógéppel és törölközo szárítóval,egy külön  wc kézmosóval,egy szépen berendezett amerikai konyhás nappali melynek konyha része teljesen gépesített valamint egy kamra is. A lakásban több beépített szekrény könnyíti meg a tér optimális kihasználhatóságát. A déli fekvésu fedett terasz a nappaliból nyílik és 20 m2 nagysága lehetové teszi akár a grillezést is.A nyugati terasz mely két hálószobából is elérheto közel 14 m2 nagyságú. A két teraszt összeköto szépen parkosított saját használatú füves terület 22 m2. A lakáshoz( külön HRSZ. számon) két gépkocsi számára van hely a teremgarázsban ,jó helyen a lift mellett.Az áruk 7M. Ft/hely.Ezen kívül egy 6 m2-es nagy tároló tartozik még a lakáshoz melynek ára 9,6M. Ft.Hivjon Bizalommal.","felújított","2001 és 2010 között","nincs megadva","nincs megadva","földszint","nincs megadva","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délnyugat","kertre néz","34 m²","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"3","III. kerület, Mátyáshegy","132,1 millió Ft","78 m²","4","Orzött és biztonságos lakóparkban kínálunk egy földszintes közvetlen kertkapcsolatos 2+2 fél szobás jó állapotú frissen festett ingatlant! A nagy teraszos napfényes déli tájolású lakás azonnal birtokba veheto.A lakásban található 3 hálószoba,egy fürdoszoba wc-el,mosógéppel és törölközo szárítóval,egy külön  wc kézmosóval,egy szépen berendezett amerikai konyhás nappali melynek konyha része teljesen gépesített valamint egy kamra is. A lakásban több beépített szekrény könnyíti meg a tér optimális kihasználhatóságát. A déli fekvésu fedett terasz a nappaliból nyílik és 20 m2 nagysága lehetové teszi akár a grillezést is.A nyugati terasz mely két hálószobából is elérheto közel 14 m2 nagyságú. A két teraszt összeköto szépen parkosított saját használatú füves terület 22 m2. A lakáshoz( külön HRSZ. számon) két gépkocsi számára van hely a teremgarázsban ,jó helyen a lift mellett.Az áruk 7M. Ft/hely.Ezen kívül egy 6 m2-es nagy tároló tartozik még a lakáshoz melynek ára 9,6M. Ft.A kiváló elhelyezkedésu és nívós környezetben található lakás egy ugrásra fekszik a híres Daubner cukrászdától és a jól ellátott Kolossy tértol.","felújított","2001 és 2010 között","nincs megadva","nincs megadva","földszint","nincs megadva","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délnyugat","kertre néz","34 m²","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"4","III. kerület, Szépvölgyi út","132,1 millió Ft","78 m²","4","Orzött és biztonságos lakóparkban kínálunk egy földszintes közvetlen kertkapcsolatos 2+2 fél szobás jó állapotú frissen festett ingatlant! A nagy teraszos napfényes déli tájolású lakás azonnal birtokba veheto.A lakásban található 3 hálószoba,egy fürdoszoba wc-el,mosógéppel és törölközo szárítóval,egy külön  wc kézmosóval,egy szépen berendezett amerikai konyhás nappali melynek konyha része teljesen gépesített valamint egy kamra is. A lakásban több beépített szekrény könnyíti meg a tér optimális kihasználhatóságát. A déli fekvésu fedett terasz a nappaliból nyílik és 20 m2 nagysága lehetové teszi akár a grillezést is.A nyugati terasz mely két hálószobából is elérheto közel 14 m2 nagyságú. A két teraszt összeköto szépen parkosított saját használatú füves terület 22 m2. A lakáshoz( külön HRSZ. számon) két gépkocsi számára van hely a teremgarázsban, jó helyen a lift mellett. Az áruk 7M. Ft/hely.Ezen kívül egy 6 m2-es nagy tároló tartozik még a lakáshoz melynek ára 9,6M. Ft.A kiváló elhelyezkedésu és nívós környezetben található lakás egy ugrásra fekszik a híres Daubner cukrászdától és a jól ellátott Kolossy tértol.Várom hívását a hét minden napján!","felújított","2001 és 2010 között","nincs megadva","nincs megadva","földszint","nincs megadva","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délnyugat","kertre néz","34 m²","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"5","III. kerület, Mátyáshegy","132,1 millió Ft","78 m²","4","Orzött és biztonságos lakóparkban kínálunk egy földszintes közvetlen kertkapcsolatos 2+2 fél szobás jó állapotú frissen festett ingatlant! A nagy teraszos napfényes déli tájolású lakás azonnal birtokba veheto.A lakásban található 3 hálószoba,egy fürdoszoba wc-el,mosógéppel és törölközo szárítóval,egy külön  wc kézmosóval,egy szépen berendezett amerikai konyhás nappali melynek konyha része teljesen gépesített valamint egy kamra is. A lakásban több beépített szekrény könnyíti meg a tér optimális kihasználhatóságát. A déli fekvésu fedett terasz a nappaliból nyílik és 20 m2 nagysága lehetové teszi akár a grillezést is.A nyugati terasz mely két hálószobából is elérheto közel 14 m2 nagyságú. A két teraszt összeköto szépen parkosított saját használatú füves terület 22 m2. A lakáshoz( külön HRSZ. számon) két gépkocsi számára van hely a teremgarázsban ,jó helyen a lift mellett.Az áruk 7M. Ft/hely.Ezen kívül egy 6 m2-es nagy tároló tartozik még a lakáshoz melynek ára 9,6M. Ft.A kiváló elhelyezkedésu és nívós környezetben található lakás egy ugrásra fekszik a híres Daubner cukrászdától és a jól ellátott Kolossy tértol.","felújított","2001 és 2010 között","összkomfortos","nincs megadva","földszint","3","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","van","70 E Ft/hó","igen","külön és egyben is","délnyugat","kertre néz","34 m²","nem","nem tetotéri","teremgarázs hely - megvásárolható","7 000 000 Ft",NA
"6","III. kerület, Mátyáshegy","132,1 millió Ft","78 m²","4","Megvételre kínálok egy kertkapcsolatos 2+2 fél szobás napfényes, 2 teremgarázzsal rendelkezo jó állapotú lakástA nagy teraszos napfényes déli tájolású lakás azonnal birtokba veheto.A lakásban található 3 hálószoba,egy fürdoszoba wc-el,mosógéppel és törölközo szárítóval,egy külön  wc kézmosóval,egy szépen berendezett amerikai konyhás nappali melynek konyha része teljesen gépesített valamint egy kamra is. A lakásban több beépített szekrény könnyíti meg a tér optimális kihasználhatóságát. A déli fekvésu fedett terasz a nappaliból nyílik és 20 m2 nagysága lehetové teszi akár a grillezést is.A nyugati terasz mely két hálószobából is elérheto közel 14 m2 nagyságú. A két teraszt összeköto szépen parkosított saját használatú füves terület 22 m2. A lakáshoz( külön HRSZ. számon) két gépkocsi számára van hely a teremgarázsban ,jó helyen a lift mellett.Az áruk 7M. Ft/hely.Ezen kívül egy 6 m2-es nagy tároló tartozik még a lakáshoz melynek ára 9,6M. Ft.A kiváló elhelyezkedésu és nívós környezetben található lakás egy ugrásra fekszik a híres Daubner cukrászdától és a jól ellátott Kolossy tértol.További szolgáltatásaink:- Ingatlanok értékesítése-bérbeadása- Adásvételi szerzodés teljes köru lebonyolítása- Jogi tanácsadás- Értékbecslés- Energetikai tanúsítvány- Bankfüggetlen, díjmentes Hitelügyintézés Finanszírozásban segítünk: Bankfüggetlen hitelcenterünk díjmentesen versenyezteti minden bank és hitelintézet ajánlatát. Önnek nincs más dolga, mint beszélgetni munkatársunkkal, majd a megversenyeztetett ajánlatokból kiválasztani a hosszútávon is a legmegfelelobb konstrukciót. Szakértoink 20 éves szakmai tapasztalattal és egyedi igényekre szabott, fogyasztóbarát lakáshitelekkel, babaváró hitellel, teljes köru CSOK ügyintézéssel várják Önt. Elore egyeztetve akár a normál munkaido után is.","felújított","2001 és 2010 között","összkomfortos","nincs megadva","földszint","nincs megadva","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délnyugat","kertre néz","34 m²","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"7","III. kerület, Mátyáshegy","132,1 millió Ft","78 m²","4","III. kerületben, Mátyáshegyen, 78nm-es, kertkapcsolatos lakás eladó!Környék:- orzött és biztonságos lakóparkban- Daubner cukrászda közvetlen közelében- tömegközlekedés szempontjából kiváló helyen található, buszmegálló 3 perc, Kolossy tér 13 perc- infrastrukturális ellátottsága kiváló, minden megtalálható a környéken, amire a hétköznapokban szükség van, üzletek, szolgáltatások, bankok, vendéglátóhelyek, orvosi rendelo, gyógyszertár, oktatási intézmények 5-15 perc gyalogosanÉpület:- 2005-ben épült- téglaépület- zárt lépcsoház- 3 emeletes- lift- társasház kertLakás:- 78 nm-es alapterület- 34 nm-es terasz, kertkapcsolattal | déli fekvésu fedett terasz a nappaliból nyílik, 20 nm-es, nyugati terasz, két hálószobából is elérheto, 14 nm-es nagyságú, a 2 teraszt összeköto szépen parkosított saját használatú füves terület 22 nm-es- 265 cm-es belmagasság- frissen festett- napfényes, D-i tájolású- amerikai konyhás (teljesen gépesített) nappali + 3 szoba- beépített szekrények- kamra- fürdoszoba és toalett egyben, valamint külön toalett és kézmosó- közös költség 70.000 Ft- futése házközponti egyedi méréssel- két autó számára van hely a teremgarázsban, jó helyen a lift mellett – 7 millió Ft/hely- nagy tároló, 6 nm-es, melynek ára 9,6 millió FtAjánlom fiatal pároknak, gyermekes családoknak, akik a városi nyüzsgés mellett vágynak a zöld kerti nyugalomra.Amennyiben a hirdetés felkeltette érdeklodését, további kérdése merült fel, keressen bizalommal, készséggel állok rendelkezésére akár hétvégén is!Hitelre van szüksége vásárláshoz, felújításhoz, de nem tud kiigazodni a bankok ajánlatai között? Amennyiben szakértore van szüksége, bank-semleges hitelszakértonk szívesen segít Önnek sokéves tapasztalatával, akkor is, ha nem nálunk vásárolja meg ingatlanát.Tisztelt Ingatlantulajdonos!Eladó ingatlana van? Forduljon hozzám bizalommal, készséggel állok rendelkezésre bármilyen ingatlanértékesítéssel kapcsolatos kérdésben!Referencia szám: H437695","felújított","2001 és 2010 között","nincs megadva","nincs megadva","földszint","nincs megadva","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délnyugat","kertre néz","34 m²","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"8","III. kerület, Mátyáshegy","132,1 millió Ft","78 m²","4","Eladó a 3. kerületben egy 78 négyzetméteres, csendes lakás.Környék:- A kiváló elhelyezkedésu és nívós környezetben található lakás egy ugrásra fekszik a híres Daubner cukrászdától és a jól ellátott Kolossy tértol.- Minden megtalálható, ami a mindennapokhoz szükséges; üzletek, boltok, szolgáltatások, iskolák, stb.Lakás:- A nagy teraszos napfényes déli tájolású lakás azonnal birtokba veheto.Orzött és biztonságos lakóparkban kínálunk egy földszintes közvetlen kertkapcsolatos 2+2 fél szobás jó állapotú frissen festett ingatlant! - A lakásban található 3 hálószoba,egy fürdoszoba wc-el,mosógéppel és törölközo szárítóval,egy külön  wc kézmosóval,egy szépen berendezett amerikai konyhás nappali melynek konyha része teljesen gépesített valamint egy kamra is. - A lakásban több beépített szekrény könnyíti meg a tér optimális kihasználhatóságát. - A déli fekvésu fedett terasz a nappaliból nyílik és 20 m2 nagysága lehetové teszi akár a grillezést is.- A nyugati terasz mely két hálószobából is elérheto közel 14 m2 nagyságú. - A két teraszt összeköto szépen parkosított saját használatú füves terület 22 m2. A lakáshoz( külön HRSZ. számon) két gépkocsi számára van hely a teremgarázsban ,jó helyen a lift mellett. Az áruk 7M. Ft/hely.Ezen kívül egy 6 m2-es nagy tároló tartozik még a lakáshoz melynek ára 9,6M. Ft.Ha felkeltette érdeklodését az ingatlan keressen nyugodtan, akár hétvégén is.Referencia szám: H437695","felújított","2001 és 2010 között","nincs megadva","nincs megadva","földszint","nincs megadva","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délnyugat","kertre néz","34 m²","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"9","III. kerület, Szépvölgyi út","132,1 millió Ft","78 m²","4","Orzött és biztonságos lakóparkban kínálunk egy földszintes közvetlen kertkapcsolatos 2+2 fél szobás jó állapotú frissen festett ingatlant! A nagy teraszos napfényes déli tájolású lakás azonnal birtokba veheto.A lakásban található 3 hálószoba,egy fürdoszoba wc-el,mosógéppel és törölközo szárítóval,egy külön  wc kézmosóval,egy szépen berendezett amerikai konyhás nappali melynek konyha része teljesen gépesített valamint egy kamra is. A lakásban több beépített szekrény könnyíti meg a tér optimális kihasználhatóságát. A déli fekvésu fedett terasz a nappaliból nyílik és 20 m2 nagysága lehetové teszi akár a grillezést is.A nyugati terasz mely két hálószobából is elérheto közel 14 m2 nagyságú. A két teraszt összeköto szépen parkosított saját használatú füves terület 22 m2. A lakáshoz( külön HRSZ. számon) két gépkocsi számára van hely a teremgarázsban ,jó helyen a lift mellett.Az áruk 7M. Ft/hely.Ezen kívül egy 6 m2-es nagy tároló tartozik még a lakáshoz melynek ára 9,6M. Ft.A kiváló elhelyezkedésu és nívós környezetben található lakás egy ugrásra fekszik a híres Daubner cukrászdától és a jól ellátott Kolossy tértol.","felújított","2001 és 2010 között","összkomfortos","nincs megadva","földszint","nincs megadva","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délnyugat","kertre néz","34 m²","nincs megadva","nem tetotéri","nincs megadva",NA,NA
"10","III. kerület, Mátyáshegy","132,1 millió Ft","78 m²","4","KOLOSY TÉRNÉL GYÖNYÖRU, VILÁGOS, 4 SZOBÁS, KERTKAPCSOLATOS LAKÁS, ÓRIÁSI TERASSZAL, 2 GARÁZZSAL, TÁROLÓVAL!!!III. Kerületben, Kolosy tér szomszédságában várja új Tulajdonosát orzött és biztonságos lakóparkban  ez a hangulatos földszinti, közvetlen kertkapcsolatos 2+2 fél szobás, frissen festett ingatlan!Nagy terasszal rendelkezik,  34 nm-es!Világos, napfényes déli tájolású lakás.Azonnal birtokba veheto.A lakásban található 3 hálószoba, egy fürdoszoba wc-vel, mosógéppel és törölközo szárítóval, egy külön wc kézmosóval, egy szépen berendezett amerikai konyhás nappali melynek konyha része teljesen gépesített valamint egy kamra is. A lakásban több beépített szekrény könnyíti meg a tér optimális kihasználhatóságát. A déli fekvésu fedett terasz a nappaliból nyílik és 20 m2 nagysága lehetové teszi akár a grillezést is.A nyugati terasz mely két hálószobából is elérheto közel 14 m2 nagyságú. A két teraszt összeköto szépen parkosított saját használatú füves terület 22 m2.Infrastruktúra: Különösen kiváló!Biztonság: Kituno!A lakáshoz( külön HRSZ. számon) két gépkocsi számára van hely a teremgarázsban, jó helyen, a lift mellett. Ára: 7 M Ft/hely.Ezen kívül egy 6 m2-es nagy tároló tartozik még a lakáshoz melynek ára 9,6M. Ft.A kiváló elhelyezkedésu és nívós környezetben található lakás egy ugrásra fekszik a híres Daubner cukrászdától és a jól ellátott Kolosy tértol.JÖJJÖN, NÉZZÜK MEG EGYÜTT!","újszeru","2001 és 2010 között","nincs megadva","nincs megadva","földszint","3","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","70 E Ft/hó","nincs megadva","külön és egyben is","dél","kertre néz","34 m²","nincs megadva","nincs megadva","teremgarázs hely - megvásárolható","7 000 000 Ft",NA
