"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Panelprogram","Parkolás","Parkolóhely ára"
"11","XI. kerület, Fejér Lipót utca","29,9 millió Ft","45 m²","2","XI.kerület, Kelenföldön, a közkedvelt Fejér Lipót utcában kínálunk eladásra egy 45nm-es 2szobás panelprogramon átesett lakást . A ház az 1970-es években épült .Az ingatlan Keleti fekvésének köszönhetoen világos, csendes. A melegrol távfutés gondoskodik, ami egyedileg mérheto. A lakásban a nyílászárók cserélve lettek, a villanyvezetékek kb.15 éve át lettek húzva. Infrastruktúrája rendkívül jó, hiszen a közelben orvosi rendelo, gyógyszertár, posta, iskola, óvoda, bölcsode is megtalálhatóak. A Savoya park, Bikás park, Allee és a Móricz Zsigmond körtér pár perc tömegközlekedéssel. Tökéletes választás fiatal párok, családok számára, de elhelyezkedésének köszönhetoen kiváló befektetés, hiszen az egyetemek közelsége és a lakás adottságai miatt kiadható. Parkolás a ház elott ingyenes. A közlekedést tekintve kiváló, ugyanis az M4-es metró, az 1-es,47-es,17-es,41-es,56-os villamos és a 7-es, 213-as 153-as és a 103-as busz is pár percre található. Közelben Magyarország elso okos plázája, az  Etele pláza, vagy Budapest ikonikus épülete a Mol Campus és a Kopaszi-gát, pár percre van! A lakáshoz közös tároló is tartozik. Az ingatlan tehermentes,így azonnal birtokbaveheto.","felújítandó","1950 és 1980 között","összkomfortos","nincs megadva","1","több mint 10","van","3 m-nél alacsonyabb","távfutés egyedi méréssel","nincs","25 E Ft/hó","igen","külön és egyben is","kelet","kertre néz","nincs megadva","nem",NA,NA,"utca, közterület - ingyenes",NA
"12","VIII. kerület, Józsefváros - Magdolnanegyed","29,9 millió Ft","62 m²","2","Eladó a 8. kerületben a Kálvária téren, egy kétszobás 62 nm-es, nagypolgári, galériázott földszinti lakás. A lakás muszakilag felújításra került, cirkófutéses, teljes köruen gépesített konyhával rendelkezik. Magas minoségu biztonsági bejárati ajtót kapott. A padló szigetelésre került, a beszerelt muanyag  nyílászárók ho és hangszigeteltek. A lakásban marad igény esetén a huto, mosógép is. Az ingatlan a Kálvária téren a parkra néz. Kiváló elhelyezkedésének köszönhetoen nagyszeru tömegközlekedési lehetoség jellemzi. 9-es busz , 83-as Troli , 24-es villamos, Metró. Sétatávolságban található CBA, LIDL, benzinkút, SPAR, rendelo, óvoda, iskola, gyógyszertár, piac. Hívjon bátran !","jó állapotú","1950 elott","összkomfortos","nincs megadva","földszint","3","nincs","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","nyugat","utcai","nincs megadva","nem","nincs megadva",NA,"nincs megadva",NA
"13","XIV. kerület, Herminamezo","29,9 millió Ft","45 m²","2","XIV. kerület, HERMINAMEZO közkedvelt részén, a Mexikói úti metróállomás közelében eladó, egy ERKÉLYES, K-i fekvésu, 45 nm-es,2. emeleti, ABLAKOS KONYHÁVAL, KÜLÖN MELLÉKHELYISÉGGEL + 2 KÜLÖNNYÍLÓ szobával rendelkezo, AZONNAL KÖLTÖZHETO,TEHERMENTES TÉGLA lakás.A társasház karbantartott, jó állapotnak örvend!A ház pénzügyei rendezettek, ezáltal megtakarítással rendelkezik.Az ingatlan felújítandó állapotú!A futést és a meleg vizet gázcirkó biztosítja.A közös költség nagyon kedvezo 9.135, Ft, ami a ház biztosítását, szemétszállítást, takarítást illetve a felújítási alapot fedezi.A lakáshoz tartozik egy önálló 4 nm-es tároló helyiség!Környék:A környék ellátottsága nagyon jó, hiszen a közelben megtalálunk mindent, amire a mindennapi életben szükség van pl. bankfiók, posta, orvosi rendelo, patika, pékségek, cukrászdák, számtalan bevásárlási lehetoség. Adott esetben gyermekeinknek sem kell nagy távolságot megtenni, hogy megfelelo képzésben részesüljenek (óvoda, iskola a közelben,)!Közlekedés:BKK megállók a közelben:Villamos: 3 62 62A 69Busz: 5 32Éjszakai: 973 973ATroli: 82Közelben:Uzsoki Kórház, Mexikói úti metróállomás, 3, 62, 62A, 69 villamos, továbbá a Budapesti Gazdasági Egyetem Pénzügyi és Számviteli Kar, illetve a Metropolitan Egyetem is könnyedén elérheto.Ajánlom:Egyedülállók, párok, továbbá befektetésnek is kiváló!Érdeklodni:A hét minden napján, a nap bármely szakában!","felújítandó","1950 és 1980 között","összkomfortos","nincs megadva","2","5","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs","21 E Ft/hó","nem","külön helyiségben","kelet","utcai","3.5 m²","nem","nem tetotéri",NA,"utca, közterület - fizetos övezet",NA
"14","VIII. kerület, Kálvária tér 3.","29,9 millió Ft","62 m²","2","Eladó a 8. kerületben a Kálvária téren, egy kétszobás 62nm-es, nagypolgári, galériázott földszinti lakás. A lakás muszakilag felújításra került, cirkófutéses, teljesköruen gépesített konyhával rendelkezik. Magas minoségu biztonsági bejárati ajtót kapott. A padló szigetelésre került, a beszerelt muanyag  nyílászárók ho és hangszigeteltek. A lakásban marad igény esetén a huto, mosógép is. Az ingatlan a Kálvária téren a parkra néz. Kiváló elhelyezkedésének köszönhetoen nagyszeru tömegközlekedési lehetoség jellemzi. 9-es busz , 83-as Troli , 24-es villamos, Metró. Sétatávolságban található CBA, LIDL, benzinkút, SPAR, rendelo, óvoda, iskola, gyógyszertár, piac. Hívjon bátran !","jó állapotú","1950 elott","összkomfortos","nincs megadva","földszint","3","nincs megadva","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nem","külön helyiségben","északnyugat","utcai","nincs megadva","nem","nem tetotéri",NA,"utca, közterület",NA
"15","XXI. kerület, Nyírfa utca","29,9 millió Ft","62 m²","3","Eladó panellakás a 21. kerület CsillagtelepénEladóvá vált egy nettó 63 nm-es, 3. emeleti, erkélyes lakás Csepelen a Nyírfa utcában.Lokáció:- buszok: 35, 36, 159, 979, 979A- zöld környezet, boltok a hétköznapi élethezA társasházról: jó lakóközösség, megtakarítási alap, heti takarítás.....A lakásról:- 3 külön nyíló szoba, futése távfutés egyedi méréssel- muanyag nyílászárók , világos, 4 nm-es erkély- külön fürdoszoba, ablakos konyha, pincehelyiségben tárolási lehetoség- csendes, zöldre nézo kilátásAjánlom családosoknak, kiadásra .A lakással kapcsolatos kérdéseivel várom megtisztelo hívását","jó állapotú","1950 és 1980 között","összkomfortos","nincs megadva","3","3","nincs","3 m-nél alacsonyabb","távfutés egyedi méréssel","nincs megadva","20 E Ft/hó","nem","külön helyiségben","nincs megadva","utcai","4 m²","nincs megadva","legfelso emelet, nem tetotéri","nincs megadva","utca, közterület - ingyenes",NA
"16","VI. kerület, Csengery utca","29,9 millió Ft","42 m²","2","Budapesten a VI-kerület Csengery utcában eladó , egy 42nm -es felújított nappali + egy szobás, azonnal birtokba veheto lakás !Elrendezése nappali , szoba , konyha-étkezo és egy fürdoszobából áll ! Amennyiben kérdése van az ingatlannal kapcsolatban , kérem hívjon, akár hétvégén is !( az adatok tájékoztató jelleguek )","felújított","1950 és 1980 között","nincs megadva","nincs megadva","félemelet","4","nincs megadva","nincs megadva","elektromos","nincs megadva","nincs megadva","nincs megadva","egy helyiségben","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,"utca, közterület - fizetos övezet",NA
"17","XV. kerület, Rákospalota - MÁV-telep","29,9 millió Ft","47 m²","2","Rákospalota - MÁV-telepen kínálok eladásra egy felújítandó állapotú lakást egy közepes állapotú társasházban az alábbi paraméterekkel:- 47 négyzetméter alapterület- 1. emeleti (lift NINCS)- TEHERMENTES ingatlan- 2 külön nyíló lakóhelyiség (a szobák 24, illetve 12 négyzetméteresek)- Új, CSERÉLT elektromos hálózat- FELÚJÍTANDÓ állapot- Gépkocsi beállási lehetoség a társasház udvarán- Saját használatú, körbekerített kertrész kerti csappal- NY-i fekvés- Ablakos konyha és fürdoszoba- Futése gáz konvektor- A közmuvek fogyasztásának elszámolása egyedi méroórák szerint történik.- Az ingatlan kiürítése folyamatosan zajlik, adásvételtol számítva rövid határidovel birtokba vehetoA környék infrastruktúrája minden igényt kielégíto: óvodák, általános iskolák, játszóterek, gyógyszertár, orvosi rendelo, bevásárlási lehetoségek.Az ár IRÁNYÁR! Rugalmasan megtekintheto!Várom hívását, akár hétvégén is!Ügyfeleink részére BANKFÜGGETLEN hitelügyintézo kollegáink szívesen nyújtanak segítséget, hitellel, vagy akár CSOK-kal kapcsolatban is!","felújítandó","1950 elott","összkomfortos","nincs megadva","1","2","nincs","3 m-nél alacsonyabb","gáz (konvektor)","nincs megadva","nincs megadva","nem","nincs megadva","nyugat","utcai","nincs megadva","nem","nem tetotéri",NA,"udvari beálló - benne van az árban",NA
"18","XV. kerület, Rákospalota - MÁV-telep","83,59 ezer €","47 m²","2","Rákospalota - MÁV-telepen kínálok eladásra egy felújítandó állapotú lakást egy közepes állapotú társasházban az alábbi paraméterekkel:- 47 négyzetméter alapterület- 1. emeleti (lift NINCS)- TEHERMENTES ingatlan- 2 külön nyíló lakóhelyiség (a szobák 24, illetve 12 négyzetméteresek)- Új, CSERÉLT elektromos hálózat- FELÚJÍTANDÓ állapot- Gépkocsi beállási lehetoség a társasház udvarán- Saját használatú, körbekerített kertrész kerti csappal- NY-i fekvés- Ablakos konyha és fürdoszoba- Futése gáz konvektor- A közmuvek fogyasztásának elszámolása egyedi méroórák szerint történik.- Az ingatlan kiürítése folyamatosan zajlik, adásvételtol számítva rövid határidovel birtokba vehetoA környék infrastruktúrája minden igényt kielégíto: óvodák, általános iskolák, játszóterek, gyógyszertár, orvosi rendelo, bevásárlási lehetoségek.Az ár IRÁNYÁR! Rugalmasan megtekintheto!Várom hívását, akár hétvégén is!Ügyfeleink részére BANKFÜGGETLEN hitelügyintézo kollegáink szívesen nyújtanak segítséget, hitellel, vagy akár CSOK-kal kapcsolatban is!","felújítandó","1950 elott","összkomfortos","nincs megadva","1","2","nincs","3 m-nél alacsonyabb","gáz (konvektor)","nincs megadva","nincs megadva","nem","nincs megadva","nyugat","utcai","nincs megadva","nem","nem tetotéri",NA,"udvari beálló - benne van az árban",NA
"19","XIII. kerület, Angyalföld - Loportárdulo","29,9 millió Ft","40 m²","1","A Pesti lakás!Rendezett jogi háttérrel, 1/1 tulajdonjoggal, akár azonnal költözheto, de befektetési/kiadási célra is kiváló, második emeleti, téglaépítésu társasházi lakás eladó a XIII. kerület Loportárduloi részén. Remek közlekedési csomópontban, (5 percen belül M3 Metró, 1/41-es Villamos, 901/918-as Busz,) közeli bevásárlási (SPAR, ALDI) és kulturális lehetoséggel.Eddig felújításra került a teljes elektromos rendszer, illetve kiváló minoségu ho és hangszigetelt nyílászárót kapott a konyha és a franciaerkély, így kis anyagi ráfordítással egy modern, amerikai konyhás, akár kétszobás lakás is lehet. A lakásnak saját pincerésze van és a házhoz tartozó közös kis kert is használható. A társasház vagyoni helyzete rendezett, a közös költség 10.240.-Ft. A lakóközösséget nyugodt, kedves családok alkotják.","közepes állapotú","1950 elott","összkomfortos","nincs megadva","2","4","nincs","3 m-nél magasabb","gáz (konvektor)","nincs","10 E Ft/hó","nincs megadva","külön helyiségben","délnyugat","utcai","nincs megadva","igen","nem tetotéri",NA,"nincs megadva",NA
"20","XIII. kerület, Visegrádi utca","29,9 millió Ft","43 m²","1","XIII. kerület, Dráva utcában kínálunk megvételre egy II. emeleti, 43 m2-es, galériázott, délkeleti tájolású, napfényes, 1 szobás, közepes állapotú ingatlant, melynek ablakai a Visegrádi utcára néznek. A lakásnak elovásárlási joga van a mellette lévo 12 m2-es mellékhelyiség megvásárlására a háztól. Az ingatlan tehermentes, azonnal birtokba veheto.","jó állapotú","1950 elott","nincs megadva","nincs megadva","2","2","nincs","3 m-nél magasabb","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","egy helyiségben","délkelet","utcai","nincs megadva","nincs megadva","nincs megadva",NA,"utca, közterület",NA
"21","XV. kerület, Mézeskalács tér","29,9 millió Ft","54 m²","2","XV. kerületben, Pestújhely városrészében a Mézeskalács téren eladó, egy tehermentes 54 nm-es lakás, 2 nm erkéllyel. A társasház 1970-ben épült, 4 emeletes tiszta, rendezett lépcsoház, rendes szomszédokkal. Emeletenként csak két lakás található. A lakás elosztása tágas, világos nyugati fekvésu. A nappali, és hálószoba parkettás, egybe és külön nyíló szobák. A félszobához 2 nm-es erkély tartozik. A fürdoszoba kádas, a mellékhelység külön nyíló helyiség. A konyha ablakai keleti fekvésuek, reggelente szép világos. A lakás belmagassága 2,6 méter, három nagy beépített szekrénysorral. Tartozik a lakáshoz egy saját pincerész is! A közlekedés kiváló, buszok villamosok járnak a környéken: 62, 69, 5, 231, 124, 224. A közelben Spar, gyógyszertár, bölcsode, óvoda, iskola, játszótér, orvosi rendelo található. Akiknek ajánljuk: Egyetemistáknak, fiatal pároknak, egyedülállóknak, elso lakást keresoknek. Ha hirdetésünk felkeltette érdeklodését, keressen bizalommal!","jó állapotú","1950 és 1980 között","komfortos","nincs megadva","2","4","nincs","nincs megadva","távfutés egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","nyugat","utcai","2 m²","nincs megadva","nincs megadva","nem vett részt","utca, közterület - ingyenes",NA
